56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,50, Germany, >50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
18, Private, 12th, Never-married, Craft-repair, Own-child, White, Female,0,0,20, Iran, <=50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, Hungary, >50K
31, Private, Bachelors, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
61, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,45, Hong, >50K
45, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Haiti, <=50K
25, Private, Assoc-voc, Divorced, Adm-clerical, Wife, Black, Male,4675,0,40, Yugoslavia, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Guatemala, >50K
29, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,45, United-States, <=50K
20, Private, Bachelors, Never-married, Sales, Not-in-family, Black, Female,0,0,20, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,50, China, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,45, Germany, <=50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,45, United-States, >50K
30, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
25, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,35, Ecuador, <=50K
38, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,54, Vietnam, <=50K
23, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, Black, Female,0,0,40, United-States, <=50K
47, Private, Bachelors, Widowed, Adm-clerical, Not-in-family, Other, Male,2174,0,40, Yugoslavia, <=50K
25, Federal-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Haiti, <=50K
39, Private, HS-grad, Married-spouse-absent, Farming-fishing, Unmarried, Other, Female,0,0,40, United-States, <=50K
32, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
37, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Dominican-Republic, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Hungary, <=50K
17, Private, 10th, Never-married, Sales, Own-child, White, Male,0,0,10, Guatemala, <=50K
47, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,60, Japan, <=50K
48, Private, HS-grad, Widowed, Adm-clerical, Own-child, Other, Female,0,0,35, China, <=50K
33, Private, HS-grad, Never-married, Exec-managerial, Own-child, Black, Male,0,0,21, China, <=50K
64, State-gov, Some-college, Widowed, Exec-managerial, Unmarried, Black, Male,0,0,40, Yugoslavia, <=50K
22, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, Other, Male,0,0,15, Hong, <=50K
36, Private, Some-college, Never-married, Craft-repair, Not-in-family, Other, Female,0,0,46, Nicaragua, <=50K
62, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, Outlying-US(Guam-USVI-etc), <=50K
18, State-gov, HS-grad, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,20, Honduras, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Female,0,0,46, Greece, <=50K
25, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
40, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
34, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,45, Italy, >50K
31, Private, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
49, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
49, Federal-gov, 9th, Divorced, Prof-specialty, Unmarried, Black, Male,0,0,45, Ireland, <=50K
36, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Female,0,0,50, South, >50K
47, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,20, United-States, >50K
38, Self-emp-inc, Bachelors, Never-married, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,7687,0,40, Puerto-Rico, >50K
49, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,16, Yugoslavia, <=50K
20, Private, 11th, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,30, France, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, Haiti, <=50K
55, Self-emp-not-inc, Assoc-voc, Separated, Prof-specialty, Not-in-family, Other, Female,0,0,35, Trinadad&Tobago, <=50K
45, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
29, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Germany, <=50K
20, Private, 10th, Never-married, Transport-moving, Not-in-family, White, Female,0,0,70, United-States, <=50K
66, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,12, United-States, <=50K
22, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,0,25, United-States, <=50K
25, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
19, Private, 10th, Never-married, Adm-clerical, Own-child, White, Female,0,0,35, Haiti, <=50K
58, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,7298,0,60, Columbia, >50K
36, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,2275,0,35, Yugoslavia, <=50K
41, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, >50K
28, Private, Some-college, Never-married, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,20, Mexico, <=50K
47, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
44, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,15024,0,50, Outlying-US(Guam-USVI-etc), >50K
39, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
29, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,54, United-States, <=50K
59, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Ireland, <=50K
38, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
33, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,45, United-States, <=50K
58, Private, HS-grad, Widowed, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
60, Local-gov, 5th-6th, Divorced, Craft-repair, Unmarried, Black, Female,0,0,40, El-Salvador, <=50K
38, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,7298,0,50, United-States, >50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,1977,60, Haiti, >50K
40, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Black, Male,0,1887,40, Germany, <=50K
47, Private, Bachelors, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,40, Japan, >50K
48, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
44, Private, 7th-8th, Divorced, Tech-support, Unmarried, Black, Female,0,0,35, Columbia, <=50K
43, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Greece, >50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Philippines, <=50K
49, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, United-States, >50K
32, Private, Bachelors, Divorced, Adm-clerical, Own-child, Black, Female,0,0,30, United-States, <=50K
51, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Other-relative, White, Male,0,0,40, El-Salvador, <=50K
59, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,2691,0,43, Dominican-Republic, <=50K
39, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Taiwan, >50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,50, United-States, <=50K
58, Local-gov, Doctorate, Divorced, Sales, Not-in-family, Black, Male,0,2106,65, Outlying-US(Guam-USVI-etc), >50K
50, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, Outlying-US(Guam-USVI-etc), <=50K
33, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,45, United-States, >50K
25, Private, HS-grad, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
46, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,7687,0,40, Hungary, >50K
22, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, <=50K
43, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,44, United-States, <=50K
59, Self-emp-inc, Masters, Separated, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
36, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, Japan, >50K
20, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,20, Ecuador, <=50K
37, Federal-gov, 7th-8th, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
33, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,7687,0,50, United-States, >50K
23, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,1888,50, United-States, <=50K
23, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,20, United-States, <=50K
22, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,45, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Iran, <=50K
30, State-gov, Some-college, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
42, Private, HS-grad, Widowed, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
55, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Male,2704,0,35, United-States, <=50K
48, Without-pay, Some-college, Widowed, Prof-specialty, Not-in-family, White, Male,3889,0,40, Peru, <=50K
52, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,84, Hong, >50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,45, Laos, <=50K
37, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
62, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,40, United-States, >50K
20, Private, Some-college, Never-married, Farming-fishing, Own-child, White, Male,0,0,25, United-States, <=50K
21, Private, HS-grad, Never-married, Sales, Husband, Other, Male,0,0,40, United-States, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
18, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
34, Private, Assoc-voc, Separated, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
27, Private, Masters, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,40, Cuba, <=50K
33, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
62, State-gov, HS-grad, Widowed, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
38, Private, Masters, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,46, United-States, <=50K
40, Local-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Hungary, <=50K
35, State-gov, Doctorate, Never-married, Exec-managerial, Husband, White, Male,3736,0,73, Portugal, <=50K
18, Private, 10th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,16, Japan, <=50K
54, Local-gov, Masters, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,52, United-States, >50K
47, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,25, United-States, >50K
27, Private, Masters, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
38, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
