56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,50, Ecuador, >50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Mexico, >50K
18, Private, 12th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, Germany, <=50K
40, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, France, >50K
31, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
61, Private, 9th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,48, France, <=50K
45, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, England, <=50K
25, Private, Assoc-voc, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,5078,0,40, Yugoslavia, <=50K
44, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, El-Salvador, >50K
29, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
33, Private, 9th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,46, Mexico, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Female,0,0,20, Puerto-Rico, <=50K
31, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,52, Canada, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,45, Ecuador, <=50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,48, Trinadad&Tobago, >50K
30, Private, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, Other, Female,0,0,43, Vietnam, <=50K
25, Private, Bachelors, Never-married, Farming-fishing, Own-child, White, Male,0,0,35, Columbia, <=50K
38, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,54, Yugoslavia, <=50K
23, Private, 9th, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Peru, <=50K
48, Private, Bachelors, Widowed, Craft-repair, Not-in-family, Black, Male,0,0,40, Yugoslavia, <=50K
25, Federal-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,50, El-Salvador, <=50K
39, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
32, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,50, United-States, <=50K
37, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, Columbia, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,50, France, <=50K
17, Private, 10th, Never-married, Prof-specialty, Own-child, Other, Male,0,0,10, El-Salvador, <=50K
47, Private, Bachelors, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,60, Guatemala, <=50K
48, Private, Bachelors, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,35, Canada, <=50K
33, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,24, Canada, <=50K
65, State-gov, Some-college, Widowed, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
22, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Other, Male,0,0,30, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Prof-specialty, Own-child, Black, Male,0,0,15, France, <=50K
36, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,48, Hong, <=50K
62, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, Hong, <=50K
18, State-gov, Masters, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,20, England, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,48, Ecuador, <=50K
25, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Puerto-Rico, <=50K
40, Local-gov, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, Other, Male,0,0,40, Philippines, <=50K
34, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,40, Peru, <=50K
42, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,45, Guatemala, <=50K
31, Private, 9th, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Portugal, <=50K
49, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,40, Trinadad&Tobago, >50K
49, Federal-gov, 7th-8th, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,45, Germany, <=50K
36, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,50, Ireland, >50K
47, Federal-gov, Masters, Married-spouse-absent, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,20, Portugal, >50K
38, Self-emp-inc, Assoc-voc, Separated, Prof-specialty, Wife, Other, Male,0,0,40, Peru, >50K
60, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, Black, Male,7687,0,40, Iran, >50K
50, Self-emp-inc, Some-college, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,16, Yugoslavia, <=50K
20, Private, Bachelors, Never-married, Craft-repair, Other-relative, White, Male,0,0,30, Dominican-Republic, <=50K
31, Private, Bachelors, Never-married, Craft-repair, Own-child, Black, Female,0,0,50, El-Salvador, <=50K
55, Self-emp-not-inc, 9th, Separated, Prof-specialty, Unmarried, Black, Female,0,0,35, Jamaica, <=50K
45, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,40, Scotland, <=50K
29, State-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, Ecuador, <=50K
20, Self-emp-inc, 10th, Never-married, Tech-support, Not-in-family, White, Female,0,0,70, Outlying-US(Guam-USVI-etc), <=50K
66, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,15, Peru, <=50K
22, Private, Some-college, Never-married, Tech-support, Own-child, White, Male,0,0,25, United-States, <=50K
25, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States, <=50K
19, Private, 10th, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, El-Salvador, <=50K
58, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,5102,0,60, China, >50K
37, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,35, Yugoslavia, <=50K
41, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, >50K
28, Private, Some-college, Never-married, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,24, Haiti, <=50K
47, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Thailand, >50K
44, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,15024,0,50, Hungary, >50K
39, Private, Assoc-acdm, Separated, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
29, Federal-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,54, Outlying-US(Guam-USVI-etc), <=50K
59, Private, 7th-8th, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, Jamaica, >50K
49, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Greece, <=50K
38, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
33, Self-emp-not-inc, Masters, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Mexico, <=50K
58, Private, HS-grad, Widowed, Craft-repair, Not-in-family, Other, Male,0,0,40, Philippines, <=50K
