56, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, >50K
38, Private, HS-grad, Divorced, Sales, Husband, Other, Male,0,0,45, Iran, >50K
18, Private, 12th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, England, <=50K
42, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Other, Male,19113,0,40, El-Salvador, >50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, <=50K
61, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,48, El-Salvador, >50K
45, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, Other, Female,0,0,40, Ecuador, <=50K
25, Private, Bachelors, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,4081,0,40, Yugoslavia, <=50K
44, Private, HS-grad, Never-married, Craft-repair, Other-relative, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
29, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Scotland, <=50K
33, Private, 1st-4th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, Scotland, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,46, Ireland, <=50K
20, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,20, Mexico, >50K
32, Private, Some-college, Never-married, Other-service, Husband, Other, Female,0,0,52, Canada, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, Cuba, <=50K
51, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,48, Poland, <=50K
30, Private, Bachelors, Divorced, Transport-moving, Own-child, Black, Female,0,0,42, Vietnam, <=50K
25, Private, Bachelors, Never-married, Exec-managerial, Other-relative, White, Male,0,0,35, Columbia, <=50K
39, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Male,0,0,54, Yugoslavia, >50K
23, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
46, Private, Bachelors, Separated, Exec-managerial, Husband, Black, Male,5013,0,40, Yugoslavia, <=50K
25, Federal-gov, Bachelors, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, Ecuador, <=50K
39, Private, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
32, Private, Some-college, Divorced, Protective-serv, Not-in-family, White, Female,0,0,50, Trinadad&Tobago, <=50K
37, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, China, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,50, El-Salvador, <=50K
17, Private, 11th, Never-married, Sales, Own-child, Black, Male,0,0,20, Dominican-Republic, <=50K
47, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,60, Germany, <=50K
48, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,35, Cambodia, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,24, Canada, >50K
65, State-gov, Some-college, Widowed, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
22, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,30, Thailand, <=50K
33, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Puerto-Rico, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,15, El-Salvador, <=50K
36, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,48, Guatemala, <=50K
63, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,35, Guatemala, <=50K
18, State-gov, HS-grad, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,20, Ecuador, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,48, Dominican-Republic, <=50K
25, Self-emp-inc, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Nicaragua, <=50K
40, Local-gov, Assoc-voc, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,40, Japan, <=50K
34, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, Japan, <=50K
42, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, France, >50K
31, Private, Assoc-acdm, Never-married, Farming-fishing, Husband, White, Male,0,0,40, Laos, <=50K
