62, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,50, United-States, >50K
43, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,45, United-States, >50K
22, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,60, United-States, <=50K
54, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, United-States, >50K
24, Private, HS-grad, Never-married, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
72, Private, 11th, Widowed, Prof-specialty, Husband, White, Female,0,0,27, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
58, Private, Assoc-acdm, Divorced, Craft-repair, Wife, White, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
49, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,40, United-States, <=50K
36, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
58, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, United-States, >50K
57, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, Germany, <=50K
28, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, United-States, <=50K
32, Private, Bachelors, Divorced, Transport-moving, Not-in-family, White, Male,0,0,60, United-States, <=50K
32, Self-emp-not-inc, Bachelors, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,20, Philippines, <=50K
26, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,54, United-States, >50K
30, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
37, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,3325,0,25, United-States, <=50K
30, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Female,0,0,35, United-States, <=50K
43, Self-emp-not-inc, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,60, United-States, <=50K
25, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, Mexico, <=50K
60, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
65, Private, Assoc-voc, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,45, United-States, >50K
34, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,4794,0,40, United-States, >50K
17, Private, 11th, Separated, Farming-fishing, Own-child, White, Female,0,0,25, Guatemala, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,35, Germany, >50K
55, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
37, Private, Masters, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,7298,0,40, United-States, >50K
43, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Black, Female,0,0,40, United-States, <=50K
70, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
41, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States, >50K
62, State-gov, HS-grad, Widowed, Prof-specialty, Not-in-family, Black, Male,0,0,35, United-States, <=50K
25, Private, Doctorate, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,30, United-States, <=50K
27, Local-gov, Assoc-voc, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
28, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
40, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
22, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
28, Local-gov, 9th, Divorced, Prof-specialty, Unmarried, White, Male,0,0,45, United-States, <=50K
43, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
51, Federal-gov, HS-grad, Widowed, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
35, Self-emp-inc, Bachelors, Widowed, Prof-specialty, Wife, White, Male,0,1947,50, United-States, <=50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,35, United-States, <=50K
18, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,10, United-States, <=50K
43, Private, Assoc-acdm, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
50, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,1876,40, United-States, >50K
