62, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
22, Private, Assoc-voc, Never-married, Exec-managerial, Own-child, White, Female,0,0,60, United-States, <=50K
54, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, United-States, >50K
24, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
70, Private, 11th, Widowed, Other-service, Not-in-family, White, Female,0,0,25, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
58, Private, Assoc-acdm, Divorced, Craft-repair, Wife, White, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
49, Local-gov, HS-grad, Separated, Adm-clerical, Not-in-family, White, Female,0,1977,40, United-States, <=50K
36, Private, 5th-6th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
58, Self-emp-not-inc, Bachelors, Divorced, Tech-support, Not-in-family, White, Female,0,0,54, United-States, >50K
58, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Iran, <=50K
27, Private, HS-grad, Divorced, Other-service, Own-child, Black, Female,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,50, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,60, United-States, <=50K
32, Self-emp-not-inc, Assoc-voc, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,20, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,54, United-States, <=50K
30, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,4402,0,30, United-States, >50K
30, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
27, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,35, United-States, <=50K
43, Self-emp-not-inc, Some-college, Divorced, Sales, Husband, White, Male,0,0,60, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
60, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
66, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, United-States, >50K
