61, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,45, Dominican-Republic, <=50K
43, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Ireland, >50K
22, Private, Assoc-voc, Never-married, Craft-repair, Own-child, White, Female,0,0,54, England, <=50K
53, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,54, El-Salvador, <=50K
24, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Other, Male,0,0,40, Trinadad&Tobago, <=50K
69, Private, 5th-6th, Widowed, Prof-specialty, Not-in-family, Black, Female,0,0,25, Ecuador, <=50K
32, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Ecuador, <=50K
58, Private, Assoc-acdm, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
28, Private, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,40, Dominican-Republic, <=50K
49, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Female,0,2111,40, Scotland, <=50K
35, Private, 5th-6th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Scotland, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
58, Self-emp-not-inc, Bachelors, Married-spouse-absent, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,54, Nicaragua, >50K
57, Private, Some-college, Never-married, Other-service, Not-in-family, Other, Female,0,0,40, Cambodia, <=50K
27, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Cuba, <=50K
26, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,50, Philippines, <=50K
31, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,60, Vietnam, <=50K
32, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Other-relative, White, Male,0,0,20, Columbia, <=50K
26, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,54, Yugoslavia, <=50K
30, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
38, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,4054,0,24, Yugoslavia, <=50K
30, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,45, Ecuador, <=50K
27, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,35, Jamaica, <=50K
42, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, China, <=50K
60, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, El-Salvador, <=50K
64, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, Black, Male,0,0,45, Dominican-Republic, >50K
33, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,3617,0,40, Germany, <=50K
17, Private, 11th, Never-married, Craft-repair, Own-child, Black, Female,0,0,25, Canada, <=50K
43, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,35, Cambodia, <=50K
54, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
36, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,5013,0,40, Thailand, >50K
42, Private, Some-college, Divorced, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Puerto-Rico, <=50K
69, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, El-Salvador, >50K
36, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Guatemala, <=50K
40, Private, Bachelors, Divorced, Sales, Not-in-family, Other, Female,0,0,70, Guatemala, <=50K
