62, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,45, Cuba, >50K
43, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,45, Iran, >50K
22, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,54, England, <=50K
53, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,54, El-Salvador, >50K
24, Private, HS-grad, Never-married, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, <=50K
68, Private, 10th, Widowed, Protective-serv, Husband, Black, Female,0,0,25, El-Salvador, <=50K
32, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
58, Private, 9th, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
28, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Dominican-Republic, <=50K
48, Local-gov, HS-grad, Never-married, Exec-managerial, Husband, Black, Male,0,1977,40, South, <=50K
35, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, Scotland, <=50K
36, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
58, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,53, Mexico, >50K
57, Private, Some-college, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,40, Canada, <=50K
27, Self-emp-inc, Masters, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
25, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,50, Poland, <=50K
31, Private, Bachelors, Married-civ-spouse, Transport-moving, Other-relative, Black, Female,0,0,60, Vietnam, <=50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,20, Columbia, <=50K
26, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,54, Yugoslavia, >50K
30, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Jamaica, >50K
39, Private, Bachelors, Widowed, Craft-repair, Husband, Black, Male,5181,0,20, Yugoslavia, <=50K
30, Federal-gov, HS-grad, Married-spouse-absent, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Ecuador, <=50K
27, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, Black, Female,0,0,35, Jamaica, <=50K
42, Self-emp-not-inc, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,60, Trinadad&Tobago, <=50K
25, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, China, <=50K
60, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,50, El-Salvador, >50K
64, Private, Assoc-voc, Divorced, Sales, Not-in-family, Black, Male,0,0,45, Dominican-Republic, >50K
32, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Black, Female,7298,0,40, Germany, <=50K
17, Private, 11th, Separated, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,25, Cambodia, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, Asian-Pac-Islander, Male,0,0,35, Canada, >50K
54, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
36, Private, Masters, Never-married, Exec-managerial, Unmarried, Black, Male,5469,0,40, Thailand, <=50K
41, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Puerto-Rico, <=50K
69, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, El-Salvador, <=50K
36, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,50, Guatemala, <=50K
40, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, Other, Male,0,0,70, Guatemala, <=50K
61, State-gov, HS-grad, Widowed, Prof-specialty, Other-relative, Amer-Indian-Eskimo, Male,0,0,35, Ecuador, <=50K
25, Private, HS-grad, Never-married, Farming-fishing, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
22, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,30, Nicaragua, <=50K
26, Local-gov, Assoc-voc, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, Japan, <=50K
27, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Japan, <=50K
23, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
39, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Mexico, <=50K
21, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Own-child, Black, Male,0,0,40, Poland, <=50K
28, Local-gov, 7th-8th, Married-civ-spouse, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,45, England, <=50K
42, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,40, Hong, <=50K
51, Federal-gov, HS-grad, Widowed, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
35, Self-emp-inc, Bachelors, Separated, Prof-specialty, Wife, Other, Male,0,1975,50, Japan, <=50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,35, Honduras, <=50K
18, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Female,0,0,10, Yugoslavia, <=50K
43, Private, Assoc-acdm, Divorced, Exec-managerial, Husband, Other, Male,0,0,40, Cuba, >50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, Ecuador, <=50K
49, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,1902,40, Hungary, >50K
22, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
57, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Cuba, >50K
43, Self-emp-inc, 10th, Never-married, Tech-support, Not-in-family, Other, Female,0,0,40, Jamaica, <=50K
21, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Japan, >50K
35, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, South, >50K
24, Private, Some-college, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Thailand, <=50K
44, Private, 10th, Married-civ-spouse, Adm-clerical, Unmarried, Other, Female,0,0,7, Ecuador, <=50K
60, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
68, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Female,0,0,32, Yugoslavia, >50K
27, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, >50K
57, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,40, Greece, <=50K
42, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,21546,0,50, Philippines, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, Haiti, >50K
19, Private, 12th, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,30, Portugal, <=50K
45, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,40, Jamaica, <=50K
36, Private, Assoc-acdm, Never-married, Adm-clerical, Husband, White, Male,0,0,50, India, <=50K
30, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1902,50, France, <=50K
38, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,15024,0,50, Germany, >50K
37, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Female,0,0,10, Ireland, <=50K
39, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,0,0,60, Japan, >50K
72, Local-gov, 10th, Married-civ-spouse, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,25, Columbia, <=50K
22, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, <=50K
47, Private, Bachelors, Divorced, Exec-managerial, Unmarried, Other, Female,0,0,50, Ecuador, >50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, South, <=50K
22, Private, HS-grad, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Male,0,0,42, Dominican-Republic, <=50K
27, Private, Bachelors, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
70, Private, 12th, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,36, South, >50K
31, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,46, Canada, <=50K
48, Self-emp-inc, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,50, Dominican-Republic, >50K
59, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
63, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Iran, >50K
70, Self-emp-not-inc, 9th, Divorced, Farming-fishing, Husband, Amer-Indian-Eskimo, Female,0,0,20, Trinadad&Tobago, <=50K
39, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Thailand, <=50K
23, Private, HS-grad, Never-married, Tech-support, Not-in-family, Other, Female,0,0,40, Columbia, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
29, Private, Some-college, Never-married, Exec-managerial, Unmarried, Other, Female,0,0,50, Hong, <=50K
21, Private, Some-college, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,20, Taiwan, <=50K
58, Local-gov, Doctorate, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Guatemala, >50K
34, State-gov, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,40, Greece, <=50K
22, Private, HS-grad, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
39, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,50, El-Salvador, >50K
36, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, Other, Female,0,0,82, Taiwan, >50K
25, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, South, <=50K
29, Private, Masters, Never-married, Exec-managerial, Husband, White, Male,15024,0,45, Thailand, >50K
22, Private, HS-grad, Never-married, Other-service, Husband, Other, Female,0,0,35, Scotland, <=50K
26, Private, HS-grad, Never-married, Transport-moving, Husband, White, Female,0,0,45, France, >50K
56, Local-gov, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,52, China, >50K
29, Local-gov, 7th-8th, Divorced, Sales, Not-in-family, Black, Male,0,0,50, Jamaica, <=50K
23, Private, HS-grad, Never-married, Other-service, Wife, Other, Male,0,0,16, Taiwan, <=50K
43, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Portugal, <=50K
56, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,60, Iran, >50K
28, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,35, Thailand, <=50K
49, Private, HS-grad, Never-married, Sales, Husband, Black, Male,0,0,45, England, <=50K
42, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,50, Haiti, <=50K
43, Self-emp-not-inc, HS-grad, Separated, Adm-clerical, Wife, White, Male,7298,0,40, Thailand, >50K
22, Self-emp-inc, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Taiwan, <=50K
30, Without-pay, Some-college, Separated, Prof-specialty, Husband, White, Female,0,0,40, Guatemala, <=50K
48, Private, Bachelors, Divorced, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,1977,45, Ecuador, >50K
43, Private, HS-grad, Never-married, Sales, Husband, Other, Male,0,0,42, Germany, <=50K
44, Private, Some-college, Divorced, Exec-managerial, Husband, Other, Female,7687,0,40, Portugal, >50K
45, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, Other, Male,0,0,38, Taiwan, <=50K
38, Private, Some-college, Separated, Exec-managerial, Not-in-family, Other, Male,0,0,45, Outlying-US(Guam-USVI-etc), <=50K
46, Private, Bachelors, Never-married, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Poland, <=50K
78, Self-emp-not-inc, HS-grad, Widowed, Prof-specialty, Unmarried, Black, Male,0,0,30, Scotland, <=50K
34, Private, Some-college, Never-married, Tech-support, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
52, Private, 9th, Widowed, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, >50K
52, Private, HS-grad, Married-civ-spouse, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Female,0,0,37, China, <=50K
66, State-gov, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, Black, Male,0,0,15, Portugal, <=50K
40, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
52, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Female,0,0,40, India, <=50K
48, Private, Masters, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Japan, <=50K
20, Local-gov, 11th, Never-married, Other-service, Unmarried, White, Male,0,0,40, Taiwan, <=50K
37, Private, HS-grad, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,10182,0,40, England, >50K
23, State-gov, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,30, Haiti, <=50K
36, Private, 10th, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,7687,0,40, Germany, >50K
42, Local-gov, Masters, Divorced, Transport-moving, Own-child, Asian-Pac-Islander, Female,0,0,40, Nicaragua, >50K
33, Private, HS-grad, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,40, Italy, <=50K
26, Self-emp-inc, Masters, Never-married, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
31, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,50, Peru, <=50K
47, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,69, Columbia, >50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Guatemala, <=50K
41, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
33, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Male,0,0,50, Italy, >50K
29, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,3111,0,40, Hong, <=50K
18, Local-gov, 11th, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,15, Japan, <=50K
44, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
17, Private, 10th, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Columbia, <=50K
20, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
51, Self-emp-not-inc, Bachelors, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,40, Haiti, <=50K
45, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,62, Haiti, >50K
62, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,45, Dominican-Republic, <=50K
26, Private, Masters, Married-spouse-absent, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Hong, <=50K
30, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Female,5178,0,40, Italy, <=50K
58, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,50, Thailand, <=50K
58, Private, HS-grad, Divorced, Sales, Husband, Black, Female,0,0,40, Japan, <=50K
51, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
64, State-gov, Some-college, Married-civ-spouse, Protective-serv, Unmarried, Amer-Indian-Eskimo, Male,0,0,10, Taiwan, <=50K
34, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, Masters, Married-civ-spouse, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, India, >50K
49, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1902,20, Cuba, <=50K
27, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,40, Vietnam, <=50K
29, Private, Assoc-voc, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,54, Honduras, >50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
