62, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,48, Cuba, >50K
42, Private, HS-grad, Divorced, Sales, Husband, Other, Male,0,0,45, Ireland, >50K
22, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,55, England, <=50K
53, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,54, El-Salvador, >50K
23, Private, HS-grad, Never-married, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, <=50K
70, Private, 11th, Separated, Protective-serv, Husband, Black, Female,0,0,25, Ecuador, <=50K
31, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, Other, Female,0,0,40, Ecuador, <=50K
57, Private, Assoc-acdm, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
28, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Dominican-Republic, <=50K
47, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,1902,40, South, <=50K
35, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, Scotland, <=50K
36, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
58, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,54, Nicaragua, >50K
56, Private, Some-college, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,40, Cambodia, <=50K
26, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
25, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,50, Poland, <=50K
31, Private, Bachelors, Divorced, Transport-moving, Not-in-family, Black, Female,0,0,60, Vietnam, <=50K
32, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,20, Columbia, <=50K
26, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,54, Yugoslavia, >50K
29, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Jamaica, >50K
38, Private, Bachelors, Separated, Exec-managerial, Husband, Black, Male,4777,0,25, Yugoslavia, <=50K
30, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, Ecuador, <=50K
27, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,35, Jamaica, <=50K
42, Self-emp-not-inc, Some-college, Divorced, Sales, Husband, White, Male,0,0,60, Trinadad&Tobago, <=50K
25, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, China, <=50K
60, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,50, El-Salvador, >50K
65, Private, Bachelors, Divorced, Protective-serv, Not-in-family, Black, Male,0,0,45, Dominican-Republic, >50K
33, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,7298,0,40, Germany, <=50K
17, Private, 11th, Separated, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,23, Canada, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,35, Canada, >50K
54, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
36, Private, Masters, Never-married, Exec-managerial, Unmarried, Other, Male,7298,0,40, Taiwan, <=50K
41, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Puerto-Rico, <=50K
70, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, Ecuador, <=50K
36, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,50, Guatemala, <=50K
40, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, Other, Male,0,0,70, Guatemala, <=50K
61, State-gov, HS-grad, Widowed, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,35, Ecuador, <=50K
24, Private, HS-grad, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
22, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,30, Nicaragua, <=50K
