62, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,45, Germany, <=50K
42, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
22, Private, Assoc-voc, Never-married, Exec-managerial, Own-child, White, Female,0,0,55, Iran, <=50K
52, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, Hong, <=50K
24, Private, HS-grad, Never-married, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
69, Private, 1st-4th, Widowed, Other-service, Not-in-family, White, Female,0,0,25, Honduras, <=50K
31, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Guatemala, <=50K
57, Private, 9th, Divorced, Adm-clerical, Wife, Black, Male,0,0,40, Yugoslavia, <=50K
28, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,40, Greece, <=50K
47, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,1977,40, United-States, <=50K
35, Private, 7th-8th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
57, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,0,54, United-States, >50K
56, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Canada, <=50K
27, Private, HS-grad, Never-married, Prof-specialty, Other-relative, Asian-Pac-Islander, Male,0,0,40, France, <=50K
26, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,50, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,60, United-States, <=50K
32, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,20, Ecuador, <=50K
26, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,54, Vietnam, <=50K
30, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, United-States, <=50K
38, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,3895,0,24, Yugoslavia, <=50K
30, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,45, Guatemala, >50K
27, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,35, United-States, <=50K
42, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
24, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, Dominican-Republic, <=50K
59, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Hong, <=50K
65, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Greece, >50K
33, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,4729,0,40, Italy, >50K
17, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,25, Canada, <=50K
43, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,35, China, <=50K
54, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,40, Yugoslavia, <=50K
36, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,6714,0,40, United-States, >50K
41, Private, Some-college, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
70, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Honduras, >50K
36, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Mexico, <=50K
40, Private, Bachelors, Never-married, Protective-serv, Not-in-family, White, Male,0,0,70, Outlying-US(Guam-USVI-etc), <=50K
60, State-gov, HS-grad, Widowed, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,35, Haiti, <=50K
25, Private, Bachelors, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,40, Germany, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,30, United-States, <=50K
26, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
27, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Ireland, <=50K
38, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
21, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
28, Local-gov, 5th-6th, Divorced, Other-service, Unmarried, Black, Male,0,0,45, India, <=50K
42, Local-gov, Bachelors, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,40, Puerto-Rico, <=50K
51, Federal-gov, HS-grad, Widowed, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
35, Private, Bachelors, Widowed, Other-service, Wife, White, Male,0,1976,50, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,35, Philippines, <=50K
18, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,10, Yugoslavia, <=50K
43, Private, 9th, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, England, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Guatemala, <=50K
48, Private, Assoc-voc, Never-married, Other-service, Not-in-family, Other, Female,0,1891,40, United-States, <=50K
22, Private, Some-college, Married-civ-spouse, Priv-house-serv, Own-child, White, Female,0,0,40, United-States, <=50K
57, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, France, >50K
43, Private, 10th, Never-married, Tech-support, Other-relative, White, Female,0,0,40, United-States, <=50K
21, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,45, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
44, Private, 10th, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,6, Haiti, <=50K
60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Columbia, >50K
68, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,32, Yugoslavia, >50K
27, Private, HS-grad, Never-married, Other-service, Other-relative, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
57, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,40, Japan, <=50K
42, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,50, United-States, >50K
32, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,54, Peru, <=50K
19, Private, 11th, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,30, United-States, <=50K
45, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
36, Private, 9th, Never-married, Adm-clerical, Husband, White, Male,0,0,50, Trinadad&Tobago, <=50K
29, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,1902,50, Iran, >50K
39, Private, Bachelors, Divorced, Prof-specialty, Husband, White, Female,9070,0,50, Italy, <=50K
37, Self-emp-not-inc, Some-college, Married-civ-spouse, Handlers-cleaners, Wife, Black, Male,0,0,10, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
72, Local-gov, 1st-4th, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,25, El-Salvador, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,50, Haiti, >50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,60, United-States, >50K
22, Private, HS-grad, Never-married, Transport-moving, Own-child, Black, Male,0,0,43, Germany, <=50K
27, Private, Bachelors, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
70, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, >50K
31, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,45, Columbia, <=50K
47, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, Germany, >50K
59, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Philippines, <=50K
62, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,42, United-States, <=50K
70, Private, 9th, Divorced, Handlers-cleaners, Not-in-family, Black, Female,0,0,20, United-States, <=50K
40, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
23, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
44, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Cuba, <=50K
29, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Male,0,0,50, Scotland, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Male,0,0,20, United-States, <=50K
58, Local-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,40, Mexico, >50K
34, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Mexico, <=50K
22, Private, HS-grad, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
38, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, Hungary, >50K
36, Private, HS-grad, Divorced, Farming-fishing, Unmarried, White, Female,0,0,84, United-States, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,14814,0,45, United-States, >50K
22, Private, HS-grad, Never-married, Other-service, Husband, White, Male,0,0,35, United-States, <=50K
26, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,45, Italy, >50K
