62, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,49, Ecuador, <=50K
43, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Laos, >50K
22, Private, Assoc-voc, Never-married, Exec-managerial, Own-child, White, Female,0,0,55, Germany, <=50K
53, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, England, <=50K
24, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
70, Private, 5th-6th, Widowed, Other-service, Not-in-family, Black, Female,0,0,25, England, <=50K
32, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,40, El-Salvador, <=50K
58, Private, Assoc-acdm, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
28, Private, HS-grad, Never-married, Exec-managerial, Husband, Black, Female,0,0,40, El-Salvador, <=50K
49, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,1979,40, United-States, <=50K
35, Private, 9th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Laos, <=50K
58, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,54, Portugal, >50K
57, Private, Some-college, Separated, Other-service, Not-in-family, White, Female,0,0,40, Canada, <=50K
27, Private, HS-grad, Never-married, Protective-serv, Other-relative, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
26, Private, Some-college, Never-married, Craft-repair, Not-in-family, Other, Female,0,0,50, Thailand, <=50K
31, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,0,60, Vietnam, <=50K
32, Self-emp-not-inc, Bachelors, Married-civ-spouse, Handlers-cleaners, Other-relative, White, Male,0,0,20, Columbia, <=50K
