39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, >50K
34, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Iran, >50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, France, <=50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, El-Salvador, >50K
21, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,35, United-States, <=50K
50, Private, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, El-Salvador, >50K
54, Private, Doctorate, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,60, Ecuador, >50K
69, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, White, Female,1030,0,12, Yugoslavia, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Ecuador, <=50K
39, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, South, >50K
22, Private, 11th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,30, Scotland, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,40, Ireland, <=50K
32, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Nicaragua, >50K
30, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,54, Canada, >50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Not-in-family, Black, Male,27756,0,64, Dominican-Republic, >50K
21, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, Poland, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, Vietnam, <=50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Columbia, <=50K
66, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,25, Yugoslavia, <=50K
49, Self-emp-not-inc, 9th, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,6, Jamaica, <=50K
20, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, Yugoslavia, <=50K
45, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,20, Ecuador, >50K
44, Private, HS-grad, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,60, Jamaica, <=50K
41, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, China, <=50K
33, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,40, El-Salvador, >50K
61, Private, HS-grad, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,0,40, Dominican-Republic, <=50K
