41, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, United-States, >50K
36, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,45, United-States, >50K
58, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,60, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
22, Private, HS-grad, Never-married, Tech-support, Husband, White, Male,0,0,32, United-States, <=50K
51, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
56, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
73, Self-emp-not-inc, Assoc-acdm, Divorced, Adm-clerical, Wife, White, Male,0,0,10, Vietnam, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
41, Local-gov, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, 11th, Never-married, Other-service, Husband, White, Female,0,0,25, United-States, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
34, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, United-States, >50K
32, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,52, Guatemala, <=50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,27725,0,61, United-States, >50K
22, Private, Some-college, Never-married, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
41, Private, Bachelors, Divorced, Transport-moving, Not-in-family, White, Female,0,0,50, United-States, <=50K
46, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Taiwan, >50K
69, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,20, United-States, <=50K
51, Self-emp-not-inc, 1st-4th, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,4, United-States, <=50K
21, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
47, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, Black, Male,0,0,20, United-States, <=50K
46, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, >50K
43, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,50, Poland, <=50K
35, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
63, Private, Assoc-voc, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
21, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, Germany, <=50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Guatemala, >50K
52, State-gov, Some-college, Married-spouse-absent, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
39, Private, Preschool, Never-married, Exec-managerial, Unmarried, White, Male,0,0,35, United-States, <=50K
55, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
43, State-gov, HS-grad, Married-civ-spouse, Other-service, Not-in-family, Black, Male,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,16, United-States, <=50K
41, Local-gov, Assoc-voc, Never-married, Adm-clerical, Unmarried, White, Male,0,0,35, United-States, <=50K
35, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,3973,0,50, United-States, >50K
23, Private, 11th, Never-married, Other-service, Not-in-family, White, Female,0,0,12, United-States, <=50K
47, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,52, United-States, >50K
19, Local-gov, 11th, Never-married, Other-service, Own-child, Other, Male,0,0,26, United-States, <=50K
28, Local-gov, Bachelors, Never-married, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
57, Federal-gov, HS-grad, Widowed, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
37, Private, Assoc-voc, Widowed, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
49, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, Vietnam, <=50K
31, Private, Assoc-acdm, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
47, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, United-States, <=50K
39, Self-emp-inc, Assoc-voc, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
61, Private, Some-college, Divorced, Prof-specialty, Husband, White, Female,0,0,45, United-States, <=50K
22, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,33, United-States, <=50K
17, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,15, United-States, <=50K
31, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,3103,0,41, United-States, >50K
47, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,32, United-States, >50K
33, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
57, Private, 11th, Married-civ-spouse, Adm-clerical, Other-relative, White, Female,0,0,25, United-States, <=50K
49, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Italy, >50K
47, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,0,0,60, Yugoslavia, >50K
37, Private, HS-grad, Never-married, Prof-specialty, Husband, Black, Female,0,0,40, United-States, >50K
45, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,91, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,44, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
43, Private, Assoc-voc, Never-married, Exec-managerial, Husband, White, Female,0,0,45, United-States, <=50K
34, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
23, Private, 11th, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,24, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, >50K
47, Local-gov, 1st-4th, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
50, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,40, United-States, <=50K
54, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Sales, Own-child, Black, Female,99999,0,20, United-States, <=50K
49, Private, Bachelors, Never-married, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
57, Private, 1st-4th, Separated, Adm-clerical, Unmarried, White, Female,0,0,8, United-States, >50K
24, Private, 9th, Never-married, Transport-moving, Own-child, White, Female,0,0,40, Jamaica, <=50K
32, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,54, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, White, Female,0,0,40, United-States, >50K
66, Self-emp-not-inc, Assoc-voc, Divorced, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, Assoc-acdm, Never-married, Prof-specialty, Other-relative, White, Male,0,0,35, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,1740,40, United-States, <=50K
22, Private, HS-grad, Never-married, Exec-managerial, Own-child, Black, Female,0,0,34, Mexico, <=50K
61, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,45, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
27, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
61, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, Black, Female,0,0,35, Mexico, <=50K
23, Private, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,20, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,10, United-States, <=50K
28, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
47, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,13952,0,40, United-States, >50K
22, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,10, United-States, <=50K
47, Local-gov, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Nicaragua, >50K
26, Federal-gov, 5th-6th, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Other-service, Wife, White, Male,0,0,15, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, United-States, <=50K
45, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,66, United-States, >50K
42, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
42, Self-emp-inc, Masters, Never-married, Sales, Husband, White, Male,0,0,60, United-States, <=50K
22, State-gov, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,10, United-States, <=50K
26, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, >50K
27, State-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,9, United-States, <=50K
62, Without-pay, Prof-school, Widowed, Prof-specialty, Husband, White, Female,0,0,3, United-States, <=50K
41, Private, Assoc-acdm, Divorced, Other-service, Husband, White, Male,0,0,20, United-States, <=50K
33, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,45, United-States, <=50K
40, Private, Some-college, Divorced, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
49, Private, Masters, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Separated, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
33, Private, HS-grad, Never-married, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
34, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,44, United-States, <=50K
37, Private, Some-college, Never-married, Tech-support, Own-child, Black, Male,0,0,40, United-States, <=50K
50, Private, Assoc-voc, Never-married, Farming-fishing, Husband, Black, Male,0,0,50, United-States, >50K
38, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Male,0,0,40, Mexico, <=50K
90, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
61, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
41, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, United-States, <=50K
41, Private, Masters, Never-married, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
50, Federal-gov, 1st-4th, Never-married, Other-service, Wife, White, Male,0,0,15, United-States, <=50K
48, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,50, United-States, >50K
19, State-gov, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,32, United-States, <=50K
40, Private, 10th, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
43, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, >50K
89, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,20, United-States, <=50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, >50K
32, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,52, United-States, <=50K
76, Private, HS-grad, Widowed, Prof-specialty, Not-in-family, White, Male,0,0,20, United-States, <=50K
66, Private, 9th, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,8, United-States, <=50K
21, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
54, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,52, United-States, <=50K
27, Local-gov, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,22, United-States, <=50K
54, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
35, Self-emp-not-inc, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,44, United-States, >50K
27, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, Some-college, Divorced, Exec-managerial, Other-relative, White, Male,0,1902,40, United-States, >50K
44, Self-emp-inc, HS-grad, Never-married, Sales, Husband, White, Female,0,0,40, United-States, <=50K
32, Local-gov, Masters, Married-civ-spouse, Sales, Unmarried, White, Female,0,1887,25, United-States, <=50K
19, Private, Bachelors, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,45, United-States, <=50K
61, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,1543,0,40, United-States, <=50K
29, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,45, United-States, <=50K
56, State-gov, Some-college, Married-civ-spouse, Protective-serv, Not-in-family, Black, Male,0,0,40, United-States, <=50K
49, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,69, United-States, <=50K
45, Private, Masters, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, >50K
40, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
90, Private, 7th-8th, Widowed, Farming-fishing, Not-in-family, White, Female,0,0,35, United-States, >50K
