39, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,50, Scotland, >50K
34, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
56, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
21, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male,0,0,35, United-States, <=50K
50, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
54, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
68, Self-emp-inc, Bachelors, Divorced, Adm-clerical, Wife, White, Female,1975,0,13, Vietnam, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Puerto-Rico, <=50K
39, Local-gov, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
22, Private, 11th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,27, United-States, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
29, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,54, Ecuador, >50K
43, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Not-in-family, Other, Male,58652,0,60, Philippines, >50K
21, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Jamaica, <=50K
66, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,25, United-States, <=50K
50, Self-emp-not-inc, 9th, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Female,0,0,6, United-States, >50K
20, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
45, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,20, Thailand, >50K
44, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,0,0,60, United-States, <=50K
41, Private, HS-grad, Divorced, Other-service, Other-relative, White, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Ireland, <=50K
33, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
61, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Trinadad&Tobago, >50K
20, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
44, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, Ecuador, <=50K
45, Private, Masters, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,40, Ecuador, >50K
50, State-gov, Some-college, Separated, Exec-managerial, Unmarried, Other, Female,0,0,40, Vietnam, <=50K
38, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,36, United-States, <=50K
53, Local-gov, Some-college, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,42, United-States, >50K
41, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
41, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,16, United-States, <=50K
40, Federal-gov, Bachelors, Never-married, Adm-clerical, Wife, White, Male,0,0,35, United-States, >50K
33, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,4397,0,50, United-States, >50K
22, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, White, Female,0,0,15, United-States, <=50K
45, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Male,0,0,54, United-States, <=50K
19, Private, 11th, Never-married, Other-service, Own-child, Other, Male,0,0,30, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
55, Federal-gov, HS-grad, Widowed, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0,0,42, United-States, <=50K
35, Private, Bachelors, Separated, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
40, State-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
47, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Yugoslavia, >50K
30, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Mexico, <=50K
45, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, United-States, >50K
37, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,44, United-States, <=50K
60, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,47, United-States, <=50K
21, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,35, Peru, <=50K
17, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,12, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,2941,0,45, United-States, >50K
46, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,0,35, United-States, >50K
31, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
54, Private, 5th-6th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,30, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, Germany, <=50K
45, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,60, Yugoslavia, >50K
35, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
