39, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,50, Honduras, <=50K
34, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
56, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Nicaragua, <=50K
35, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, Japan, >50K
21, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male,0,0,35, United-States, <=50K
50, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Jamaica, >50K
54, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, Italy, >50K
69, Private, Assoc-voc, Divorced, Adm-clerical, Wife, Black, Male,1116,0,14, Yugoslavia, <=50K
25, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, Hong, <=50K
39, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
22, Private, 11th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,30, United-States, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
32, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
31, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,54, China, <=50K
43, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Black, Male,27798,0,65, Guatemala, >50K
21, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,53, United-States, <=50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, England, >50K
66, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,25, Vietnam, <=50K
49, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Female,0,0,6, United-States, >50K
20, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,45, Vietnam, <=50K
45, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,20, India, >50K
44, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,60, United-States, <=50K
41, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, El-Salvador, >50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Jamaica, <=50K
61, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Honduras, >50K
20, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, Peru, <=50K
44, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Other, Female,0,0,40, China, <=50K
45, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,40, Columbia, <=50K
50, State-gov, Some-college, Separated, Exec-managerial, Unmarried, Black, Female,0,0,40, Yugoslavia, <=50K
38, Private, Masters, Never-married, Exec-managerial, Unmarried, White, Male,0,0,38, United-States, <=50K
53, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, >50K
41, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, Jamaica, <=50K
46, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,42, South, <=50K
42, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
