39, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Ecuador, >50K
34, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,45, Japan, >50K
55, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,60, Germany, <=50K
35, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, England, <=50K
21, Private, HS-grad, Never-married, Tech-support, Husband, Other, Male,0,0,35, United-States, <=50K
49, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, England, >50K
53, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,60, El-Salvador, <=50K
69, Self-emp-inc, Assoc-voc, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Male,0,0,10, Yugoslavia, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Ecuador, <=50K
38, Local-gov, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
22, Private, 11th, Never-married, Other-service, Husband, White, Female,0,0,30, United-States, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Japan, <=50K
32, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, Poland, >50K
30, Private, Some-college, Never-married, Prof-specialty, Husband, White, Female,0,0,54, Canada, <=50K
42, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,23313,0,70, Dominican-Republic, >50K
21, Private, Some-college, Never-married, Craft-repair, Not-in-family, Other, Female,0,0,40, South, <=50K
39, Private, Bachelors, Divorced, Transport-moving, Not-in-family, Other, Female,0,0,54, Vietnam, <=50K
44, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Columbia, >50K
66, Private, HS-grad, Divorced, Adm-clerical, Husband, White, Male,0,0,30, Yugoslavia, >50K
48, Private, 5th-6th, Married-civ-spouse, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,6, Nicaragua, <=50K
20, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,0,0,45, Yugoslavia, <=50K
44, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, Asian-Pac-Islander, Male,0,0,20, El-Salvador, <=50K
44, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, Black, Female,0,0,60, Mexico, <=50K
40, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,50, Columbia, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,40, France, <=50K
61, Private, Assoc-voc, Divorced, Prof-specialty, Not-in-family, Other, Male,0,0,40, Ecuador, >50K
20, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, Guatemala, <=50K
43, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, Canada, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
50, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
37, Private, Some-college, Never-married, Exec-managerial, Unmarried, Other, Male,0,0,40, United-States, <=50K
52, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Female,0,0,45, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, England, <=50K
46, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,45, Holand-Netherlands, <=50K
42, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,60, Honduras, <=50K
40, State-gov, HS-grad, Never-married, Prof-specialty, Other-relative, Amer-Indian-Eskimo, Male,0,0,40, England, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,20, Ecuador, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,19, Portugal, <=50K
39, Local-gov, Assoc-voc, Never-married, Adm-clerical, Unmarried, Other, Male,0,0,36, Outlying-US(Guam-USVI-etc), <=50K
33, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
30, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,3814,0,50, Greece, >50K
22, Private, 11th, Never-married, Other-service, Husband, White, Male,0,0,15, Peru, <=50K
45, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, Other, Male,0,0,54, Taiwan, >50K
19, Local-gov, 11th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,30, Germany, <=50K
26, Local-gov, Bachelors, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, India, <=50K
54, Federal-gov, HS-grad, Widowed, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,45, Poland, <=50K
35, Private, Assoc-voc, Widowed, Other-service, Wife, Other, Male,0,0,40, Nicaragua, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Hungary, <=50K
47, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,50, Yugoslavia, <=50K
30, Private, Assoc-acdm, Divorced, Exec-managerial, Husband, Other, Male,0,0,40, Dominican-Republic, <=50K
45, Self-emp-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Black, Female,15024,0,60, El-Salvador, <=50K
37, Self-emp-inc, Assoc-voc, Never-married, Other-service, Not-in-family, Black, Female,0,0,45, Ireland, <=50K
59, Private, Some-college, Divorced, Prof-specialty, Husband, Other, Female,0,0,50, Portugal, <=50K
21, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,35, Dominican-Republic, <=50K
17, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,15, Nicaragua, <=50K
28, Private, HS-grad, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Female,3103,0,45, Nicaragua, >50K
45, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States, <=50K
54, Private, 12th, Married-civ-spouse, Adm-clerical, Unmarried, Other, Female,0,0,30, El-Salvador, <=50K
46, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,45, Canada, >50K
45, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Female,0,0,60, Yugoslavia, >50K
35, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, >50K
42, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,98, Haiti, <=50K
24, Private, HS-grad, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,45, South, <=50K
41, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Honduras, >50K
41, Private, Assoc-voc, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,50, Trinadad&Tobago, <=50K
32, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Male,0,0,40, Mexico, <=50K
22, Private, 11th, Never-married, Adm-clerical, Husband, White, Male,0,0,27, Italy, <=50K
30, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Greece, <=50K
22, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,54, Guatemala, <=50K
