39, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, >50K
34, Private, HS-grad, Divorced, Sales, Husband, Other, Male,0,0,45, Iran, >50K
56, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,60, England, <=50K
35, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,52, El-Salvador, <=50K
21, Private, HS-grad, Never-married, Tech-support, Husband, Other, Male,0,0,35, Trinadad&Tobago, <=50K
50, Private, 1st-4th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, El-Salvador, >50K
54, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Other, Female,0,0,60, Ecuador, <=50K
70, Private, 9th, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Male,0,0,11, Yugoslavia, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
39, Local-gov, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,40, Scotland, <=50K
22, Private, 11th, Never-married, Other-service, Husband, White, Female,0,0,25, Scotland, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Iran, <=50K
32, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, Mexico, >50K
30, Private, Some-college, Never-married, Prof-specialty, Husband, Other, Female,0,0,54, Canada, <=50K
43, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,27690,0,67, Cuba, >50K
21, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, Philippines, <=50K
39, Private, Bachelors, Divorced, Transport-moving, Not-in-family, Black, Female,0,0,52, Vietnam, <=50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Columbia, >50K
66, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,25, Yugoslavia, >50K
49, Self-emp-not-inc, 5th-6th, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,6, Jamaica, <=50K
20, Private, Bachelors, Never-married, Craft-repair, Husband, Black, Male,0,0,45, Yugoslavia, <=50K
45, Federal-gov, Doctorate, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,20, Ecuador, <=50K
45, Self-emp-inc, HS-grad, Divorced, Farming-fishing, Not-in-family, Asian-Pac-Islander, Female,0,0,60, Italy, >50K
41, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
42, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,50, China, <=50K
33, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
61, Private, Assoc-voc, Divorced, Prof-specialty, Not-in-family, Black, Male,0,0,40, Dominican-Republic, >50K
20, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, Germany, <=50K
44, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, Cambodia, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
50, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
38, Private, Masters, Never-married, Craft-repair, Unmarried, Black, Male,0,0,36, Thailand, <=50K
53, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Female,0,0,44, Puerto-Rico, <=50K
41, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, El-Salvador, <=50K
46, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Guatemala, <=50K
42, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, Other, Male,0,0,60, Guatemala, <=50K
41, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,20, Dominican-Republic, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,18, Nicaragua, <=50K
40, Local-gov, Assoc-acdm, Married-spouse-absent, Adm-clerical, Unmarried, Black, Male,0,0,35, Japan, <=50K
33, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,40, Jamaica, <=50K
31, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,4324,0,50, France, >50K
22, Private, 11th, Never-married, Other-service, Husband, White, Male,0,0,15, Laos, <=50K
45, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,54, Philippines, >50K
19, Local-gov, 11th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,30, England, <=50K
26, Local-gov, Bachelors, Never-married, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, Honduras, <=50K
55, Federal-gov, HS-grad, Widowed, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,44, Mexico, <=50K
