27, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
22, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
29, Private, HS-grad, Divorced, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
23, Private, 11th, Never-married, Other-service, Not-in-family, White, Female,3974,0,40, United-States, <=50K
23, Private, Masters, Never-married, Other-service, Own-child, White, Female,0,0,38, United-States, <=50K
60, Self-emp-inc, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,54, United-States, <=50K
18, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
43, Local-gov, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
24, Private, Assoc-voc, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Divorced, Adm-clerical, Own-child, Black, Female,0,0,25, United-States, <=50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
39, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,35, France, <=50K
34, Self-emp-inc, Some-college, Divorced, Sales, Own-child, Other, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Divorced, Tech-support, Own-child, White, Female,0,0,38, United-States, <=50K
42, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, Puerto-Rico, >50K
37, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
20, Private, 9th, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
43, Private, Bachelors, Separated, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,35, United-States, >50K
24, Private, Some-college, Never-married, Prof-specialty, Wife, White, Female,0,0,10, United-States, <=50K
30, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
42, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Philippines, >50K
55, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,45, United-States, >50K
34, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, Puerto-Rico, <=50K
52, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, <=50K
54, Self-emp-not-inc, HS-grad, Separated, Exec-managerial, Husband, White, Male,0,0,97, Iran, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Germany, <=50K
25, Self-emp-not-inc, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,25, United-States, <=50K
45, Private, Some-college, Never-married, Farming-fishing, Unmarried, White, Female,0,0,60, United-States, <=50K
56, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, United-States, <=50K
24, Private, Some-college, Never-married, Protective-serv, Own-child, White, Male,0,0,25, United-States, <=50K
26, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, Bachelors, Never-married, Protective-serv, Not-in-family, White, Female,0,0,60, United-States, <=50K
30, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States, <=50K
23, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,20, United-States, <=50K
57, Self-emp-not-inc, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
26, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
43, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,47, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,15024,0,50, United-States, >50K
29, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,50, United-States, <=50K
50, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, >50K
39, Federal-gov, Assoc-acdm, Divorced, Handlers-cleaners, Unmarried, Black, Female,0,0,45, United-States, <=50K
39, Federal-gov, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
49, Federal-gov, HS-grad, Widowed, Prof-specialty, Not-in-family, Black, Female,0,0,50, United-States, <=50K
61, Self-emp-not-inc, Bachelors, Widowed, Sales, Wife, White, Male,0,0,81, United-States, <=50K
48, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
33, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Vietnam, <=50K
26, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,54, United-States, >50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,51, United-States, <=50K
56, Self-emp-inc, Assoc-acdm, Separated, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Self-emp-not-inc, Masters, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,30, United-States, <=50K
44, Private, 10th, Never-married, Transport-moving, Not-in-family, White, Male,0,0,45, United-States, <=50K
34, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,3103,0,54, United-States, >50K
53, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Female,0,0,15, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
56, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, India, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, <=50K
33, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,35, United-States, <=50K
31, Private, Some-college, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,25, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,38, United-States, <=50K
58, Private, Assoc-voc, Married-spouse-absent, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
28, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,60, United-States, <=50K
31, Private, 7th-8th, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
59, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
39, Private, Bachelors, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
50, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
37, Private, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
19, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States, <=50K
37, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
29, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,50, United-States, <=50K
31, Private, HS-grad, Never-married, Transport-moving, Unmarried, Other, Female,0,0,42, United-States, <=50K
34, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,54, United-States, <=50K
47, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, United-States, >50K
19, Private, 11th, Never-married, Tech-support, Own-child, White, Female,0,0,30, Mexico, <=50K
27, Private, Some-college, Never-married, Farming-fishing, Unmarried, White, Male,0,0,40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,47, United-States, >50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,14, United-States, <=50K
57, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
62, Local-gov, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,35, Mexico, >50K
21, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Farming-fishing, Other-relative, White, Male,0,0,70, United-States, <=50K
56, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
