28, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,45, United-States, >50K
22, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,24, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
23, Private, 12th, Never-married, Protective-serv, Not-in-family, White, Female,4625,0,40, United-States, >50K
23, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,38, United-States, <=50K
61, Self-emp-inc, Assoc-acdm, Divorced, Exec-managerial, Wife, White, Male,0,0,54, United-States, <=50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,32, United-States, <=50K
43, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, 12th, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,30, United-States, <=50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, United-States, >50K
39, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,36, France, <=50K
35, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Tech-support, Unmarried, White, Female,0,0,38, United-States, <=50K
42, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
37, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, >50K
20, Private, 9th, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
44, Private, Bachelors, Separated, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
36, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, Black, Male,0,0,35, United-States, <=50K
24, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,10, United-States, <=50K
31, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
43, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, Nicaragua, <=50K
56, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,45, United-States, >50K
34, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Male,0,0,40, United-States, >50K
52, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
54, Self-emp-not-inc, HS-grad, Separated, Exec-managerial, Husband, White, Male,0,0,99, Germany, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Hungary, >50K
26, State-gov, Some-college, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,25, United-States, <=50K
45, Private, Prof-school, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,63, United-States, <=50K
57, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,54, United-States, <=50K
24, Private, Some-college, Never-married, Protective-serv, Not-in-family, White, Male,0,0,25, United-States, <=50K
27, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
31, State-gov, HS-grad, Never-married, Protective-serv, Not-in-family, White, Male,0,0,70, United-States, <=50K
23, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,20, United-States, <=50K
58, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
27, Local-gov, Assoc-voc, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,47, United-States, >50K
32, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Black, Male,15024,0,50, United-States, >50K
29, Private, Assoc-acdm, Never-married, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
51, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,45, United-States, >50K
40, Federal-gov, 9th, Divorced, Prof-specialty, Unmarried, White, Male,0,0,45, United-States, <=50K
40, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
49, Federal-gov, HS-grad, Separated, Machine-op-inspct, Husband, Black, Male,0,0,50, United-States, >50K
60, Self-emp-not-inc, Assoc-voc, Widowed, Prof-specialty, Unmarried, White, Male,0,0,84, United-States, <=50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, Masters, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, >50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,51, United-States, <=50K
56, Self-emp-not-inc, Assoc-acdm, Separated, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
