28, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Poland, <=50K
44, Private, HS-grad, Divorced, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
22, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,23, United-States, <=50K
29, Private, HS-grad, Divorced, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
23, Private, 12th, Never-married, Prof-specialty, Not-in-family, White, Female,4079,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,38, United-States, <=50K
60, Private, HS-grad, Divorced, Craft-repair, Wife, White, Male,0,0,54, Vietnam, <=50K
18, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
43, Local-gov, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
24, Private, Assoc-acdm, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,25, United-States, <=50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
39, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,35, El-Salvador, <=50K
35, Private, HS-grad, Divorced, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,38, United-States, <=50K
43, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, Mexico, >50K
37, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
20, Private, 7th-8th, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
43, Private, Bachelors, Separated, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Federal-gov, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,35, United-States, <=50K
23, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,10, United-States, <=50K
31, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Poland, >50K
56, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,45, United-States, >50K
34, Private, HS-grad, Divorced, Sales, Unmarried, White, Male,0,0,40, Mexico, <=50K
51, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, <=50K
54, Self-emp-inc, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,99, India, <=50K
22, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, Germany, >50K
26, State-gov, Some-college, Separated, Adm-clerical, Unmarried, Black, Female,0,0,25, United-States, <=50K
46, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,64, United-States, <=50K
56, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, United-States, <=50K
23, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,25, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,60, United-States, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States, <=50K
22, Private, Bachelors, Never-married, Exec-managerial, Wife, White, Female,0,0,20, United-States, <=50K
57, State-gov, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
27, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
44, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,48, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Sales, Husband, Other, Male,15024,0,50, United-States, >50K
30, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
51, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, >50K
40, Federal-gov, Assoc-acdm, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,45, United-States, <=50K
39, Local-gov, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
49, Federal-gov, HS-grad, Widowed, Other-service, Not-in-family, Black, Female,0,0,50, United-States, <=50K
61, Self-emp-inc, Bachelors, Widowed, Sales, Wife, White, Male,0,0,83, United-States, <=50K
47, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Vietnam, <=50K
26, Local-gov, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,54, United-States, >50K
37, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,54, United-States, <=50K
55, Self-emp-not-inc, Assoc-voc, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, State-gov, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,30, United-States, <=50K
44, Private, 11th, Never-married, Transport-moving, Not-in-family, White, Female,0,0,45, United-States, <=50K
