28, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, >50K
44, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,45, Ireland, >50K
22, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Female,0,0,24, England, <=50K
29, Private, HS-grad, Divorced, Machine-op-inspct, Own-child, White, Female,0,0,40, El-Salvador, <=50K
58, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
23, Private, 11th, Never-married, Prof-specialty, Not-in-family, White, Female,3373,0,40, El-Salvador, <=50K
23, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,38, Ecuador, <=50K
60, Self-emp-inc, Bachelors, Divorced, Exec-managerial, Wife, White, Male,0,0,54, Yugoslavia, <=50K
18, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,32, Dominican-Republic, <=50K
44, Local-gov, HS-grad, Separated, Adm-clerical, Unmarried, Black, Female,0,0,40, Scotland, <=50K
24, Private, 11th, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, South, <=50K
38, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,30, Ireland, <=50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Nicaragua, >50K
39, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,36, Canada, <=50K
35, Self-emp-inc, HS-grad, Divorced, Sales, Unmarried, Black, Female,0,0,40, Cuba, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Poland, <=50K
25, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,39, Vietnam, <=50K
42, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, Columbia, >50K
37, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Yugoslavia, <=50K
20, Private, 1st-4th, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, Japan, <=50K
43, Private, Bachelors, Separated, Exec-managerial, Not-in-family, White, Male,0,0,40, Yugoslavia, <=50K
36, Federal-gov, HS-grad, Never-married, Exec-managerial, Own-child, Other, Male,0,0,35, Ecuador, <=50K
24, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,10, Jamaica, <=50K
31, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, China, <=50K
56, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7615,0,45, El-Salvador, >50K
34, Private, Bachelors, Divorced, Sales, Unmarried, White, Male,0,0,40, Dominican-Republic, <=50K
51, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,50, Germany, <=50K
54, Self-emp-inc, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,99, Canada, <=50K
22, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, Canada, >50K
