28, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
45, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, Iran, >50K
22, Private, Bachelors, Never-married, Other-service, Own-child, Other, Female,0,0,23, England, <=50K
29, Private, HS-grad, Never-married, Other-service, Not-in-family, Other, Male,0,0,40, El-Salvador, <=50K
58, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, >50K
23, Private, Assoc-acdm, Never-married, Machine-op-inspct, Not-in-family, Black, Female,3127,0,40, El-Salvador, <=50K
23, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,38, Ecuador, <=50K
61, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,54, Yugoslavia, <=50K
18, Private, Some-college, Never-married, Farming-fishing, Own-child, Asian-Pac-Islander, Female,0,0,30, Dominican-Republic, <=50K
44, Local-gov, HS-grad, Separated, Craft-repair, Not-in-family, Black, Female,0,0,40, Scotland, <=50K
24, Private, HS-grad, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, Scotland, <=50K
38, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,25, Ireland, <=50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,40, Nicaragua, >50K
39, Private, Some-college, Never-married, Other-service, Not-in-family, Other, Female,0,0,36, Canada, <=50K
35, Private, Masters, Divorced, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Dominican-Republic, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, Philippines, <=50K
25, Private, HS-grad, Divorced, Transport-moving, Unmarried, Black, Female,0,0,38, Vietnam, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, Columbia, >50K
37, Private, HS-grad, Divorced, Adm-clerical, Own-child, Other, Male,0,0,40, Yugoslavia, <=50K
20, Private, Assoc-acdm, Never-married, Protective-serv, Own-child, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
44, Private, Bachelors, Separated, Handlers-cleaners, Not-in-family, Black, Female,0,0,40, Yugoslavia, <=50K
36, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Amer-Indian-Eskimo, Male,0,0,35, Ecuador, >50K
24, Private, Bachelors, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,10, Jamaica, <=50K
31, Self-emp-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, Trinadad&Tobago, <=50K
43, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, China, >50K
56, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,7687,0,45, El-Salvador, >50K
34, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,40, Dominican-Republic, <=50K
52, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,50, France, <=50K
53, Self-emp-inc, HS-grad, Separated, Exec-managerial, Husband, Black, Male,0,0,98, Cambodia, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
26, Self-emp-not-inc, Some-college, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,25, Yugoslavia, <=50K
45, Private, Some-college, Divorced, Farming-fishing, Unmarried, Black, Female,0,0,63, Thailand, <=50K
56, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,54, Puerto-Rico, <=50K
24, Private, HS-grad, Never-married, Sales, Own-child, Black, Male,0,0,25, El-Salvador, <=50K
27, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
35, Private, Bachelors, Never-married, Sales, Not-in-family, Other, Female,0,0,60, Guatemala, <=50K
