27, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, Honduras, >50K
43, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
21, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,24, Mexico, <=50K
28, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,40, Japan, <=50K
57, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
22, Private, 11th, Never-married, Prof-specialty, Not-in-family, White, Female,3146,0,40, Mexico, <=50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, Iran, <=50K
59, Self-emp-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,54, Yugoslavia, <=50K
18, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,35, India, <=50K
42, Local-gov, HS-grad, Separated, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
23, Private, 12th, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,30, United-States, <=50K
49, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
38, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,37, China, <=50K
33, Self-emp-inc, Masters, Divorced, Sales, Not-in-family, Black, Male,0,0,40, Honduras, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, England, >50K
35, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Male,0,0,40, Vietnam, <=50K
19, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, Other, Female,0,0,40, United-States, <=50K
42, Private, Bachelors, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
