28, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, Germany, <=50K
45, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
22, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,24, Ireland, <=50K
30, Private, HS-grad, Divorced, Machine-op-inspct, Own-child, White, Male,0,0,40, Hong, <=50K
59, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
23, Private, 11th, Never-married, Other-service, Not-in-family, White, Female,3925,0,40, Hungary, <=50K
23, Private, Masters, Never-married, Other-service, Other-relative, White, Female,0,0,40, Haiti, <=50K
61, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Black, Male,0,0,54, Yugoslavia, <=50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,35, Guatemala, <=50K
44, Local-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,40, United-States, <=50K
24, Private, Assoc-acdm, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,30, United-States, <=50K
52, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, >50K
40, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,37, China, <=50K
36, Self-emp-inc, Prof-school, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Germany, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, Ecuador, >50K
38, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, Vietnam, <=50K
20, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, Black, Female,0,0,40, United-States, <=50K
44, Private, Bachelors, Widowed, Machine-op-inspct, Not-in-family, Other, Male,0,0,40, Yugoslavia, <=50K
36, Federal-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,35, Haiti, >50K
24, Private, HS-grad, Never-married, Other-service, Own-child, Other, Female,0,0,10, United-States, <=50K
31, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
43, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Dominican-Republic, >50K
57, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,45, Hungary, >50K
35, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, Greece, <=50K
52, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,50, Jamaica, <=50K
54, Self-emp-inc, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,99, China, <=50K
22, Private, HS-grad, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, China, <=50K
27, State-gov, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,25, Yugoslavia, <=50K
46, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Male,0,0,65, United-States, <=50K
57, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,54, United-States, <=50K
24, Private, Some-college, Never-married, Sales, Own-child, Other, Male,0,0,25, Honduras, <=50K
27, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,40, Mexico, <=50K
36, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,60, Peru, <=50K
32, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,70, Honduras, <=50K
23, Private, Bachelors, Never-married, Other-service, Unmarried, Black, Female,0,0,20, Greece, <=50K
58, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
27, Local-gov, Bachelors, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
44, Private, Bachelors, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,49, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,15024,0,50, Italy, >50K
30, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
51, Private, Assoc-voc, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
40, Federal-gov, 9th, Divorced, Other-service, Unmarried, Black, Male,0,0,45, Iran, <=50K
40, Local-gov, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, South, <=50K
48, Federal-gov, Bachelors, Widowed, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
61, Self-emp-not-inc, Assoc-acdm, Widowed, Sales, Unmarried, White, Male,0,0,80, United-States, <=50K
49, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Male,0,0,40, South, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, <=50K
26, Local-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,54, France, >50K
37, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,54, Haiti, <=50K
56, Self-emp-not-inc, Assoc-acdm, Widowed, Prof-specialty, Not-in-family, Other, Female,0,0,40, United-States, <=50K
26, Private, Some-college, Married-civ-spouse, Sales, Other-relative, White, Female,0,0,40, United-States, <=50K
23, State-gov, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,30, Germany, <=50K
45, Private, 10th, Never-married, Transport-moving, Own-child, White, Female,0,0,45, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Female,1612,0,55, United-States, >50K
54, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Male,0,0,15, United-States, <=50K
37, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
36, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,60, Haiti, <=50K
57, Private, HS-grad, Divorced, Sales, Not-in-family, Black, Male,0,0,40, Columbia, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, >50K
35, Private, Some-college, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
32, Private, Some-college, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,25, Laos, <=50K
45, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Nicaragua, <=50K
59, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Black, Female,0,0,50, United-States, <=50K
29, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,60, United-States, <=50K
33, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Thailand, <=50K
60, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Italy, >50K
40, Private, Bachelors, Divorced, Sales, Not-in-family, White, Female,0,0,50, Japan, <=50K
50, Self-emp-inc, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
19, Private, 11th, Never-married, Adm-clerical, Own-child, Black, Female,0,0,20, El-Salvador, <=50K
37, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Guatemala, <=50K
30, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,54, United-States, <=50K
32, Private, HS-grad, Never-married, Transport-moving, Unmarried, Black, Male,0,0,44, Germany, <=50K
36, Private, Bachelors, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,54, Japan, <=50K
48, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, >50K
19, Private, 11th, Never-married, Transport-moving, Own-child, Black, Female,0,0,30, Columbia, <=50K
28, Private, Some-college, Never-married, Handlers-cleaners, Wife, Black, Female,0,0,40, Germany, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1902,48, Poland, >50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,14, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
35, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
63, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,35, Cuba, >50K
