36, Private, HS-grad, Divorced, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, Puerto-Rico, <=50K
24, Private, Some-college, Married-civ-spouse, Sales, Own-child, White, Male,0,0,10, United-States, <=50K
58, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
52, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
21, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Female,0,0,50, United-States, <=50K
55, Private, 5th-6th, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, >50K
31, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,54, Vietnam, <=50K
41, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
44, Federal-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
42, Private, 7th-8th, Never-married, Other-service, Not-in-family, White, Female,0,0,30, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,45, United-States, >50K
23, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,12, United-States, >50K
27, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Germany, <=50K
60, Self-emp-not-inc, Masters, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,38, United-States, >50K
26, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
44, Self-emp-inc, Bachelors, Divorced, Exec-managerial, Unmarried, White, Female,0,0,45, Taiwan, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,43, United-States, <=50K
37, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
64, Private, Bachelors, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,20, United-States, <=50K
38, Federal-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,1902,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, Mexico, <=50K
46, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,30, United-States, >50K
40, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,30, Scotland, <=50K
32, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,35, United-States, <=50K
30, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Male,0,0,40, Germany, <=50K
38, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,32, France, <=50K
31, State-gov, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,24, United-States, <=50K
36, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,15, United-States, <=50K
23, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,45, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,10, United-States, <=50K
50, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States, <=50K
47, Without-pay, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,60, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,35, United-States, <=50K
26, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
34, Federal-gov, Bachelors, Never-married, Adm-clerical, Unmarried, White, Female,0,0,50, United-States, >50K
56, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,44, United-States, >50K
30, Private, Some-college, Never-married, Sales, Unmarried, Black, Female,0,0,20, United-States, <=50K
30, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,70, United-States, <=50K
34, Private, Assoc-voc, Divorced, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
33, Local-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,45, United-States, >50K
51, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,50, United-States, <=50K
26, Local-gov, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, United-States, <=50K
53, Private, Assoc-voc, Widowed, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
44, Local-gov, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
46, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,38, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,7631,0,40, United-States, >50K
59, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,12, United-States, <=50K
55, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
42, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1879,40, United-States, >50K
37, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
31, Private, 12th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, Mexico, <=50K
28, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,45, Yugoslavia, <=50K
29, Private, HS-grad, Never-married, Prof-specialty, Own-child, Black, Female,2709,0,40, United-States, >50K
33, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,25, United-States, <=50K
56, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
43, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,4630,0,40, United-States, >50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,10, United-States, <=50K
45, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
33, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
49, Private, Masters, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, Private, Doctorate, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,2196,0,45, United-States, <=50K
27, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
50, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
30, Private, 12th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, South, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Male,0,0,35, United-States, <=50K
21, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,10, United-States, <=50K
61, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
51, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
17, Private, 10th, Never-married, Adm-clerical, Own-child, White, Female,0,0,15, United-States, >50K
37, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, India, <=50K
42, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,42, United-States, >50K
53, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,17, United-States, <=50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,44, United-States, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
47, Local-gov, HS-grad, Married-civ-spouse, Sales, Own-child, White, Female,15024,0,40, United-States, >50K
56, Local-gov, Doctorate, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,40, Nicaragua, <=50K
25, Private, Some-college, Never-married, Other-service, Wife, White, Female,0,0,8, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
46, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,15024,0,54, United-States, >50K
23, State-gov, HS-grad, Never-married, Craft-repair, Other-relative, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Protective-serv, Own-child, Asian-Pac-Islander, Female,0,0,6, United-States, <=50K
75, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,99999,0,25, United-States, <=50K
22, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Divorced, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
25, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
52, Local-gov, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Mexico, <=50K
55, Federal-gov, 5th-6th, Married-civ-spouse, Sales, Husband, White, Male,15024,0,30, United-States, >50K
62, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,1594,40, United-States, >50K
85, Private, Some-college, Widowed, Sales, Not-in-family, White, Male,0,0,35, United-States, <=50K
39, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,1887,60, United-States, >50K
47, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
28, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Without-pay, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,38, United-States, <=50K
