36, Private, HS-grad, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,10, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
52, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
21, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Female,0,0,50, United-States, <=50K
54, Private, 7th-8th, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, >50K
31, Private, Masters, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States, <=50K
28, Private, Bachelors, Divorced, Craft-repair, Wife, White, Male,0,0,54, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
44, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
43, Private, 9th, Never-married, Other-service, Not-in-family, White, Female,0,0,30, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,45, United-States, >50K
23, Self-emp-inc, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,11, United-States, <=50K
27, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Germany, <=50K
61, Self-emp-not-inc, Prof-school, Divorced, Protective-serv, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,38, United-States, >50K
26, Private, HS-grad, Divorced, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
44, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,45, Portugal, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,44, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Other-service, Own-child, White, Female,0,0,35, United-States, <=50K
64, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, United-States, <=50K
38, Federal-gov, HS-grad, Divorced, Craft-repair, Own-child, White, Male,0,0,50, United-States, <=50K
33, Private, HS-grad, Divorced, Exec-managerial, Own-child, White, Male,0,0,50, United-States, <=50K
46, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1902,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, Mexico, <=50K
46, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,30, United-States, >50K
41, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,30, United-States, <=50K
33, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,35, United-States, <=50K
30, Private, Bachelors, Separated, Craft-repair, Not-in-family, White, Female,0,0,40, Germany, <=50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,32, Germany, <=50K
32, State-gov, Some-college, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,24, United-States, <=50K
36, Private, Some-college, Never-married, Other-service, Wife, White, Male,0,0,15, United-States, <=50K
23, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,0,45, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,10, United-States, <=50K
50, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
59, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States, <=50K
47, State-gov, Doctorate, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,60, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,35, United-States, <=50K
26, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
35, Federal-gov, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,50, United-States, >50K
57, Self-emp-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,45, United-States, >50K
29, Private, Some-college, Never-married, Sales, Unmarried, Black, Female,0,0,20, United-States, <=50K
30, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,70, United-States, <=50K
34, Private, Assoc-voc, Divorced, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
33, Federal-gov, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1977,45, United-States, >50K
51, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
26, Federal-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
54, Self-emp-not-inc, Assoc-voc, Widowed, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
52, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Vietnam, <=50K
44, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
46, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,70, United-States, <=50K
18, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,38, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,40, United-States, >50K
59, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,12, United-States, <=50K
55, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
42, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,0,1887,40, United-States, >50K
37, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
31, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, Japan, <=50K
28, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,45, Yugoslavia, <=50K
29, Private, Some-college, Never-married, Other-service, Unmarried, Black, Female,2906,0,40, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,25, United-States, >50K
56, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
43, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,5974,0,40, United-States, >50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,10, United-States, <=50K
45, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
33, Private, Assoc-voc, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
49, Private, Masters, Divorced, Protective-serv, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,3346,0,45, United-States, <=50K
27, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
30, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, Mexico, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, White, Male,0,0,40, United-States, <=50K
