36, Private, HS-grad, Divorced, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, Thailand, <=50K
24, Private, Some-college, Married-civ-spouse, Sales, Own-child, White, Male,0,0,10, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
53, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
21, Private, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K
54, Private, 10th, Married-civ-spouse, Sales, Husband, White, Male,0,0,52, United-States, >50K
32, Private, HS-grad, Married-spouse-absent, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
27, Private, Bachelors, Divorced, Craft-repair, Wife, White, Male,0,0,54, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
44, Federal-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
42, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, White, Female,0,0,30, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,45, United-States, >50K
23, Self-emp-not-inc, Bachelors, Never-married, Sales, Own-child, White, Female,0,0,10, United-States, >50K
28, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Germany, <=50K
60, Self-emp-not-inc, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,36, United-States, >50K
26, Private, HS-grad, Divorced, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
44, Private, Bachelors, Divorced, Exec-managerial, Unmarried, White, Female,0,0,45, Philippines, <=50K
37, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
63, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,20, United-States, <=50K
38, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,50, United-States, <=50K
33, Private, HS-grad, Divorced, Farming-fishing, Own-child, White, Male,0,0,50, United-States, <=50K
46, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1902,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, Mexico, <=50K
46, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,30, United-States, >50K
40, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,30, United-States, <=50K
32, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,35, United-States, <=50K
30, Private, Some-college, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, Germany, <=50K
38, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,30, France, <=50K
32, State-gov, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
36, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
23, Private, Some-college, Never-married, Transport-moving, Not-in-family, Other, Male,0,0,42, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,10, United-States, <=50K
51, Local-gov, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
59, Self-emp-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, United-States, <=50K
47, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,60, United-States, >50K
31, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,35, Philippines, <=50K
26, Self-emp-not-inc, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
35, Federal-gov, Bachelors, Never-married, Exec-managerial, Wife, White, Female,0,0,50, United-States, >50K
57, Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,99999,0,45, United-States, >50K
29, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,70, United-States, <=50K
34, Private, Bachelors, Divorced, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
33, Local-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,45, United-States, >50K
51, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
27, Federal-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
