37, Private, HS-grad, Divorced, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
25, Private, Some-college, Divorced, Sales, Own-child, White, Male,0,0,10, Ireland, <=50K
59, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, England, <=50K
53, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, El-Salvador, >50K
21, Private, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K
55, Private, 7th-8th, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, El-Salvador, >50K
32, Private, Masters, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, Ecuador, <=50K
28, Private, Bachelors, Divorced, Craft-repair, Wife, White, Male,0,0,54, Yugoslavia, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Dominican-Republic, <=50K
45, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, South, >50K
43, Private, 7th-8th, Never-married, Other-service, Not-in-family, White, Female,0,0,30, South, <=50K
49, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,45, Ireland, >50K
24, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,12, Nicaragua, >50K
28, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Canada, <=50K
61, Self-emp-inc, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,40, Cuba, <=50K
45, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,38, Poland, <=50K
27, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,40, Vietnam, <=50K
45, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,45, Columbia, <=50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,42, Yugoslavia, <=50K
38, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,35, Japan, <=50K
65, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,20, Yugoslavia, <=50K
39, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Other, Male,0,0,50, Ecuador, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,50, Jamaica, <=50K
46, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1902,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, China, <=50K
46, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,30, El-Salvador, >50K
41, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,30, Dominican-Republic, <=50K
33, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,35, Germany, <=50K
31, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Male,0,0,40, Canada, <=50K
39, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,30, Canada, <=50K
32, State-gov, Some-college, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,20, Yugoslavia, <=50K
36, Private, Some-college, Never-married, Other-service, Unmarried, White, Male,0,0,15, Thailand, <=50K
23, Private, Some-college, Never-married, Transport-moving, Not-in-family, Black, Male,0,0,44, Puerto-Rico, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,10, El-Salvador, <=50K
51, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,50, Guatemala, <=50K
60, Self-emp-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,48, Guatemala, <=50K
48, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, Other, Male,0,0,60, Ecuador, <=50K
31, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,35, Dominican-Republic, <=50K
27, Self-emp-not-inc, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Nicaragua, >50K
35, Federal-gov, Bachelors, Never-married, Adm-clerical, Wife, White, Female,0,0,50, Japan, >50K
58, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,45, Laos, >50K
