37, Private, HS-grad, Divorced, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
25, Private, Some-college, Married-civ-spouse, Sales, Own-child, White, Male,0,0,10, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
53, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
21, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K
54, Private, 9th, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, >50K
31, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,54, Yugoslavia, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Taiwan, <=50K
45, Federal-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
42, Private, Assoc-voc, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,30, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, >50K
23, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,12, United-States, <=50K
27, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Ecuador, <=50K
60, Self-emp-not-inc, Some-college, Divorced, Sales, Not-in-family, Black, Female,0,0,40, Peru, <=50K
44, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,38, United-States, >50K
26, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Bachelors, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,45, Nicaragua, <=50K
38, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,43, United-States, >50K
38, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
64, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, United-States, <=50K
39, Federal-gov, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,50, United-States, <=50K
34, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, Hong, <=50K
47, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,30, United-States, >50K
41, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,30, Mexico, <=50K
33, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,35, United-States, <=50K
31, Private, HS-grad, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, Dominican-Republic, <=50K
39, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,32, Dominican-Republic, <=50K
32, State-gov, Some-college, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,24, Vietnam, <=50K
36, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, United-States, <=50K
23, Private, Some-college, Never-married, Transport-moving, Not-in-family, Black, Male,0,0,44, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,10, United-States, <=50K
51, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,48, United-States, <=50K
47, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,60, United-States, >50K
31, Private, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,35, Nicaragua, <=50K
27, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
35, Federal-gov, Bachelors, Never-married, Craft-repair, Wife, White, Female,0,0,50, United-States, >50K
57, Self-emp-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,45, United-States, >50K
30, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,70, United-States, <=50K
35, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Federal-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,45, United-States, >50K
51, Federal-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
26, Local-gov, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, United-States, <=50K
54, Private, Assoc-voc, Widowed, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, <=50K
57, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, <=50K
45, Local-gov, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Philippines, >50K
47, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,70, United-States, <=50K
18, Private, 12th, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,40, United-States, >50K
60, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Nicaragua, >50K
17, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,15, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
42, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,0,1852,40, United-States, >50K
37, Self-emp-inc, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
32, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Philippines, <=50K
48, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, Germany, <=50K
29, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,45, Yugoslavia, <=50K
29, Private, Masters, Never-married, Prof-specialty, Unmarried, Black, Female,2174,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,25, United-States, >50K
57, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
44, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,5178,0,40, United-States, >50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,10, United-States, <=50K
45, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
33, Private, Assoc-voc, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
50, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,3119,0,45, United-States, <=50K
27, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
50, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
