36, Private, HS-grad, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Hong, <=50K
24, Private, Some-college, Married-civ-spouse, Sales, Own-child, White, Male,0,0,10, United-States, <=50K
58, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Outlying-US(Guam-USVI-etc), <=50K
52, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Japan, >50K
21, Private, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K
54, Private, 1st-4th, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, Japan, >50K
31, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Female,0,0,40, Ireland, <=50K
27, Private, Bachelors, Divorced, Craft-repair, Wife, Other, Male,0,0,54, Yugoslavia, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Iran, <=50K
44, Federal-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
42, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, White, Female,0,0,30, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,45, United-States, >50K
23, Self-emp-not-inc, Bachelors, Never-married, Sales, Own-child, Other, Female,0,0,12, United-States, >50K
27, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Columbia, <=50K
60, Self-emp-not-inc, Some-college, Divorced, Sales, Not-in-family, Black, Female,0,0,40, Hong, <=50K
44, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, >50K
26, Private, HS-grad, Divorced, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
44, Private, Bachelors, Divorced, Craft-repair, Unmarried, White, Male,0,0,45, England, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Vietnam, >50K
37, Private, Bachelors, Never-married, Other-service, Not-in-family, Black, Female,0,0,35, United-States, <=50K
64, Private, HS-grad, Separated, Farming-fishing, Husband, White, Male,0,0,20, Vietnam, <=50K
38, Federal-gov, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,50, Ireland, <=50K
33, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,50, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, England, <=50K
46, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,30, Laos, >50K
40, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,30, Hungary, <=50K
32, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,35, South, <=50K
30, Private, HS-grad, Separated, Craft-repair, Not-in-family, White, Female,0,0,40, Columbia, <=50K
38, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Male,0,0,34, Columbia, <=50K
31, State-gov, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,25, Yugoslavia, <=50K
36, Private, Some-college, Never-married, Other-service, Wife, White, Male,0,0,15, United-States, <=50K
23, Private, Some-college, Never-married, Transport-moving, Not-in-family, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,10, Laos, <=50K
50, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,48, United-States, <=50K
47, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, Jamaica, <=50K
31, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,35, India, <=50K
26, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
34, Federal-gov, Bachelors, Never-married, Exec-managerial, Wife, White, Female,0,0,50, United-States, >50K
56, Self-emp-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,45, United-States, >50K
29, Private, Some-college, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,20, Mexico, <=50K
30, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,70, United-States, <=50K
34, Private, Bachelors, Divorced, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
33, Federal-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,1977,45, Laos, >50K
51, Federal-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,50, United-States, <=50K
26, Federal-gov, Masters, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
53, Self-emp-inc, Assoc-voc, Widowed, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, <=50K
44, Local-gov, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Haiti, >50K
46, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,70, Italy, <=50K
18, Private, 12th, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,40, United-States, >50K
