35, Self-emp-inc, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Hungary, <=50K
18, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,20, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,43, Japan, <=50K
40, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Laos, <=50K
36, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, 12th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,50, Iran, >50K
34, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Italy, <=50K
42, Self-emp-inc, Assoc-acdm, Divorced, Craft-repair, Wife, Other, Male,0,0,48, Yugoslavia, <=50K
43, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,45, Hong, <=50K
39, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, 11th, Never-married, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
19, Private, 11th, Never-married, Sales, Not-in-family, Other, Female,0,0,20, United-States, >50K
30, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Columbia, <=50K
41, Self-emp-not-inc, Masters, Married-civ-spouse, Protective-serv, Not-in-family, Black, Male,0,0,40, Hong, <=50K
36, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
42, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, England, >50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Vietnam, >50K
32, Self-emp-inc, 9th, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
36, Private, Bachelors, Separated, Exec-managerial, Husband, White, Male,0,0,40, Yugoslavia, <=50K
43, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,48, India, >50K
42, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,30, United-States, <=50K
23, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,30, Ecuador, <=50K
32, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Laos, <=50K
29, Private, Bachelors, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,40, Hong, <=50K
27, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Female,0,0,37, Peru, <=50K
34, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, Columbia, <=50K
31, Private, HS-grad, Never-married, Exec-managerial, Own-child, Other, Male,0,0,40, Columbia, >50K
22, State-gov, Some-college, Never-married, Other-service, Unmarried, Black, Female,0,0,25, Yugoslavia, <=50K
21, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States, <=50K
