37, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
29, Private, HS-grad, Divorced, Protective-serv, Not-in-family, White, Male,0,0,19, Mexico, >50K
60, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, Germany, <=50K
52, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, England, <=50K
23, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
55, Private, 1st-4th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,54, England, >50K
35, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
30, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,60, Yugoslavia, <=50K
45, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,50, Ecuador, >50K
43, Federal-gov, HS-grad, Never-married, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
45, Private, 11th, Married-spouse-absent, Machine-op-inspct, Husband, White, Female,0,0,27, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,50, Laos, >50K
23, Private, Assoc-acdm, Never-married, Sales, Not-in-family, Black, Female,0,0,15, Scotland, >50K
32, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Canada, <=50K
62, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
45, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,35, Trinadad&Tobago, <=50K
30, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, Other, Female,0,0,40, Vietnam, <=50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Columbia, >50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Yugoslavia, >50K
41, Self-emp-inc, 7th-8th, Married-civ-spouse, Other-service, Other-relative, Asian-Pac-Islander, Female,0,0,32, Peru, <=50K
61, Private, Assoc-voc, Widowed, Craft-repair, Husband, Black, Male,0,0,30, Yugoslavia, <=50K
43, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, El-Salvador, >50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,54, Mexico, >50K
42, Private, Some-college, Divorced, Prof-specialty, Husband, White, Female,0,1902,50, United-States, <=50K
31, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,38, Columbia, <=50K
48, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,27, France, <=50K
43, Private, Assoc-voc, Divorced, Prof-specialty, Unmarried, Other, Male,0,0,30, Ecuador, <=50K
35, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Female,0,0,37, Guatemala, <=50K
35, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, Canada, <=50K
42, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,30, Canada, >50K
33, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,20, Yugoslavia, <=50K
35, Private, Some-college, Never-married, Exec-managerial, Unmarried, Other, Male,0,0,20, United-States, <=50K
23, Local-gov, Some-college, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Prof-specialty, Own-child, Black, Male,0,0,12, France, <=50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,50, Honduras, <=50K
61, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Hong, >50K
51, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, El-Salvador, <=50K
33, Private, Bachelors, Never-married, Farming-fishing, Unmarried, Black, Female,0,0,40, Ecuador, <=50K
27, Self-emp-not-inc, Masters, Never-married, Protective-serv, Not-in-family, White, Female,0,0,54, Portugal, >50K
38, Federal-gov, Assoc-voc, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,54, Outlying-US(Guam-USVI-etc), >50K
58, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,99999,0,60, Mexico, >50K
32, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,20, Greece, <=50K
34, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,74, Peru, <=50K
36, Private, Assoc-voc, Divorced, Machine-op-inspct, Other-relative, Other, Male,0,0,40, Trinadad&Tobago, <=50K
45, Federal-gov, 1st-4th, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,1902,54, France, >50K
51, Federal-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Other, Female,0,0,50, Iran, <=50K
33, Federal-gov, HS-grad, Widowed, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Portugal, <=50K
55, Self-emp-not-inc, Assoc-acdm, Widowed, Priv-house-serv, Wife, Other, Male,0,0,40, Peru, <=50K
56, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, India, <=50K
53, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Yugoslavia, <=50K
43, Local-gov, 9th, Divorced, Exec-managerial, Husband, White, Male,0,0,40, Dominican-Republic, >50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,70, Ecuador, <=50K
19, Private, 5th-6th, Never-married, Prof-specialty, Own-child, Black, Female,0,0,40, Japan, <=50K
43, Private, Some-college, Married-civ-spouse, Priv-house-serv, Husband, White, Female,7298,0,40, Puerto-Rico, >50K
61, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Dominican-Republic, >50K
17, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,20, Peru, <=50K
55, Private, HS-grad, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Peru, >50K
40, Private, Prof-school, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1902,46, United-States, >50K
36, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,0,0,40, United-States, <=50K
35, Private, 11th, Married-civ-spouse, Adm-clerical, Own-child, White, Female,0,0,40, El-Salvador, <=50K
52, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, China, >50K
31, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,0,0,45, Yugoslavia, >50K
39, Private, HS-grad, Never-married, Priv-house-serv, Husband, Amer-Indian-Eskimo, Female,4822,0,40, United-States, >50K
36, Private, Preschool, Never-married, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,25, Haiti, <=50K
56, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, Thailand, <=50K
43, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,5178,0,40, Hong, >50K
18, Private, 11th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,8, United-States, <=50K
47, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
35, Private, 5th-6th, Separated, Adm-clerical, Husband, White, Male,0,0,40, Jamaica, <=50K
47, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, Greece, <=50K
44, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Female,5178,0,40, Guatemala, <=50K
32, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,40, Laos, <=50K
52, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,0,0,60, Outlying-US(Guam-USVI-etc), >50K
34, Local-gov, 11th, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
33, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,35, El-Salvador, <=50K
23, Private, 9th, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,15, United-States, <=50K
62, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
52, Private, Bachelors, Separated, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Guatemala, <=50K
17, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,16, United-States, >50K
37, Local-gov, 7th-8th, Married-civ-spouse, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,40, China, <=50K
45, Self-emp-inc, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,45, Ecuador, >50K
53, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, India, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,15, Nicaragua, <=50K
39, Self-emp-inc, Bachelors, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,48, United-States, <=50K
