21, Private, HS-grad, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
36, Local-gov, Prof-school, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, <=50K
22, Private, Bachelors, Never-married, Farming-fishing, Own-child, White, Male,0,0,43, United-States, <=50K
72, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
65, Private, Bachelors, Widowed, Transport-moving, Not-in-family, White, Male,0,0,10, United-States, <=50K
20, Private, 11th, Never-married, Other-service, Not-in-family, White, Female,0,0,35, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, <=50K
20, Private, Assoc-acdm, Never-married, Other-service, Wife, Other, Female,0,0,15, Vietnam, <=50K
39, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, >50K
23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,5, United-States, <=50K
40, Private, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
33, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
59, Self-emp-not-inc, Bachelors, Widowed, Sales, Own-child, White, Female,0,0,60, United-States, >50K
45, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Germany, <=50K
50, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,99, United-States, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,1740,30, United-States, <=50K
30, Private, HS-grad, Divorced, Tech-support, Own-child, White, Female,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,3981,0,54, United-States, >50K
26, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
21, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, White, Female,0,0,43, United-States, <=50K
18, Private, Assoc-acdm, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
29, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States, <=50K
37, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, Mexico, <=50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,3325,0,40, United-States, <=50K
30, Private, HS-grad, Divorced, Sales, Unmarried, White, Male,0,0,40, United-States, >50K
25, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
49, Self-emp-not-inc, Masters, Never-married, Exec-managerial, Husband, White, Male,0,0,99, Honduras, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, Hong, >50K
37, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
56, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
52, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
35, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
54, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,50, United-States, <=50K
52, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
37, Self-emp-not-inc, Some-college, Separated, Prof-specialty, Unmarried, White, Female,0,0,25, United-States, <=50K
19, Local-gov, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,15, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,5013,0,40, United-States, >50K
20, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,35, United-States, <=50K
36, Private, Assoc-acdm, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
52, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,0,0,52, United-States, >50K
45, Federal-gov, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
28, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
19, Local-gov, Some-college, Never-married, Other-service, Not-in-family, Black, Male,0,0,25, United-States, <=50K
