22, Private, Masters, Never-married, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
37, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, >50K
22, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,43, United-States, <=50K
72, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
66, Private, Bachelors, Widowed, Tech-support, Not-in-family, White, Female,0,0,10, United-States, <=50K
20, Private, 11th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, <=50K
20, Private, Bachelors, Never-married, Farming-fishing, Wife, White, Female,0,0,15, Vietnam, <=50K
40, Private, HS-grad, Widowed, Farming-fishing, Wife, White, Female,0,0,40, United-States, <=50K
23, Local-gov, Some-college, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,5, United-States, <=50K
40, Private, Assoc-acdm, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
33, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
61, Self-emp-not-inc, Bachelors, Widowed, Sales, Not-in-family, White, Female,0,0,60, United-States, >50K
45, Private, Masters, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Germany, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,99, United-States, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,1740,30, United-States, <=50K
31, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,4458,0,54, United-States, >50K
26, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,20, United-States, <=50K
21, Private, Assoc-voc, Never-married, Other-service, Own-child, Black, Female,0,0,43, United-States, <=50K
18, Private, Assoc-voc, Never-married, Other-service, Other-relative, White, Male,0,0,15, United-States, <=50K
30, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
25, Private, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,0,0,60, United-States, <=50K
38, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, Mexico, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,3974,0,40, United-States, >50K
30, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
26, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
50, Self-emp-not-inc, Prof-school, Never-married, Exec-managerial, Husband, White, Male,0,0,99, Mexico, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, Guatemala, >50K
37, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
57, Private, Some-college, Widowed, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
53, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,60, United-States, >50K
36, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
55, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Bachelors, Never-married, Protective-serv, Not-in-family, White, Male,0,0,50, United-States, <=50K
53, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,60, United-States, >50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
37, Private, Some-college, Separated, Other-service, Unmarried, White, Female,0,0,25, United-States, <=50K
19, Local-gov, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,15, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,5178,0,40, United-States, >50K
20, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,35, United-States, <=50K
