21, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,50, Dominican-Republic, <=50K
36, Local-gov, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,35, Ireland, >50K
22, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,0,0,43, England, <=50K
72, Self-emp-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, El-Salvador, <=50K
67, Private, Bachelors, Widowed, Tech-support, Not-in-family, White, Female,0,0,10, United-States, <=50K
20, Private, 11th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,35, El-Salvador, <=50K
24, Private, Prof-school, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, Ecuador, >50K
20, Private, Bachelors, Never-married, Handlers-cleaners, Wife, White, Female,0,0,15, Yugoslavia, <=50K
39, Private, HS-grad, Separated, Handlers-cleaners, Not-in-family, White, Female,0,0,40, Dominican-Republic, <=50K
23, Local-gov, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,4, Taiwan, <=50K
40, Self-emp-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Taiwan, >50K
33, Private, HS-grad, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,50, Ireland, <=50K
61, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,60, Outlying-US(Guam-USVI-etc), >50K
45, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Canada, <=50K
50, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,99, Cuba, >50K
20, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,1858,30, Poland, <=50K
31, Private, Doctorate, Divorced, Tech-support, Unmarried, Black, Female,0,0,40, Vietnam, <=50K
44, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,4286,0,52, Columbia, >50K
25, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,20, Yugoslavia, <=50K
21, Private, Assoc-acdm, Never-married, Other-service, Own-child, White, Female,0,0,43, Japan, <=50K
18, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, Yugoslavia, <=50K
29, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Ecuador, >50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Jamaica, <=50K
24, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,60, United-States, <=50K
38, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, China, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,3926,0,40, El-Salvador, >50K
30, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, Dominican-Republic, <=50K
25, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, Germany, <=50K
49, Self-emp-not-inc, Masters, Never-married, Exec-managerial, Husband, White, Male,0,0,99, Cambodia, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, Canada, >50K
37, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Yugoslavia, <=50K
57, Private, Some-college, Widowed, Exec-managerial, Unmarried, White, Female,0,0,40, Thailand, <=50K
52, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, South, >50K
35, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, El-Salvador, <=50K
55, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Guatemala, <=50K
33, Private, Bachelors, Never-married, Protective-serv, Not-in-family, White, Male,0,0,50, Guatemala, <=50K
52, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Ecuador, >50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, Dominican-Republic, <=50K
37, Self-emp-not-inc, Some-college, Never-married, Other-service, Unmarried, Black, Female,0,0,27, Nicaragua, <=50K
19, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,15, Laos, <=50K
37, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,5013,0,40, Japan, >50K
20, Private, Some-college, Never-married, Sales, Own-child, Other, Male,0,0,35, France, <=50K
36, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Mexico, <=50K
52, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,53, Poland, >50K
46, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, England, >50K
28, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, Hong, <=50K
19, Local-gov, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,25, Nicaragua, <=50K
19, Private, Assoc-voc, Separated, Other-service, Wife, White, Female,0,0,40, Japan, <=50K
28, Self-emp-not-inc, Masters, Never-married, Sales, Not-in-family, Black, Female,0,0,35, Honduras, <=50K
52, Self-emp-not-inc, Masters, Divorced, Adm-clerical, Not-in-family, White, Female,0,1843,40, Yugoslavia, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Cuba, >50K
29, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Ecuador, <=50K
22, Private, Assoc-voc, Never-married, Other-service, Own-child, White, Female,0,0,25, India, <=50K
67, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,846,0,60, Peru, >50K
39, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, >50K
30, Self-emp-not-inc, 10th, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,25, Jamaica, <=50K
27, Private, Masters, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Jamaica, <=50K
19, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,45, South, <=50K
32, Self-emp-not-inc, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,43, Trinadad&Tobago, <=50K
37, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Ecuador, >50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Canada, >50K
28, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,45, Yugoslavia, >50K
60, Self-emp-not-inc, Some-college, Widowed, Prof-specialty, Not-in-family, Black, Female,0,0,40, Taiwan, <=50K
19, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Greece, <=50K
21, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,40, Philippines, <=50K
56, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, Guatemala, <=50K
26, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,2175,0,40, Puerto-Rico, <=50K
43, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Jamaica, >50K
39, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Iran, >50K
45, Private, HS-grad, Divorced, Protective-serv, Husband, White, Male,0,0,25, France, <=50K
37, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,38, Germany, <=50K
36, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Ireland, <=50K
43, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Japan, >50K
28, Private, 12th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Columbia, <=50K
58, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, Jamaica, <=50K
23, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,45, Ecuador, <=50K
32, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,35, Taiwan, <=50K
61, Self-emp-not-inc, Prof-school, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Cuba, <=50K
57, Private, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, Germany, >50K
25, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, South, >50K
17, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,10, Canada, <=50K
53, Private, Some-college, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,40, Dominican-Republic, <=50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Honduras, >50K
45, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, Ireland, >50K
21, Private, Doctorate, Divorced, Handlers-cleaners, Own-child, White, Male,0,0,40, Trinadad&Tobago, <=50K
26, Private, Assoc-voc, Never-married, Other-service, Own-child, White, Male,0,0,25, Trinadad&Tobago, <=50K
60, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Columbia, <=50K
45, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,80, China, >50K
32, Private, Some-college, Never-married, Machine-op-inspct, Wife, White, Female,0,0,40, Hong, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Taiwan, <=50K
18, Private, Prof-school, Never-married, Sales, Own-child, Black, Female,0,0,10, Guatemala, <=50K
32, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,55, Greece, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Black, Female,0,0,24, United-States, <=50K
30, Private, HS-grad, Never-married, Sales, Wife, Black, Female,0,0,40, China, <=50K
36, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Wife, White, Male,0,0,40, England, <=50K
30, Private, HS-grad, Married-spouse-absent, Other-service, Wife, White, Female,0,0,40, Taiwan, <=50K
26, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,38, Taiwan, <=50K
26, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Husband, White, Male,0,0,40, Thailand, >50K
26, Private, HS-grad, Never-married, Other-service, Husband, White, Male,0,0,25, Puerto-Rico, <=50K
56, Private, HS-grad, Widowed, Tech-support, Not-in-family, White, Female,0,0,35, France, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, Black, Male,0,0,40, China, <=50K
47, Federal-gov, 12th, Divorced, Protective-serv, Unmarried, White, Female,0,0,16, Jamaica, <=50K
31, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,45, Trinadad&Tobago, >50K
52, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,15024,0,45, Portugal, <=50K
33, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,65, Ireland, >50K
24, State-gov, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, Thailand, <=50K
32, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,54, England, <=50K
32, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Haiti, <=50K
42, Self-emp-not-inc, Prof-school, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, Thailand, >50K
33, Self-emp-inc, HS-grad, Never-married, Craft-repair, Unmarried, White, Male,0,1672,40, Thailand, <=50K
27, State-gov, Some-college, Separated, Prof-specialty, Not-in-family, White, Female,0,0,40, Haiti, <=50K
39, Private, Bachelors, Divorced, Farming-fishing, Husband, White, Male,0,0,60, El-Salvador, <=50K
54, Private, Prof-school, Widowed, Sales, Not-in-family, White, Female,0,0,40, Germany, <=50K
52, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Scotland, >50K
27, Private, Some-college, Never-married, Other-service, Other-relative, White, Male,0,0,40, Taiwan, <=50K
34, Private, Some-college, Separated, Exec-managerial, Not-in-family, White, Male,0,1722,50, Peru, <=50K
65, Private, Bachelors, Widowed, Sales, Husband, White, Female,0,0,40, Portugal, <=50K
