21, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
36, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,35, United-States, >50K
22, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,44, United-States, <=50K
70, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
66, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,11, United-States, <=50K
20, Private, 11th, Never-married, Prof-specialty, Other-relative, White, Female,0,0,35, United-States, <=50K
24, Private, HS-grad, Married-spouse-absent, Handlers-cleaners, Not-in-family, White, Male,0,0,45, United-States, <=50K
20, Private, 11th, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,15, United-States, <=50K
39, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,4, United-States, <=50K
39, Private, 7th-8th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,50, United-States, <=50K
60, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
44, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, Germany, <=50K
46, Self-emp-not-inc, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,99, United-States, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,1672,30, United-States, <=50K
30, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
43, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,5111,0,54, United-States, >50K
25, Private, Preschool, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,20, United-States, <=50K
21, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,44, United-States, <=50K
18, Private, 12th, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,15, United-States, <=50K
29, Federal-gov, HS-grad, Never-married, Craft-repair, Other-relative, Other, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,60, United-States, <=50K
37, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, Mexico, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,4700,0,40, United-States, >50K
29, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
25, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
45, Self-emp-not-inc, HS-grad, Separated, Exec-managerial, Husband, White, Male,0,0,99, India, <=50K
39, Private, HS-grad, Married-spouse-absent, Craft-repair, Other-relative, White, Male,0,0,30, Guatemala, >50K
36, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, White, Male,0,0,45, United-States, <=50K
56, Private, Masters, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
52, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
35, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
54, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
52, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
18, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
37, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Own-child, White, Female,0,0,25, United-States, <=50K
19, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,15, United-States, <=50K
36, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Male,5013,0,40, United-States, >50K
20, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,35, United-States, <=50K
36, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
52, Private, Assoc-voc, Divorced, Machine-op-inspct, Husband, White, Male,0,0,52, United-States, >50K
45, Federal-gov, 7th-8th, Divorced, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
28, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Female,0,0,50, United-States, <=50K
19, Local-gov, HS-grad, Never-married, Other-service, Not-in-family, Black, Male,0,0,25, United-States, <=50K
19, Private, 7th-8th, Separated, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
27, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,35, United-States, <=50K
53, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Female,0,1977,40, Vietnam, <=50K
42, Private, Assoc-acdm, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
22, Private, Assoc-acdm, Never-married, Other-service, Own-child, White, Female,0,0,25, United-States, <=50K
71, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,4974,0,60, United-States, >50K
39, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
30, Private, 10th, Never-married, Tech-support, Own-child, White, Female,0,0,25, United-States, <=50K
27, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, >50K
19, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,45, United-States, >50K
32, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,44, United-States, <=50K
36, Private, 12th, Married-civ-spouse, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Japan, >50K
28, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,0,0,45, Yugoslavia, >50K
60, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, United-States, >50K
19, Private, Some-college, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
21, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
25, Private, Assoc-voc, Never-married, Exec-managerial, Husband, White, Female,3103,0,40, United-States, <=50K
43, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,50, United-States, <=50K
38, Private, 9th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, HS-grad, Divorced, Protective-serv, Husband, White, Male,0,0,25, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,38, United-States, <=50K
