21, Private, HS-grad, Never-married, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Poland, <=50K
36, Private, Masters, Divorced, Sales, Not-in-family, White, Male,0,0,35, United-States, <=50K
22, Private, Bachelors, Never-married, Farming-fishing, Own-child, White, Female,0,0,42, United-States, <=50K
71, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
66, Private, HS-grad, Widowed, Transport-moving, Not-in-family, White, Female,0,0,10, United-States, <=50K
20, Private, 11th, Never-married, Other-service, Not-in-family, White, Female,0,0,35, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,45, United-States, <=50K
20, Private, Assoc-acdm, Never-married, Adm-clerical, Wife, White, Female,0,0,15, Vietnam, <=50K
39, Private, HS-grad, Separated, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
23, Local-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,5, United-States, <=50K
39, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
32, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
60, Self-emp-not-inc, Bachelors, Married-spouse-absent, Tech-support, Not-in-family, White, Female,0,0,60, United-States, >50K
44, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
50, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,99, United-States, >50K
21, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,1738,30, United-States, <=50K
30, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,3931,0,54, Mexico, >50K
25, Private, Masters, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,20, United-States, <=50K
21, Private, Assoc-acdm, Never-married, Other-service, Own-child, White, Female,0,0,42, United-States, <=50K
18, Private, Assoc-acdm, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, United-States, <=50K
28, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,60, United-States, <=50K
37, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Iran, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,3930,0,40, United-States, >50K
29, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Male,0,0,40, Peru, <=50K
