21, Private, Masters, Never-married, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Honduras, <=50K
36, Local-gov, Masters, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, <=50K
22, Private, Bachelors, Never-married, Farming-fishing, Own-child, White, Male,0,0,42, Mexico, <=50K
71, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Japan, <=50K
65, Private, Bachelors, Separated, Tech-support, Not-in-family, White, Male,0,0,10, United-States, <=50K
20, Private, 11th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,35, Mexico, <=50K
24, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,45, Jamaica, <=50K
20, Private, Assoc-voc, Never-married, Handlers-cleaners, Unmarried, Other, Female,0,0,15, Yugoslavia, <=50K
38, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, Italy, >50K
23, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,4, United-States, <=50K
39, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
32, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,50, United-States, <=50K
59, Self-emp-not-inc, Doctorate, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,60, United-States, >50K
44, Self-emp-inc, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Columbia, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Other, Male,0,0,99, Haiti, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,1740,30, United-States, <=50K
29, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,4308,0,54, France, >50K
25, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,20, Vietnam, <=50K
21, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, Black, Female,0,0,40, United-States, <=50K
18, Private, Assoc-acdm, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, Vietnam, <=50K
28, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Jamaica, >50K
34, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States, <=50K
36, Private, HS-grad, Divorced, Handlers-cleaners, Husband, White, Male,0,0,40, France, <=50K
