21, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Germany, <=50K
36, Local-gov, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, >50K
22, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,0,0,43, Iran, <=50K
71, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Hong, <=50K
65, Private, Bachelors, Widowed, Transport-moving, Not-in-family, White, Male,0,0,12, United-States, <=50K
20, Private, 11th, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,35, Hungary, <=50K
24, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Honduras, >50K
20, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Wife, Black, Male,0,0,15, Yugoslavia, <=50K
39, Private, Masters, Never-married, Exec-managerial, Wife, Other, Female,0,0,40, Greece, >50K
23, Local-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,5, United-States, <=50K
39, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
32, Private, Masters, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,50, United-States, <=50K
60, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Not-in-family, Other, Female,0,0,60, United-States, >50K
44, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, China, <=50K
50, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,99, France, >50K
21, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,1679,30, United-States, <=50K
30, Private, HS-grad, Divorced, Transport-moving, Other-relative, White, Female,0,0,40, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,4386,0,54, Ecuador, >50K
25, Private, Some-college, Married-spouse-absent, Craft-repair, Own-child, White, Male,0,0,20, Vietnam, <=50K
21, Private, Bachelors, Never-married, Other-service, Own-child, Black, Female,0,0,44, United-States, <=50K
18, Private, Bachelors, Never-married, Handlers-cleaners, Other-relative, Other, Male,0,0,15, Yugoslavia, <=50K
29, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Haiti, >50K
34, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,60, United-States, <=50K
37, Private, HS-grad, Divorced, Farming-fishing, Husband, White, Male,0,0,40, Dominican-Republic, <=50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,3456,0,40, Hungary, <=50K
29, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, Greece, <=50K
25, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,35, Japan, <=50K
49, Self-emp-not-inc, Doctorate, Never-married, Exec-managerial, Husband, White, Female,0,0,99, Canada, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,30, China, >50K
36, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,45, Yugoslavia, <=50K
56, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
52, Local-gov, Some-college, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, >50K
35, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Hong, <=50K
54, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Peru, <=50K
32, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, Philippines, <=50K
52, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,60, Hong, >50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,20, Guatemala, <=50K
37, Self-emp-not-inc, Some-college, Divorced, Other-service, Unmarried, White, Female,0,0,28, United-States, <=50K
19, Private, 12th, Never-married, Adm-clerical, Own-child, White, Female,0,0,15, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,5178,0,40, United-States, >50K
20, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,35, Jamaica, <=50K
36, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
52, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,52, United-States, >50K
45, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, Italy, >50K
28, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,50, Puerto-Rico, <=50K
19, Local-gov, Some-college, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,25, United-States, <=50K
19, Private, Assoc-acdm, Separated, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
