21, Private, HS-grad, Married-spouse-absent, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, <=50K
35, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,35, Jamaica, <=50K
22, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,43, France, <=50K
70, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, England, <=50K
65, Private, Bachelors, Never-married, Transport-moving, Not-in-family, Other, Male,0,0,12, United-States, <=50K
20, Private, 11th, Never-married, Other-service, Not-in-family, Black, Female,0,0,35, England, <=50K
24, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,45, El-Salvador, <=50K
20, Private, 12th, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,15, Yugoslavia, <=50K
39, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, Ecuador, >50K
23, Local-gov, Some-college, Never-married, Other-service, Not-in-family, Black, Male,0,0,4, United-States, <=50K
39, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
32, Private, HS-grad, Divorced, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,50, Jamaica, <=50K
59, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,60, Philippines, >50K
44, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Canada, <=50K
51, Self-emp-not-inc, Prof-school, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,99, Dominican-Republic, <=50K
20, Private, Some-college, Never-married, Armed-Forces, Not-in-family, Other, Female,0,1843,30, Scotland, <=50K
29, Private, Bachelors, Divorced, Transport-moving, Not-in-family, Black, Female,0,0,40, Vietnam, <=50K
44, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,4386,0,54, Columbia, >50K
25, Private, Some-college, Never-married, Adm-clerical, Own-child, Other, Male,0,0,20, Yugoslavia, <=50K
21, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,44, Mexico, <=50K
18, Private, 12th, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,15, Yugoslavia, <=50K
29, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, El-Salvador, >50K
34, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, Black, Female,0,0,40, Mexico, <=50K
24, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,60, United-States, <=50K
36, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, Columbia, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,3677,0,40, England, <=50K
29, Private, Bachelors, Divorced, Prof-specialty, Unmarried, Black, Male,0,0,40, Ecuador, <=50K
25, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,35, Greece, <=50K
50, Self-emp-not-inc, HS-grad, Separated, Exec-managerial, Husband, Black, Female,0,0,99, Canada, <=50K
39, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,30, Canada, >50K
36, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,45, Yugoslavia, <=50K
55, Private, Some-college, Never-married, Exec-managerial, Unmarried, Black, Male,0,0,40, United-States, <=50K
52, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Female,0,0,60, Thailand, >50K
35, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,60, England, <=50K
54, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, Haiti, <=50K
32, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, Honduras, <=50K
52, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,60, El-Salvador, >50K
18, Private, HS-grad, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,20, Ecuador, <=50K
37, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Unmarried, White, Female,0,0,30, Philippines, <=50K
19, Local-gov, 11th, Never-married, Adm-clerical, Own-child, Other, Male,0,0,15, Nicaragua, <=50K
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,5246,0,40, Nicaragua, >50K
20, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,35, Germany, <=50K
35, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
52, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,54, Scotland, >50K
45, Federal-gov, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, France, >50K
28, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,50, India, <=50K
19, Local-gov, Some-college, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,25, Peru, <=50K
19, Private, Assoc-acdm, Never-married, Other-service, Unmarried, Other, Male,0,0,40, Mexico, <=50K
27, Self-emp-not-inc, HS-grad, Never-married, Protective-serv, Not-in-family, Asian-Pac-Islander, Male,0,0,35, Hungary, <=50K
51, Self-emp-inc, Preschool, Divorced, Adm-clerical, Not-in-family, Black, Female,0,1887,40, Yugoslavia, <=50K
42, Local-gov, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Cuba, >50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,50, Ecuador, <=50K
22, Private, Assoc-acdm, Never-married, Other-service, Own-child, Black, Female,0,0,25, Ireland, <=50K
64, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Other, Female,2563,0,60, Poland, <=50K
38, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Dominican-Republic, >50K
29, Private, 10th, Married-civ-spouse, Tech-support, Own-child, Other, Female,0,0,25, Laos, <=50K
26, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Mexico, <=50K
19, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,45, United-States, <=50K
32, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,44, United-States, <=50K
36, Private, 11th, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, El-Salvador, <=50K
41, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,45, Canada, >50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,45, Yugoslavia, >50K
59, Private, HS-grad, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Guatemala, <=50K
21, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, Scotland, <=50K
55, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, Honduras, <=50K
26, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,2589,0,40, Taiwan, <=50K
43, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Mexico, >50K
38, Private, 7th-8th, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, Ireland, >50K
43, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,27, Germany, <=50K
36, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Other, Female,0,0,38, Greece, <=50K
36, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,40, Jamaica, <=50K
42, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Nicaragua, >50K
28, Private, 11th, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
58, Private, Bachelors, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,48, Mexico, <=50K
23, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,45, El-Salvador, <=50K
31, Private, Bachelors, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,35, United-States, <=50K
61, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
57, Private, Bachelors, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,60, Greece, >50K
25, Private, 9th, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,10, China, <=50K
52, Private, Some-college, Widowed, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Hong, <=50K
45, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,54, Jamaica, >50K
21, Private, Bachelors, Divorced, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
25, Private, 9th, Never-married, Other-service, Not-in-family, White, Male,0,0,25, United-States, <=50K
60, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Other, Female,0,0,40, Cuba, <=50K
44, Private, Doctorate, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,80, China, <=50K
32, Private, Some-college, Never-married, Exec-managerial, Unmarried, Other, Female,0,0,40, India, <=50K
40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
18, Private, Bachelors, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,10, Haiti, <=50K
31, State-gov, HS-grad, Divorced, Exec-managerial, Own-child, Other, Male,0,0,60, Haiti, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,24, United-States, <=50K
30, Private, HS-grad, Never-married, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
35, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, England, <=50K
29, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, Other, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
26, Private, HS-grad, Never-married, Other-service, Not-in-family, Other, Female,0,0,25, Thailand, <=50K
55, Private, HS-grad, Separated, Transport-moving, Husband, White, Female,0,0,35, Germany, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, Black, Male,0,0,40, Columbia, <=50K
45, Federal-gov, 11th, Divorced, Prof-specialty, Unmarried, Other, Female,0,0,20, Laos, <=50K
31, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,0,0,45, United-States, >50K
52, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,15024,0,45, South, >50K
32, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,65, Jamaica, <=50K
24, Private, Some-college, Never-married, Transport-moving, Own-child, White, Female,0,0,40, United-States, <=50K
31, Self-emp-inc, HS-grad, Married-spouse-absent, Sales, Husband, Black, Male,0,0,54, France, <=50K
32, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
41, Self-emp-not-inc, HS-grad, Separated, Adm-clerical, Wife, White, Male,0,0,40, United-States, >50K
32, Self-emp-not-inc, Masters, Never-married, Armed-Forces, Not-in-family, White, Male,0,1841,40, United-States, <=50K
27, Without-pay, Some-college, Never-married, Priv-house-serv, Not-in-family, White, Male,0,0,40, Honduras, <=50K
38, Private, Bachelors, Divorced, Machine-op-inspct, Husband, Black, Male,0,0,60, El-Salvador, <=50K
53, Private, HS-grad, Widowed, Prof-specialty, Not-in-family, Other, Male,0,0,40, Guatemala, <=50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,60, Thailand, >50K
26, Private, Masters, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Separated, Exec-managerial, Not-in-family, White, Male,0,1848,50, Poland, <=50K
64, Private, Bachelors, Widowed, Sales, Husband, Black, Male,0,0,40, South, <=50K
22, Self-emp-not-inc, Some-college, Never-married, Other-service, Unmarried, Black, Male,0,0,20, Trinadad&Tobago, <=50K
43, Private, Some-college, Never-married, Tech-support, Unmarried, Amer-Indian-Eskimo, Male,0,0,45, Portugal, <=50K
22, Private, 7th-8th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,35, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,50, China, <=50K
28, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, Black, Male,0,0,40, South, <=50K
58, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Female,7298,0,20, Poland, >50K
44, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, Ireland, >50K
