21, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, <=50K
35, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,35, Ireland, >50K
22, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,42, England, <=50K
70, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, El-Salvador, <=50K
65, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,11, United-States, <=50K
20, Private, 11th, Never-married, Prof-specialty, Other-relative, Black, Female,0,0,35, El-Salvador, <=50K
24, Private, HS-grad, Married-spouse-absent, Machine-op-inspct, Not-in-family, White, Female,0,0,45, Ecuador, <=50K
20, Private, 12th, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,15, Yugoslavia, <=50K
38, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Dominican-Republic, <=50K
23, Local-gov, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,5, South, <=50K
39, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, Taiwan, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Italy, <=50K
60, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,60, Nicaragua, >50K
44, Private, Some-college, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,40, Canada, <=50K
40, Self-emp-not-inc, Masters, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,99, Dominican-Republic, <=50K
21, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,27, Portugal, <=50K
29, Private, HS-grad, Divorced, Transport-moving, Own-child, Black, Female,0,0,40, Vietnam, <=50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,4985,0,55, Columbia, >50K
25, Private, HS-grad, Married-civ-spouse, Adm-clerical, Own-child, Other, Male,0,0,20, Yugoslavia, <=50K
21, Private, Assoc-acdm, Never-married, Prof-specialty, Other-relative, Asian-Pac-Islander, Female,0,0,42, Japan, <=50K
18, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,15, Yugoslavia, <=50K
29, Federal-gov, HS-grad, Never-married, Craft-repair, Other-relative, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
34, Private, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, Black, Female,0,0,40, Japan, <=50K
23, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,60, United-States, <=50K
36, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, China, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,4386,0,40, El-Salvador, >50K
29, Private, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, Black, Male,0,0,40, Dominican-Republic, <=50K
25, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,35, Germany, <=50K
39, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Husband, Black, Female,0,0,99, Canada, <=50K
39, Private, HS-grad, Never-married, Craft-repair, Other-relative, Asian-Pac-Islander, Male,0,0,30, Canada, >50K
36, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,45, Yugoslavia, <=50K
55, Private, Masters, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,0,0,40, Trinadad&Tobago, <=50K
51, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Female,0,0,60, Scotland, <=50K
35, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,60, El-Salvador, <=50K
54, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Guatemala, <=50K
32, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,50, Guatemala, <=50K
52, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, Ecuador, <=50K
18, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Female,0,0,20, Dominican-Republic, <=50K
36, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,25, Outlying-US(Guam-USVI-etc), <=50K
19, Local-gov, 12th, Never-married, Adm-clerical, Own-child, Black, Male,0,0,15, Laos, <=50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,5013,0,40, Laos, >50K
20, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,35, France, <=50K
