44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,70, United-States, >50K
50, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
44, Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,15, United-States, <=50K
60, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,15, United-States, <=50K
68, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,20, United-States, <=50K
33, Private, Bachelors, Divorced, Exec-managerial, Wife, White, Female,0,0,50, United-States, <=50K
58, Private, HS-grad, Separated, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
55, Private, HS-grad, Never-married, Machine-op-inspct, Husband, White, Male,0,0,35, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, >50K
32, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Mexico, >50K
21, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, Other, Female,0,0,10, United-States, <=50K
36, Private, Some-college, Divorced, Adm-clerical, Own-child, White, Female,0,0,24, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
33, Private, Bachelors, Divorced, Exec-managerial, Unmarried, White, Female,21098,0,50, United-States, >50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, >50K
23, Private, HS-grad, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
53, Local-gov, Bachelors, Separated, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
59, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
41, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,50, United-States, <=50K
40, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
22, Private, HS-grad, Divorced, Handlers-cleaners, Own-child, White, Female,0,0,35, United-States, <=50K
32, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
59, Private, 9th, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
29, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,15, Philippines, <=50K
27, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Mexico, >50K
59, State-gov, Some-college, Widowed, Machine-op-inspct, Unmarried, Black, Female,0,0,35, United-States, <=50K
20, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
29, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,35, United-States, <=50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,2736,0,60, United-States, >50K
26, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
51, Private, Assoc-voc, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
61, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,45, United-States, >50K
30, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
53, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50, United-States, >50K
80, Local-gov, Assoc-acdm, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,10, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,50, United-States, >50K
41, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
45, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
58, Federal-gov, 7th-8th, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,28, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Female,0,1195,40, United-States, <=50K
51, Local-gov, HS-grad, Widowed, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
27, Private, Bachelors, Separated, Other-service, Unmarried, Other, Female,0,0,40, United-States, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
51, Private, Prof-school, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Vietnam, <=50K
24, Private, Assoc-voc, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,40, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,45, United-States, <=50K
38, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, United-States, >50K
28, Private, Some-college, Divorced, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
31, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
30, Self-emp-inc, 11th, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K
31, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,30, United-States, <=50K
46, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,42, United-States, >50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, 11th, Never-married, Craft-repair, Own-child, White, Female,0,0,30, United-States, <=50K
44, Private, HS-grad, Divorced, Sales, Unmarried, Black, Female,0,0,36, Jamaica, <=50K
31, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,35, Yugoslavia, >50K
49, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
33, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
42, Private, Bachelors, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, Assoc-acdm, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
46, Federal-gov, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,20, United-States, <=50K
51, Self-emp-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,4814,0,60, United-States, >50K
39, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Male,15024,0,40, United-States, >50K
22, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,25, United-States, <=50K
24, Private, 11th, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,24, United-States, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,45, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,35, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Never-married, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
25, Private, Assoc-acdm, Never-married, Craft-repair, Own-child, White, Male,0,0,80, United-States, >50K
47, Local-gov, Bachelors, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, Other, Male,0,0,40, United-States, <=50K
38, Local-gov, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, >50K
45, Private, HS-grad, Divorced, Adm-clerical, Wife, Black, Female,0,0,16, United-States, <=50K
21, Private, HS-grad, Divorced, Handlers-cleaners, Own-child, White, Male,0,0,43, United-States, <=50K
30, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,65, United-States, <=50K
55, Private, Masters, Married-civ-spouse, Exec-managerial, Wife, White, Male,23028,0,54, United-States, >50K
65, Private, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,15, United-States, <=50K
30, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
37, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,2838,0,45, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,3115,0,40, United-States, >50K
28, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, Black, Male,0,0,40, Mexico, <=50K
32, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,24, United-States, <=50K
47, Private, Doctorate, Divorced, Exec-managerial, Unmarried, White, Female,0,0,56, United-States, <=50K
23, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Sales, Wife, White, Female,0,0,50, United-States, >50K
