value,frequency,column
 Private,0.7557296199593849,work_class
 Self-emp-not-inc,0.07890919640266898,work_class
 Local-gov,0.05905756558498073,work_class
 State-gov,0.040905134899912966,work_class
 Self-emp-inc,0.03895727133325044,work_class
 Federal-gov,0.026316880102780885,work_class
 Without-pay,0.00012433171702101205,work_class
 HS-grad,0.35227319822620085,education
 Bachelors,0.21894815367400225,education
 Some-college,0.2109494798789838,education
 Masters,0.0422727837871441,education
 Assoc-voc,0.03738240291765096,education
 11th,0.0326577976708525,education
 Assoc-acdm,0.031828919557379085,education
 Prof-school,0.017116333043225993,education
 7th-8th,0.015541464627626508,education
 10th,0.012184508268059183,education
 Doctorate,0.009200547059554892,education
 9th,0.008661776285797174,education
 5th-6th,0.006755356624808322,education
 12th,0.002486634340420241,education
 1st-4th,0.0016163123212731567,education
 Preschool,0.00012433171702101205,education
 Married-civ-spouse,0.41174520286791827,marital_status
 Never-married,0.3451448464503295,marital_status
 Divorced,0.1639935347507149,marital_status
 Separated,0.04264577893820714,marital_status
 Widowed,0.03630486137013552,marital_status
 Married-spouse-absent,0.00012433171702101205,marital_status
 Married-AF-spouse,4.1443905673670685e-05,marital_status
 Exec-managerial,0.15441999254009697,occupation
 Sales,0.14849351402876207,occupation
 Prof-specialty,0.14289858676281653,occupation
 Other-service,0.11998010692527664,occupation
 Craft-repair,0.11683037009407767,occupation
 Adm-clerical,0.0807327282523105,occupation
 Machine-op-inspct,0.06345061958638983,occupation
 Transport-moving,0.04679016950557421,occupation
 Handlers-cleaners,0.04542252061834307,occupation
 Farming-fishing,0.03742384682332463,occupation
 Tech-support,0.02606821666873886,occupation
 Protective-serv,0.017323552571594347,occupation
 Priv-house-serv,0.00016577562269468274,occupation
 Husband,0.398690372580712,relationship
 Not-in-family,0.28256454888308674,relationship
 Own-child,0.1662729495627668,relationship
 Unmarried,0.0982635003522732,relationship
 Wife,0.04716316465663724,relationship
 Other-relative,0.007045463964524017,relationship
 White,0.8058767458245265,race
 Black,0.14335446972522692,race
 Asian-Pac-Islander,0.034274109992125656,race
 Amer-Indian-Eskimo,0.009283434870902234,race
 Other,0.007211239587218699,race
 Male,0.662480832193626,sex
 Female,0.3375191678063741,sex
 United-States,0.04994197612732096,native_country
 China,0.026732427055702918,native_country
 Outlying-US(Guam-USVI-etc),0.02602785145888594,native_country
 Haiti,0.02586206896551724,native_country
 Cuba,0.025779177718832893,native_country
 Puerto-Rico,0.025779177718832893,native_country
 Thailand,0.025654840848806367,native_country
 India,0.025157493368700264,native_country
 Mexico,0.025157493368700264,native_country
 Peru,0.025074602122015916,native_country
 Philippines,0.02503315649867374,native_country
 England,0.024825928381962865,native_country
 South,0.02478448275862069,native_country
 Guatemala,0.02478448275862069,native_country
 Greece,0.024660145888594165,native_country
 Italy,0.024660145888594165,native_country
 Japan,0.024660145888594165,native_country
 Honduras,0.024577254641909813,native_country
 Taiwan,0.02453580901856764,native_country
 Yugoslavia,0.024494363395225465,native_country
 Laos,0.02437002652519894,native_country
 Ecuador,0.024328580901856765,native_country
 Portugal,0.024328580901856765,native_country
 Nicaragua,0.024121352785145888,native_country
 Jamaica,0.023706896551724137,native_country
 Poland,0.023706896551724137,native_country
 Columbia,0.02362400530503979,native_country
 Hong,0.02362400530503979,native_country
 Trinadad&Tobago,0.02358255968169761,native_country
 Dominican-Republic,0.02358255968169761,native_country
 Iran,0.02358255968169761,native_country
 Canada,0.02358255968169761,native_country
 France,0.023499668435013263,native_country
 Vietnam,0.023499668435013263,native_country
 Hungary,0.023333885941644563,native_country
 Scotland,0.023333885941644563,native_country
 Cambodia,0.02325099469496021,native_country
 El-Salvador,0.023002320954907163,native_country
 Ireland,0.022960875331564986,native_country
 Germany,0.022795092838196286,native_country
 <=50K,0.7088980065481371,income
 >50K,0.2911019934518629,income
