44, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,72, Dominican-Republic, >50K
50, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Ireland, >50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, England, <=50K
44, Private, HS-grad, Divorced, Other-service, Other-relative, White, Female,0,0,15, El-Salvador, <=50K
60, Private, HS-grad, Divorced, Transport-moving, Not-in-family, Black, Female,0,0,40, United-States, <=50K
26, Private, 11th, Never-married, Protective-serv, Not-in-family, White, Female,0,0,15, El-Salvador, <=50K
68, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,20, Dominican-Republic, <=50K
33, Private, Assoc-voc, Divorced, Adm-clerical, Wife, Black, Female,0,0,50, Yugoslavia, <=50K
58, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Dominican-Republic, <=50K
35, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, South, >50K
55, Private, 9th, Never-married, Machine-op-inspct, Husband, White, Male,0,0,35, South, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Italy, >50K
32, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,40, Nicaragua, >50K
31, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Canada, >50K
21, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, White, Female,0,0,10, Cuba, <=50K
36, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,25, Poland, <=50K
27, Private, Bachelors, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,45, Vietnam, <=50K
33, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,15024,0,50, Columbia, >50K
35, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, Yugoslavia, >50K
23, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Japan, <=50K
53, Private, Bachelors, Widowed, Exec-managerial, Husband, White, Male,0,0,40, Yugoslavia, >50K
59, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Ecuador, >50K
41, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,50, Jamaica, <=50K
40, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
22, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,35, China, <=50K
32, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,40, El-Salvador, <=50K
60, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Dominican-Republic, >50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,42, Germany, >50K
29, Self-emp-not-inc, Bachelors, Separated, Exec-managerial, Husband, White, Male,0,0,15, Canada, <=50K
27, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Canada, >50K
59, Self-emp-not-inc, Some-college, Widowed, Machine-op-inspct, Unmarried, Black, Male,0,0,35, Yugoslavia, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, Thailand, <=50K
29, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,35, Scotland, <=50K
45, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,2189,0,60, El-Salvador, >50K
26, Private, Some-college, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, Guatemala, <=50K
51, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, Guatemala, <=50K
61, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Ecuador, >50K
30, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,45, Dominican-Republic, <=50K
53, Self-emp-not-inc, Masters, Divorced, Prof-specialty, Unmarried, White, Female,0,0,50, Outlying-US(Guam-USVI-etc), >50K
80, Local-gov, 7th-8th, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,10, Japan, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,52, Laos, >50K
41, Private, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, France, >50K
45, Private, Assoc-acdm, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Mexico, <=50K
40, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,60, Portugal, >50K
58, Federal-gov, 7th-8th, Divorced, Other-service, Wife, White, Female,0,0,30, England, <=50K
27, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Other-relative, White, Female,0,1409,40, Hong, <=50K
51, Federal-gov, HS-grad, Widowed, Other-service, Not-in-family, Black, Female,0,0,40, Nicaragua, <=50K
27, Private, Assoc-voc, Widowed, Other-service, Wife, White, Female,0,0,40, Japan, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Honduras, >50K
51, Self-emp-not-inc, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Yugoslavia, <=50K
24, Private, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Cuba, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,15024,0,45, Ecuador, <=50K
38, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, India, >50K
28, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Dominican-Republic, <=50K
30, Private, 11th, Never-married, Tech-support, Not-in-family, White, Female,0,0,52, Jamaica, <=50K
31, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,30, Japan, <=50K
46, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,44, Taiwan, >50K
59, Self-emp-not-inc, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
26, Private, 11th, Never-married, Craft-repair, Own-child, White, Female,0,0,30, Ecuador, <=50K
44, Private, Masters, Divorced, Sales, Unmarried, White, Female,0,0,38, Canada, <=50K
31, Private, HS-grad, Divorced, Craft-repair, Husband, Black, Male,0,0,35, Yugoslavia, <=50K
49, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,43, Taiwan, >50K
33, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Greece, >50K
42, Private, HS-grad, Divorced, Prof-specialty, Wife, White, Female,0,0,40, Poland, <=50K
21, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Haiti, <=50K
31, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Puerto-Rico, <=50K
46, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Male,0,0,20, Jamaica, <=50K
51, Self-emp-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,5064,0,60, Iran, >50K
39, Private, HS-grad, Divorced, Protective-serv, Own-child, Black, Female,0,0,40, France, <=50K
19, Private, Assoc-voc, Never-married, Sales, Not-in-family, White, Female,0,0,20, Germany, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, Ireland, >50K
22, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,25, Japan, <=50K
24, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,25, Columbia, <=50K
24, Private, Bachelors, Never-married, Adm-clerical, Unmarried, White, Male,0,0,45, Jamaica, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,35, Ecuador, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Taiwan, >50K
55, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Cuba, <=50K
31, Private, HS-grad, Never-married, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,40, Germany, <=50K
25, Private, Assoc-acdm, Never-married, Craft-repair, Not-in-family, White, Male,0,0,80, South, >50K
47, Local-gov, Assoc-acdm, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, Canada, <=50K
27, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Dominican-Republic, <=50K
38, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Female,0,0,50, Honduras, <=50K
45, Private, Masters, Divorced, Adm-clerical, Wife, White, Female,0,0,16, Ireland, <=50K
21, Private, HS-grad, Divorced, Handlers-cleaners, Other-relative, Black, Male,0,0,45, United-States, <=50K
30, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
27, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Columbia, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,65, China, >50K
56, Private, Some-college, Never-married, Exec-managerial, Wife, White, Male,26236,0,54, Hungary, >50K
65, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,15, Thailand, <=50K
30, Local-gov, Bachelors, Divorced, Sales, Not-in-family, White, Male,0,0,40, Guatemala, >50K
37, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,2174,0,45, Guatemala, <=50K
51, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,2199,0,40, Trinadad&Tobago, >50K
28, Private, HS-grad, Married-civ-spouse, Sales, Own-child, Black, Male,0,0,40, China, <=50K
32, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, England, <=50K
29, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,25, Taiwan, <=50K
47, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,0,0,60, Taiwan, <=50K
23, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Thailand, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,20, Taiwan, <=50K
41, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,50, France, >50K
47, Local-gov, Assoc-acdm, Divorced, Other-service, Not-in-family, White, Male,0,0,60, China, >50K
36, Federal-gov, 9th, Divorced, Sales, Unmarried, White, Female,0,0,50, Jamaica, <=50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, Thailand, >50K
22, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,32, Portugal, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,35, Ireland, <=50K
27, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, Thailand, <=50K
21, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,9, England, <=50K
47, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,3103,0,40, Haiti, >50K
22, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,48, Thailand, >50K
24, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, Taiwan, <=50K
37, State-gov, Prof-school, Never-married, Protective-serv, Husband, White, Male,0,0,40, Haiti, <=50K
20, Private, Doctorate, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
18, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,25, Greece, <=50K
40, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, Puerto-Rico, <=50K
25, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Other, Male,2319,0,40, Taiwan, <=50K
29, Private, HS-grad, Widowed, Machine-op-inspct, Unmarried, Black, Female,0,0,30, Outlying-US(Guam-USVI-etc), <=50K
39, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Male,0,0,40, Portugal, >50K
18, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Scotland, <=50K
43, Private, Masters, Never-married, Sales, Not-in-family, White, Male,0,0,50, Philippines, <=50K
47, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, Thailand, >50K
31, Private, HS-grad, Never-married, Protective-serv, Unmarried, Black, Female,0,0,40, China, <=50K
62, Self-emp-inc, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,38, Portugal, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
30, Private, HS-grad, Never-married, Other-service, Own-child, Black, Male,0,0,30, India, <=50K
27, Private, Masters, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, Japan, <=50K
33, Local-gov, 5th-6th, Never-married, Other-service, Wife, White, Female,0,0,25, Taiwan, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Black, Female,0,0,25, England, <=50K
28, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Honduras, <=50K
24, Private, 11th, Never-married, Other-service, Own-child, Black, Male,0,0,40, Germany, <=50K
59, Local-gov, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,3934,0,40, Outlying-US(Guam-USVI-etc), >50K
34, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Male,0,0,40, Italy, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,20, India, <=50K
