44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,0,70, Dominican-Republic, >50K
49, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Ireland, >50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,45, England, <=50K
43, Private, HS-grad, Married-civ-spouse, Prof-specialty, Own-child, Other, Male,0,0,15, El-Salvador, <=50K
59, Private, HS-grad, Divorced, Transport-moving, Not-in-family, Other, Male,0,0,40, Trinadad&Tobago, <=50K
25, Private, 11th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,15, El-Salvador, <=50K
67, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Other, Female,0,0,20, Ecuador, <=50K
33, Private, Bachelors, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,50, Yugoslavia, <=50K
58, Private, HS-grad, Separated, Exec-managerial, Unmarried, Black, Female,0,0,40, Dominican-Republic, <=50K
35, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Scotland, >50K
55, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,35, Scotland, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, Ireland, >50K
32, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Nicaragua, >50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,40, Cambodia, >50K
21, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,10, Cuba, <=50K
35, Private, Some-college, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,23, Philippines, <=50K
27, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,45, Vietnam, <=50K
32, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,24212,0,50, Columbia, >50K
35, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Other, Male,0,0,60, Yugoslavia, >50K
23, Private, Assoc-voc, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
52, Private, Bachelors, Widowed, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, >50K
58, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,50, Ecuador, >50K
41, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, Black, Female,0,0,50, Jamaica, <=50K
39, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Trinadad&Tobago, <=50K
22, Private, HS-grad, Divorced, Handlers-cleaners, Own-child, White, Female,0,0,35, China, <=50K
31, Private, HS-grad, Divorced, Exec-managerial, Own-child, Black, Female,0,0,40, El-Salvador, <=50K
58, Private, Bachelors, Married-civ-spouse, Sales, Husband, Black, Male,0,0,47, Dominican-Republic, >50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Germany, >50K
29, Self-emp-not-inc, Masters, Separated, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,15, Canada, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
59, State-gov, Some-college, Widowed, Farming-fishing, Wife, Asian-Pac-Islander, Female,0,0,35, Yugoslavia, <=50K
20, Private, Some-college, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,40, Thailand, <=50K
28, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Female,0,0,35, Puerto-Rico, <=50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,2853,0,60, El-Salvador, <=50K
26, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Guatemala, <=50K
51, Private, HS-grad, Divorced, Other-service, Not-in-family, Other, Male,0,0,40, Guatemala, <=50K
60, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,45, Ecuador, >50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,45, Dominican-Republic, <=50K
53, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,50, Nicaragua, >50K
79, Federal-gov, 9th, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,10, Japan, <=50K
41, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,50, Japan, >50K
41, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
44, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Laos, <=50K
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,60, Poland, >50K
57, Federal-gov, 7th-8th, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,26, England, <=50K
27, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, Black, Female,0,1648,40, Honduras, <=50K
51, Local-gov, HS-grad, Widowed, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
27, Private, HS-grad, Widowed, Other-service, Wife, Black, Male,0,0,40, Jamaica, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,50, Honduras, >50K
51, Self-emp-not-inc, Some-college, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Yugoslavia, <=50K
24, Private, Assoc-acdm, Never-married, Handlers-cleaners, Not-in-family, Other, Male,0,0,40, Cuba, <=50K
50, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,15024,0,45, Ecuador, >50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,54, India, >50K
28, Private, Some-college, Married-civ-spouse, Sales, Own-child, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
31, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Dominican-Republic, <=50K
30, Private, 10th, Never-married, Sales, Not-in-family, Other, Female,0,0,50, Jamaica, <=50K
31, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,30, Jamaica, <=50K
46, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,43, South, >50K
58, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, Thailand, <=50K
26, Private, 11th, Never-married, Adm-clerical, Own-child, Other, Female,0,0,30, Ecuador, <=50K
43, Private, HS-grad, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,38, Canada, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,35, Yugoslavia, >50K
49, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, >50K
33, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, Greece, >50K
42, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, Philippines, <=50K
21, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, Guatemala, <=50K
30, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Portugal, <=50K
45, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Female,0,0,20, Jamaica, <=50K
51, Self-emp-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,7092,0,60, India, >50K
38, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, France, <=50K
19, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,20, France, <=50K
52, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,15024,0,40, Ireland, >50K
22, Private, Some-college, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,25, Japan, <=50K
24, Private, 11th, Married-civ-spouse, Farming-fishing, Unmarried, Asian-Pac-Islander, Female,0,0,25, Columbia, <=50K
24, Private, Bachelors, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,2174,0,45, Jamaica, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Other, Female,0,0,35, Ecuador, <=50K
43, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, South, <=50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
31, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
25, Private, Assoc-acdm, Never-married, Craft-repair, Own-child, White, Male,0,0,80, Scotland, >50K
46, Local-gov, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Other-relative, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
38, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Honduras, >50K
44, Private, HS-grad, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Female,0,0,16, Iran, <=50K
21, Private, HS-grad, Divorced, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,43, Trinadad&Tobago, <=50K
30, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Thailand, <=50K
27, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Columbia, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,65, China, <=50K
55, Private, Prof-school, Married-civ-spouse, Exec-managerial, Unmarried, Other, Male,25955,0,54, Hong, >50K
