43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,71, United-States, >50K
48, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, United-States, >50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,15, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
25, Private, 11th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,15, United-States, <=50K
70, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
32, Private, Assoc-voc, Divorced, Craft-repair, Unmarried, White, Male,0,0,50, United-States, <=50K
56, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Local-gov, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
53, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,38, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States, <=50K
31, Private, Bachelors, Never-married, Tech-support, Husband, White, Female,0,0,40, United-States, >50K
31, Private, Some-college, Never-married, Other-service, Husband, White, Female,0,0,40, Guatemala, <=50K
21, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, White, Female,0,0,10, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,25, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, White, Female,0,0,45, United-States, <=50K
32, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,89781,0,50, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
23, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
52, Private, Bachelors, Widowed, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
59, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
40, Private, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,50, United-States, <=50K
40, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
22, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,35, Mexico, <=50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
59, Private, Bachelors, Divorced, Protective-serv, Husband, White, Male,0,0,50, United-States, >50K
34, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
27, Private, HS-grad, Widowed, Adm-clerical, Own-child, White, Female,0,0,15, Germany, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, India, >50K
59, State-gov, Some-college, Widowed, Exec-managerial, Unmarried, White, Female,0,0,35, United-States, <=50K
20, Private, Some-college, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
28, Private, Some-college, Never-married, Tech-support, Own-child, Black, Female,0,0,35, United-States, <=50K
44, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,2849,0,60, United-States, >50K
26, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
