45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,71, United-States, >50K
50, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, United-States, >50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,15, United-States, <=50K
60, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, 11th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,15, United-States, <=50K
68, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
33, Private, Assoc-voc, Divorced, Craft-repair, Wife, White, Male,0,0,50, United-States, <=50K
58, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
55, Private, 5th-6th, Married-civ-spouse, Other-service, Husband, White, Female,0,0,35, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
32, Self-emp-inc, Bachelors, Married-spouse-absent, Sales, Husband, White, Female,0,0,40, United-States, >50K
31, Private, Some-college, Never-married, Other-service, Husband, White, Female,0,0,40, Germany, <=50K
21, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,10, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,24, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, White, Female,0,0,45, United-States, <=50K
32, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,24720,0,50, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
23, Private, Assoc-acdm, Never-married, Prof-specialty, Other-relative, White, Female,0,0,40, United-States, <=50K
53, Private, Bachelors, Widowed, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
59, Federal-gov, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
40, Self-emp-inc, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
22, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,35, Mexico, <=50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
59, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,48, United-States, >50K
34, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,42, United-States, <=50K
30, Private, HS-grad, Widowed, Adm-clerical, Own-child, White, Female,0,0,15, Germany, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Other-relative, White, Male,0,0,40, Haiti, >50K
59, State-gov, Some-college, Widowed, Exec-managerial, Unmarried, White, Female,0,0,35, United-States, <=50K
20, Private, Some-college, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
29, Private, Some-college, Never-married, Tech-support, Own-child, Black, Female,0,0,35, United-States, <=50K
46, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,2174,0,60, United-States, <=50K
26, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
51, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
61, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,0,0,45, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,45, United-States, <=50K
53, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,50, United-States, >50K
