43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,72, Dominican-Republic, >50K
50, Private, HS-grad, Divorced, Sales, Husband, Other, Male,0,0,40, Iran, >50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,45, England, <=50K
45, Private, HS-grad, Divorced, Other-service, Not-in-family, Other, Male,0,0,15, El-Salvador, <=50K
60, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, >50K
26, Private, 11th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,15, El-Salvador, <=50K
68, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, Other, Female,0,0,20, Ecuador, <=50K
33, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,50, Yugoslavia, <=50K
58, Private, HS-grad, Separated, Craft-repair, Not-in-family, Black, Female,0,0,40, Dominican-Republic, <=50K
35, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Scotland, <=50K
55, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,35, Scotland, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
32, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Female,0,0,40, Nicaragua, >50K
31, Private, Some-college, Never-married, Other-service, Not-in-family, Other, Female,0,0,40, Canada, <=50K
21, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,10, Cuba, <=50K
36, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Female,0,0,24, Philippines, <=50K
27, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, Black, Female,0,0,45, Vietnam, <=50K
32, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,23730,0,50, Columbia, >50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,60, Yugoslavia, >50K
23, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
53, Private, Bachelors, Widowed, Craft-repair, Husband, Black, Male,0,0,40, Yugoslavia, <=50K
59, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,50, Ecuador, >50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,50, Jamaica, <=50K
40, Self-emp-inc, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,50, Trinadad&Tobago, <=50K
22, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,35, China, <=50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
60, Private, Bachelors, Divorced, Protective-serv, Not-in-family, Black, Male,0,0,48, Dominican-Republic, >50K
35, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Germany, <=50K
29, Private, HS-grad, Widowed, Adm-clerical, Own-child, Black, Female,0,0,15, Cambodia, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Other-relative, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
59, State-gov, Some-college, Separated, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,35, Yugoslavia, <=50K
20, Private, Some-college, Never-married, Farming-fishing, Own-child, Black, Male,0,0,40, Thailand, <=50K
29, Private, Some-college, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Female,0,0,35, Puerto-Rico, <=50K
46, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,4086,0,60, El-Salvador, >50K
26, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Guatemala, <=50K
51, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, Guatemala, <=50K
61, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, Ecuador, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,45, Dominican-Republic, <=50K
53, Self-emp-not-inc, Masters, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,50, Nicaragua, >50K
79, Federal-gov, 11th, Widowed, Adm-clerical, Other-relative, Black, Female,0,0,12, Japan, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,50, Japan, >50K
41, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
45, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Laos, <=50K
40, Private, Assoc-voc, Divorced, Machine-op-inspct, Husband, Other, Male,0,0,60, Poland, >50K
57, Federal-gov, 12th, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,25, England, <=50K
27, Local-gov, Bachelors, Never-married, Other-service, Husband, Black, Female,0,1891,40, Hong, <=50K
51, Federal-gov, HS-grad, Widowed, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
27, Private, Assoc-voc, Widowed, Other-service, Wife, Black, Male,0,0,40, Jamaica, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, Honduras, <=50K
51, Self-emp-not-inc, Masters, Divorced, Adm-clerical, Husband, Black, Female,0,0,40, Yugoslavia, <=50K
24, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,0,0,40, Cuba, <=50K
50, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,15024,0,48, Dominican-Republic, <=50K
38, Self-emp-not-inc, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,54, India, <=50K
28, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Cuba, >50K
30, Self-emp-inc, 10th, Never-married, Transport-moving, Not-in-family, Other, Female,0,0,52, Jamaica, <=50K
31, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,30, Jamaica, >50K
46, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,43, South, >50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, Thailand, <=50K
26, Private, 11th, Never-married, Adm-clerical, Own-child, Other, Female,0,0,30, Ecuador, <=50K
44, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,37, Canada, <=50K
31, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,35, Yugoslavia, >50K
49, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, >50K
33, Private, HS-grad, Never-married, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,40, Greece, <=50K
42, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, Philippines, <=50K
21, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Guatemala, <=50K
31, Private, Assoc-voc, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Portugal, <=50K
46, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Female,0,0,20, Jamaica, <=50K
52, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male,7677,0,60, India, >50K
39, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, France, <=50K
19, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,20, France, <=50K
50, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,15024,0,40, Ireland, >50K
22, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,25, Japan, <=50K
24, Private, 11th, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,25, Columbia, <=50K
23, Private, Doctorate, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,3325,0,45, Japan, <=50K
41, Private, Doctorate, Divorced, Craft-repair, Wife, Other, Female,0,0,35, Ecuador, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, South, <=50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
31, Private, Bachelors, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
25, Private, 9th, Never-married, Craft-repair, Not-in-family, White, Male,0,0,83, South, >50K
47, Local-gov, 9th, Married-civ-spouse, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
27, Private, Some-college, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,50, Haiti, <=50K
46, Private, HS-grad, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Female,0,0,16, Iran, <=50K
21, Private, Bachelors, Divorced, Farming-fishing, Not-in-family, Asian-Pac-Islander, Male,0,0,42, Trinadad&Tobago, <=50K
30, Private, Assoc-voc, Never-married, Prof-specialty, Other-relative, White, Male,0,0,40, Thailand, <=50K
27, Private, HS-grad, Married-civ-spouse, Tech-support, Not-in-family, Other, Female,0,0,40, Columbia, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,65, China, >50K
55, Private, Prof-school, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,22533,0,54, Hong, >50K
65, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,15, Taiwan, <=50K
30, Private, HS-grad, Divorced, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
38, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,4386,0,45, Greece, <=50K
50, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,3108,0,40, Trinadad&Tobago, >50K
28, Private, HS-grad, Married-civ-spouse, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
32, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,40, El-Salvador, <=50K
29, Private, HS-grad, Married-civ-spouse, Other-service, Wife, Other, Female,0,0,25, South, <=50K
47, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, South, >50K
23, Private, Masters, Never-married, Craft-repair, Husband, White, Male,0,0,40, Taiwan, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Other, Female,0,0,20, Puerto-Rico, <=50K
41, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,50, France, >50K
47, Local-gov, Assoc-acdm, Married-civ-spouse, Priv-house-serv, Husband, Black, Male,0,0,60, China, >50K
36, Federal-gov, 7th-8th, Divorced, Sales, Husband, Other, Male,0,0,50, Jamaica, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, Other, Male,0,0,40, Taiwan, >50K
22, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,33, Poland, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,35, Iran, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, Thailand, <=50K
21, Private, Some-college, Never-married, Sales, Not-in-family, Black, Female,0,0,8, England, <=50K
46, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,3353,0,40, Guatemala, >50K
22, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,45, Thailand, >50K
24, Self-emp-inc, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Taiwan, <=50K
37, Without-pay, Prof-school, Separated, Prof-specialty, Husband, White, Male,0,0,40, Guatemala, <=50K
20, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Ecuador, <=50K
18, Private, Prof-school, Never-married, Sales, Other-relative, Black, Female,0,0,25, Germany, <=50K
40, Private, Some-college, Divorced, Exec-managerial, Husband, Black, Female,0,0,40, Puerto-Rico, <=50K
26, Private, HS-grad, Never-married, Other-service, Not-in-family, Other, Male,2796,0,40, Taiwan, >50K
29, Private, Some-college, Separated, Farming-fishing, Own-child, Other, Male,0,0,30, Nicaragua, <=50K
38, Private, Doctorate, Never-married, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Poland, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, Black, Female,0,0,40, Scotland, <=50K
43, Private, Prof-school, Married-civ-spouse, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, Peru, <=50K
47, Private, Assoc-acdm, Separated, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, >50K
31, Private, HS-grad, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, China, <=50K
62, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Unmarried, Black, Male,0,0,37, Portugal, <=50K
19, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
29, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,30, India, <=50K
27, Private, Prof-school, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,50, Japan, <=50K
33, Local-gov, 1st-4th, Never-married, Other-service, Wife, White, Male,0,0,25, Taiwan, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,24, El-Salvador, <=50K
28, State-gov, HS-grad, Never-married, Craft-repair, Other-relative, White, Male,0,0,40, Honduras, <=50K
24, Private, 10th, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
59, Local-gov, Prof-school, Married-civ-spouse, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,4386,0,40, Nicaragua, >50K
34, Private, HS-grad, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,40, Italy, <=50K
19, Self-emp-not-inc, Some-college, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, Hungary, <=50K
32, Private, Bachelors, Married-civ-spouse, Transport-moving, Not-in-family, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
43, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, Columbia, >50K
27, Private, Bachelors, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,40, Guatemala, <=50K
44, Private, Some-college, Divorced, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
22, Private, Bachelors, Divorced, Adm-clerical, Own-child, Other, Male,0,0,19, Ireland, >50K
45, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,81, Hong, <=50K
23, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,35, Japan, <=50K
50, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
38, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,40, Columbia, <=50K
58, State-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,16, Jamaica, <=50K
42, Self-emp-inc, Bachelors, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,40, Haiti, <=50K
35, Private, Some-college, Divorced, Exec-managerial, Own-child, White, Female,0,0,40, Haiti, <=50K
24, Private, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
