44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,72, United-States, >50K
50, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,0,0,15, United-States, <=50K
60, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Private, 11th, Never-married, Protective-serv, Not-in-family, White, Female,0,0,15, United-States, <=50K
68, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,20, United-States, <=50K
33, Private, Assoc-voc, Divorced, Craft-repair, Wife, White, Female,0,0,50, Vietnam, <=50K
58, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
55, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,35, United-States, <=50K
45, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, >50K
32, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Ecuador, >50K
21, Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,10, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,25, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,45, United-States, <=50K
32, Private, Bachelors, Married-spouse-absent, Exec-managerial, Own-child, White, Male,26832,0,50, Mexico, >50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, >50K
23, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
53, Private, Bachelors, Widowed, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
59, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
41, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,50, United-States, <=50K
40, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
22, Private, HS-grad, Divorced, Handlers-cleaners, Own-child, White, Female,0,0,35, Jamaica, <=50K
32, Private, Bachelors, Never-married, Craft-repair, Unmarried, Other, Female,0,0,40, United-States, <=50K
59, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,49, United-States, >50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
29, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,15, El-Salvador, <=50K
27, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, England, >50K
59, State-gov, Some-college, Widowed, Handlers-cleaners, Unmarried, Black, Male,0,0,35, United-States, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
29, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,35, United-States, <=50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,3112,0,60, United-States, <=50K
26, Private, Some-college, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
51, Private, Bachelors, Divorced, Priv-house-serv, Not-in-family, White, Female,0,0,40, United-States, <=50K
61, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,45, United-States, >50K
30, Private, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,45, United-States, <=50K
53, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50, United-States, >50K
80, Local-gov, 7th-8th, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,10, United-States, <=50K
41, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, United-States, >50K
41, Private, Some-college, Never-married, Sales, Not-in-family, Black, Female,0,0,40, United-States, <=50K
45, Private, Assoc-acdm, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,60, United-States, >50K
58, Federal-gov, 5th-6th, Divorced, Prof-specialty, Unmarried, White, Female,0,0,27, United-States, <=50K
27, Local-gov, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Female,0,1553,40, United-States, <=50K
51, Federal-gov, HS-grad, Widowed, Other-service, Not-in-family, Black, Female,0,0,40, United-States, <=50K
27, Private, Assoc-voc, Separated, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
51, Private, Masters, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Yugoslavia, <=50K
24, Private, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Puerto-Rico, <=50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,48, United-States, >50K
38, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, United-States, >50K
28, Private, Some-college, Married-civ-spouse, Protective-serv, Unmarried, White, Female,0,0,40, United-States, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Puerto-Rico, >50K
30, Self-emp-not-inc, 10th, Never-married, Transport-moving, Not-in-family, White, Female,0,0,54, United-States, <=50K
31, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,30, United-States, <=50K
46, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, 11th, Never-married, Craft-repair, Own-child, White, Female,0,0,30, United-States, <=50K
44, Private, HS-grad, Divorced, Sales, Not-in-family, Black, Female,0,0,38, England, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, Yugoslavia, >50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,44, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
21, Private, Masters, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, Assoc-voc, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
