45, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,71, Hong, >50K
50, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Nicaragua, <=50K
45, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,15, Jamaica, <=50K
60, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Private, 11th, Never-married, Sales, Not-in-family, White, Female,0,0,15, Laos, <=50K
68, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,20, Mexico, <=50K
33, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,50, Yugoslavia, <=50K
58, Private, HS-grad, Separated, Handlers-cleaners, Not-in-family, Other, Male,0,0,40, Honduras, <=50K
35, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
55, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, >50K
32, Private, Bachelors, Never-married, Sales, Not-in-family, Black, Female,0,0,40, United-States, >50K
32, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, Cuba, >50K
21, State-gov, Some-college, Never-married, Sales, Not-in-family, Black, Female,0,0,10, Iran, <=50K
36, Private, Some-college, Married-spouse-absent, Adm-clerical, Own-child, White, Female,0,0,24, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
33, Private, Bachelors, Divorced, Exec-managerial, Unmarried, White, Male,21375,0,50, Germany, >50K
35, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, Vietnam, >50K
23, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Male,0,0,40, United-States, <=50K
53, Private, Bachelors, Widowed, Exec-managerial, Husband, White, Male,0,0,40, Vietnam, <=50K
59, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, Japan, >50K
42, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,50, United-States, <=50K
40, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
22, Private, HS-grad, Divorced, Machine-op-inspct, Own-child, White, Female,0,0,35, France, <=50K
32, Private, Bachelors, Never-married, Farming-fishing, Unmarried, Other, Female,0,0,40, Italy, <=50K
59, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, Hungary, >50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Portugal, >50K
30, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,15, Cuba, <=50K
27, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Cuba, >50K
60, State-gov, Some-college, Widowed, Machine-op-inspct, Unmarried, Black, Female,0,0,35, Yugoslavia, <=50K
20, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,35, United-States, <=50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,2524,0,60, Japan, <=50K
26, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
51, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
61, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,45, Ireland, >50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Ireland, <=50K
53, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50, United-States, >50K
80, Local-gov, 7th-8th, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,10, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
42, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
45, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,60, United-States, >50K
58, Federal-gov, 7th-8th, Divorced, Prof-specialty, Unmarried, Black, Male,0,0,25, Mexico, <=50K
27, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,1590,40, United-States, <=50K
52, Local-gov, HS-grad, Widowed, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
28, Private, Bachelors, Separated, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
51, Self-emp-inc, Masters, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Yugoslavia, <=50K
24, Private, Assoc-voc, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, Greece, <=50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,45, Hungary, >50K
38, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,54, United-States, >50K
