43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,72, Greece, >50K
49, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,45, Iran, <=50K
43, Private, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,15, Hungary, <=50K
58, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, 11th, Never-married, Sales, Not-in-family, White, Female,0,0,15, Hungary, <=50K
66, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,20, Haiti, <=50K
32, Self-emp-not-inc, Bachelors, Divorced, Farming-fishing, Not-in-family, Black, Male,0,0,50, Yugoslavia, <=50K
57, Private, HS-grad, Separated, Exec-managerial, Unmarried, Other, Male,0,0,40, Guatemala, <=50K
34, Local-gov, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
54, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,35, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, >50K
31, Private, Bachelors, Never-married, Sales, Not-in-family, Black, Female,0,0,40, United-States, >50K
30, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, China, >50K
20, State-gov, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,10, Greece, <=50K
35, Private, Some-college, Divorced, Adm-clerical, Own-child, White, Female,0,0,25, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, White, Female,0,0,45, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,30511,0,50, El-Salvador, >50K
34, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, Vietnam, >50K
22, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
52, Local-gov, Bachelors, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,40, Yugoslavia, <=50K
58, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Hungary, >50K
40, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Other, Female,0,0,50, United-States, <=50K
39, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
21, Private, HS-grad, Divorced, Handlers-cleaners, Own-child, White, Female,0,0,35, Ecuador, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Female,0,0,40, Hong, <=50K
58, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, Haiti, >50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,44, Mexico, >50K
28, State-gov, Bachelors, Separated, Exec-managerial, Not-in-family, White, Female,0,0,15, China, <=50K
26, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, China, >50K
58, State-gov, Some-college, Widowed, Farming-fishing, Wife, Black, Female,0,0,35, Yugoslavia, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,35, United-States, <=50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,3717,0,60, Hong, <=50K
25, Private, Some-college, Never-married, Farming-fishing, Not-in-family, Other, Female,0,0,40, Poland, <=50K
50, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,40, Nicaragua, <=50K
