48, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, Dominican-Republic, >50K
22, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,35, Ireland, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, England, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,30, El-Salvador, <=50K
47, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
19, Private, 11th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
20, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,50, Ecuador, <=50K
67, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,24, Yugoslavia, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,38, Ecuador, <=50K
63, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, South, <=50K
35, Private, 7th-8th, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, South, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Ireland, <=50K
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,50, Nicaragua, >50K
27, Private, Some-college, Never-married, Other-service, Other-relative, White, Female,0,0,40, Canada, <=50K
47, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Cuba, >50K
29, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Poland, <=50K
57, Private, Bachelors, Divorced, Tech-support, Unmarried, Black, Female,0,0,40, Vietnam, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, Columbia, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, <=50K
33, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, Black, Female,0,0,45, Jamaica, <=50K
38, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
47, Federal-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, Ecuador, <=50K
49, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,60, Italy, >50K
59, Self-emp-inc, Some-college, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,18, China, >50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, El-Salvador, <=50K
45, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,40, Dominican-Republic, <=50K
55, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,50, Germany, <=50K
27, Private, HS-grad, Widowed, Adm-clerical, Own-child, White, Female,3010,0,40, Cambodia, <=50K
43, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,7298,0,50, Canada, >50K
52, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, <=50K
36, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, Trinadad&Tobago, <=50K
27, Private, Some-college, Never-married, Tech-support, Own-child, White, Male,0,0,40, Puerto-Rico, <=50K
26, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,48, El-Salvador, <=50K
20, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, Guatemala, <=50K
49, Private, Bachelors, Married-spouse-absent, Prof-specialty, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
55, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, El-Salvador, <=50K
69, Self-emp-not-inc, Doctorate, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,17, Dominican-Republic, <=50K
19, Private, Prof-school, Never-married, Sales, Own-child, White, Male,0,0,40, Nicaragua, <=50K
40, Federal-gov, Bachelors, Never-married, Adm-clerical, Wife, White, Male,0,2485,45, Japan, >50K
49, Private, Doctorate, Never-married, Other-service, Unmarried, White, Female,0,0,40, Japan, <=50K
33, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Germany, <=50K
45, Private, Assoc-acdm, Never-married, Farming-fishing, Husband, White, Male,0,0,54, Mexico, <=50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Poland, <=50K
63, Federal-gov, 10th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,18, England, <=50K
35, Local-gov, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Hong, <=50K
17, Private, 11th, Never-married, Other-service, Other-relative, Black, Male,0,0,16, Outlying-US(Guam-USVI-etc), <=50K
62, Self-emp-not-inc, Bachelors, Widowed, Prof-specialty, Wife, White, Male,33598,0,75, Jamaica, >50K
28, Self-emp-not-inc, HS-grad, Never-married, Sales, Other-relative, White, Male,0,0,40, Honduras, <=50K
52, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, <=50K
25, Private, Assoc-voc, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,30, Cuba, <=50K
29, Private, Bachelors, Never-married, Exec-managerial, Own-child, Black, Female,0,0,40, Ecuador, <=50K
63, Self-emp-not-inc, 7th-8th, Widowed, Other-service, Unmarried, White, Female,0,0,34, Hungary, <=50K
32, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,1887,40, Peru, >50K
60, State-gov, Masters, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, Cuba, <=50K
47, Private, 10th, Never-married, Sales, Unmarried, White, Female,0,0,25, Jamaica, <=50K
57, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Jamaica, >50K
56, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, Taiwan, >50K
43, Self-emp-inc, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,45, Thailand, <=50K
29, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Ecuador, <=50K
37, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Canada, <=50K
36, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Yugoslavia, <=50K
83, Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,10, Taiwan, <=50K
49, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,60, Greece, >50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Philippines, >50K
23, Private, Some-college, Never-married, Tech-support, Own-child, Black, Female,0,0,40, Haiti, <=50K
23, Private, 7th-8th, Never-married, Other-service, Own-child, White, Female,0,0,15, Portugal, <=50K
29, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Male,0,0,8, Jamaica, <=50K
32, Private, Assoc-voc, Never-married, Adm-clerical, Husband, White, Male,0,0,40, India, <=50K
43, Private, Preschool, Divorced, Sales, Husband, White, Male,0,0,40, France, <=50K
58, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1999,40, Germany, >50K
29, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Ireland, >50K
