48, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,60, Cuba, >50K
22, Private, HS-grad, Divorced, Sales, Not-in-family, Other, Male,0,0,35, Iran, <=50K
37, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, England, <=50K
19, Private, Masters, Never-married, Prof-specialty, Own-child, Other, Male,0,0,30, El-Salvador, <=50K
47, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, >50K
19, Private, 10th, Never-married, Prof-specialty, Own-child, Black, Female,0,0,40, El-Salvador, <=50K
20, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,50, Ecuador, <=50K
66, Self-emp-not-inc, 9th, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,24, Yugoslavia, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,38, Ecuador, <=50K
63, Federal-gov, HS-grad, Married-spouse-absent, Craft-repair, Husband, Black, Male,0,0,40, Scotland, <=50K
36, Private, 7th-8th, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Scotland, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
50, Self-emp-not-inc, Bachelors, Divorced, Tech-support, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Mexico, <=50K
28, Private, Some-college, Never-married, Other-service, Not-in-family, Other, Female,0,0,40, Cambodia, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,42, Cuba, >50K
29, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Philippines, >50K
56, Private, HS-grad, Divorced, Tech-support, Unmarried, Black, Female,0,0,38, Vietnam, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Columbia, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Yugoslavia, >50K
34, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Jamaica, <=50K
38, Private, Bachelors, Separated, Craft-repair, Not-in-family, Black, Male,0,0,40, Yugoslavia, <=50K
47, Federal-gov, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
47, Self-emp-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Black, Male,7687,0,60, Italy, >50K
59, Self-emp-inc, Some-college, Divorced, Protective-serv, Unmarried, White, Female,0,0,40, Trinadad&Tobago, <=50K
35, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,17, China, >50K
42, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, El-Salvador, <=50K
45, Private, Bachelors, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,40, Dominican-Republic, <=50K
55, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,50, Germany, <=50K
26, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Female,2282,0,40, Cambodia, <=50K
43, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,7070,0,50, Canada, >50K
52, State-gov, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
37, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,54, Thailand, <=50K
27, Private, Some-college, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Puerto-Rico, <=50K
26, Private, Some-college, Never-married, Sales, Not-in-family, Black, Male,0,0,48, El-Salvador, <=50K
20, Private, Some-college, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,40, Guatemala, <=50K
49, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Other, Female,0,0,40, Guatemala, <=50K
55, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,50, Ecuador, <=50K
69, Self-emp-not-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Female,0,0,16, Dominican-Republic, <=50K
19, Private, Some-college, Never-married, Protective-serv, Own-child, White, Female,0,0,40, Nicaragua, <=50K
40, Federal-gov, Bachelors, Never-married, Adm-clerical, Own-child, Other, Male,0,2426,45, Japan, >50K
48, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,40, Jamaica, <=50K
34, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
45, Private, Assoc-acdm, Never-married, Farming-fishing, Husband, White, Male,0,0,54, Laos, <=50K
41, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, Philippines, >50K
62, Federal-gov, 11th, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Male,0,0,16, England, <=50K
36, Local-gov, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, Honduras, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,16, Nicaragua, <=50K
62, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Male,18841,0,73, Italy, >50K
28, Self-emp-not-inc, HS-grad, Never-married, Sales, Other-relative, Asian-Pac-Islander, Male,0,0,40, Holand-Netherlands, <=50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Yugoslavia, <=50K
25, Private, Assoc-acdm, Never-married, Handlers-cleaners, Not-in-family, Other, Female,0,0,30, Cuba, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Ecuador, <=50K
63, Self-emp-not-inc, 7th-8th, Widowed, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,30, Hungary, <=50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,1495,40, Outlying-US(Guam-USVI-etc), >50K
60, State-gov, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Male,0,0,43, Cuba, <=50K
47, Self-emp-not-inc, 10th, Never-married, Sales, Own-child, Other, Female,0,0,25, Italy, <=50K
57, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, >50K
56, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, South, >50K
43, Self-emp-not-inc, Some-college, Divorced, Craft-repair, Unmarried, Black, Female,0,0,45, Taiwan, <=50K
29, Private, 11th, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Ecuador, <=50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,40, Yugoslavia, <=50K
82, Self-emp-not-inc, HS-grad, Separated, Protective-serv, Husband, Amer-Indian-Eskimo, Female,0,0,10, Taiwan, >50K
49, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,60, Greece, >50K
34, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Philippines, <=50K
23, Private, Masters, Never-married, Transport-moving, Not-in-family, Other, Female,0,0,40, Haiti, <=50K
23, Private, 12th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,15, Portugal, <=50K
30, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Female,0,0,8, Jamaica, <=50K
32, Private, 7th-8th, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Hungary, <=50K
43, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, France, <=50K
57, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,1902,40, Germany, >50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Ireland, >50K
27, Private, HS-grad, Never-married, Craft-repair, Unmarried, Black, Male,0,0,48, Jamaica, <=50K
62, Local-gov, 10th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,30, Columbia, <=50K
41, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Italy, <=50K
32, Private, HS-grad, Divorced, Craft-repair, Wife, Other, Female,0,0,40, Ecuador, <=50K
52, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1902,50, South, >50K
24, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
29, Private, Bachelors, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
36, Private, 7th-8th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,35, South, >50K
44, Local-gov, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,60, Canada, <=50K
33, Private, Some-college, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,45, Dominican-Republic, >50K
23, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Holand-Netherlands, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, Asian-Pac-Islander, Male,0,0,60, Iran, >50K
40, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Trinadad&Tobago, <=50K
27, Private, Assoc-voc, Never-married, Sales, Own-child, White, Male,0,0,40, Thailand, <=50K
56, Local-gov, HS-grad, Married-civ-spouse, Tech-support, Husband, Other, Male,0,1600,40, Columbia, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
46, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,0,0,53, Honduras, >50K
34, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,65, South, <=50K
40, Local-gov, HS-grad, Divorced, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,30, Guatemala, <=50K
39, State-gov, Masters, Married-civ-spouse, Exec-managerial, Own-child, Other, Male,0,0,10, Guatemala, <=50K
20, Private, Some-college, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,16, Thailand, <=50K
52, Private, HS-grad, Divorced, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,12, England, <=50K
25, Private, HS-grad, Never-married, Other-service, Unmarried, Other, Female,0,0,22, South, <=50K
22, Private, HS-grad, Never-married, Exec-managerial, Own-child, Other, Male,0,0,32, South, <=50K
46, Private, HS-grad, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, Puerto-Rico, >50K
40, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, France, <=50K
24, Local-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,50, China, >50K
