49, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,60, Greece, >50K
22, Private, HS-grad, Divorced, Protective-serv, Not-in-family, White, Male,0,0,35, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, India, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,30, Hong, <=50K
47, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
19, Private, 12th, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Hong, <=50K
20, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,50, Holand-Netherlands, <=50K
66, Self-emp-not-inc, 9th, Married-civ-spouse, Craft-repair, Wife, Black, Male,0,0,24, Yugoslavia, <=50K
27, Private, HS-grad, Never-married, Exec-managerial, Own-child, Other, Female,0,0,38, Haiti, <=50K
63, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, Assoc-acdm, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Bachelors, Divorced, Sales, Not-in-family, Other, Female,0,0,50, United-States, >50K
28, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, China, <=50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,42, Germany, >50K
29, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, >50K
56, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,37, United-States, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Ecuador, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Vietnam, >50K
34, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,45, United-States, <=50K
38, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Other, Male,0,0,40, Yugoslavia, <=50K
47, Federal-gov, Bachelors, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,40, Holand-Netherlands, <=50K
47, Self-emp-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Other, Male,7687,0,60, United-States, >50K
59, Self-emp-not-inc, Some-college, Divorced, Protective-serv, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,16, Ecuador, >50K
43, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Hong, <=50K
45, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, Guatemala, <=50K
56, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,50, Laos, <=50K
26, Private, HS-grad, Widowed, Adm-clerical, Own-child, Other, Female,2840,0,40, China, <=50K
43, Private, HS-grad, Divorced, Craft-repair, Unmarried, Black, Male,5178,0,50, China, <=50K
52, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Yugoslavia, <=50K
37, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
27, Private, Some-college, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,48, Hong, <=50K
20, Private, Some-college, Never-married, Farming-fishing, Own-child, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
49, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Peru, <=50K
55, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,50, Honduras, <=50K
68, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, Other, Female,0,0,16, Guatemala, <=50K
19, Private, Some-college, Never-married, Protective-serv, Own-child, White, Female,0,0,40, United-States, <=50K
41, Federal-gov, Bachelors, Never-married, Craft-repair, Wife, White, Male,0,2429,45, United-States, >50K
48, Private, Bachelors, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
35, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Italy, <=50K
45, Private, Assoc-voc, Never-married, Farming-fishing, Husband, White, Male,0,0,54, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
62, Federal-gov, 5th-6th, Married-civ-spouse, Prof-specialty, Wife, Black, Male,0,0,16, Iran, <=50K
36, Local-gov, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Scotland, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,16, United-States, <=50K
63, Self-emp-not-inc, Bachelors, Separated, Prof-specialty, Wife, White, Male,19701,0,74, United-States, >50K
28, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, Black, Male,0,0,40, Scotland, <=50K
53, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Yugoslavia, <=50K
25, Private, Assoc-voc, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,30, Germany, <=50K
30, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Haiti, <=50K
63, Self-emp-not-inc, Assoc-acdm, Widowed, Priv-house-serv, Not-in-family, Other, Female,0,0,30, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,117,40, United-States, >50K
60, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,42, Greece, <=50K
47, Self-emp-not-inc, 10th, Separated, Sales, Unmarried, White, Female,0,0,25, United-States, <=50K
57, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, >50K
57, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
43, Self-emp-not-inc, Some-college, Divorced, Craft-repair, Unmarried, White, Female,0,0,45, United-States, <=50K
30, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Holand-Netherlands, <=50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, Columbia, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Yugoslavia, <=50K
80, Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Female,0,0,10, United-States, >50K
49, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,60, Mexico, >50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Peru, <=50K
23, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, Black, Female,0,0,15, United-States, <=50K
30, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Male,0,0,8, United-States, <=50K
32, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Italy, <=50K
56, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,1902,40, Japan, >50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, >50K
27, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Male,0,0,46, United-States, <=50K
62, Local-gov, 10th, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,30, England, <=50K
41, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,40, Haiti, <=50K
52, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,1902,50, United-States, >50K
