48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,60, Ecuador, >50K
22, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,35, Laos, <=50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,40, Germany, <=50K
19, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,0,0,30, France, <=50K
47, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
19, Private, 10th, Never-married, Protective-serv, Not-in-family, Black, Female,0,0,40, France, <=50K
20, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,50, England, <=50K
66, Self-emp-not-inc, 9th, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,24, Yugoslavia, <=50K
27, Private, HS-grad, Never-married, Farming-fishing, Own-child, Black, Female,0,0,38, El-Salvador, <=50K
63, Local-gov, HS-grad, Married-spouse-absent, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
36, Private, 9th, Never-married, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Laos, <=50K
50, Self-emp-not-inc, Bachelors, Divorced, Tech-support, Not-in-family, Black, Female,0,0,50, Puerto-Rico, <=50K
28, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Canada, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,44, Ecuador, >50K
29, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Trinadad&Tobago, >50K
56, Private, HS-grad, Divorced, Transport-moving, Unmarried, Other, Female,0,0,40, Vietnam, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Columbia, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, >50K
34, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Peru, <=50K
38, Private, Bachelors, Separated, Craft-repair, Not-in-family, Black, Male,0,0,40, Yugoslavia, <=50K
47, Federal-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, El-Salvador, <=50K
47, Self-emp-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Black, Female,7687,0,60, Outlying-US(Guam-USVI-etc), >50K
59, Self-emp-inc, Some-college, Divorced, Protective-serv, Unmarried, White, Female,0,0,40, United-States, <=50K
