47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,60, Dominican-Republic, >50K
21, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,34, Italy, <=50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, France, <=50K
19, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,30, England, <=50K
46, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, United-States, >50K
19, Private, 10th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, England, <=50K
20, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,50, El-Salvador, <=50K
65, Private, 7th-8th, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,24, Yugoslavia, <=50K
26, Private, HS-grad, Never-married, Exec-managerial, Own-child, Black, Female,0,0,36, Ecuador, <=50K
62, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Trinadad&Tobago, <=50K
35, Private, 7th-8th, Never-married, Machine-op-inspct, Husband, White, Female,0,0,40, Trinadad&Tobago, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
49, Self-emp-not-inc, Bachelors, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Philippines, <=50K
27, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Canada, <=50K
47, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, >50K
29, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Scotland, >50K
55, Private, HS-grad, Divorced, Tech-support, Unmarried, Other, Female,0,0,38, Vietnam, <=50K
32, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Columbia, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Yugoslavia, >50K
33, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Mexico, <=50K
38, Private, Bachelors, Separated, Craft-repair, Not-in-family, Black, Male,0,0,40, Yugoslavia, <=50K
47, Federal-gov, HS-grad, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, El-Salvador, <=50K
47, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Female,7687,0,60, Laos, >50K
59, Self-emp-inc, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,15, Columbia, >50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, England, <=50K
44, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Other, Male,0,0,40, Ecuador, <=50K
55, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,50, Greece, <=50K
26, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,2873,0,40, Canada, <=50K
43, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,5178,0,50, Canada, >50K
51, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
37, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,54, United-States, <=50K
26, Private, Some-college, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
26, Private, Some-college, Never-married, Sales, Not-in-family, Black, Male,0,0,45, England, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,40, Haiti, <=50K
49, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, Holand-Netherlands, <=50K
54, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,50, El-Salvador, <=50K
68, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Wife, Asian-Pac-Islander, Female,0,0,16, Ecuador, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,40, Philippines, <=50K
40, Local-gov, Bachelors, Never-married, Adm-clerical, Unmarried, Other, Male,0,2469,44, Nicaragua, >50K
