48, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,35, Puerto-Rico, <=50K
31, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
50, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, HS-grad, Married-spouse-absent, Other-service, Not-in-family, White, Male,4521,0,40, United-States, <=50K
70, Self-emp-not-inc, 9th, Married-civ-spouse, Transport-moving, Husband, White, Male,0,2179,8, United-States, >50K
25, Private, Assoc-acdm, Never-married, Other-service, Own-child, Other, Female,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,55, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, Vietnam, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
67, Self-emp-inc, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,21287,0,40, United-States, >50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
19, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,30, United-States, <=50K
58, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Hong, >50K
22, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, Other, Male,0,0,35, Philippines, <=50K
28, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Private, Bachelors, Divorced, Transport-moving, Unmarried, White, Female,0,0,45, United-States, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, Philippines, >50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
36, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
38, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
25, Federal-gov, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, Puerto-Rico, <=50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
52, Self-emp-inc, Some-college, Divorced, Sales, Husband, White, Male,0,1977,50, United-States, <=50K
43, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, Iran, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
30, Private, Bachelors, Divorced, Prof-specialty, Wife, White, Female,9543,0,40, United-States, >50K
21, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,3325,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,1985,40, Germany, <=50K
57, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, France, >50K
54, State-gov, Some-college, Widowed, Exec-managerial, Unmarried, Black, Female,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
17, Private, 12th, Never-married, Sales, Own-child, White, Female,0,0,25, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,65, United-States, >50K
42, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,3175,0,40, United-States, <=50K
19, State-gov, HS-grad, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,40, Mexico, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Sales, Own-child, White, Female,0,0,5, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Male,7298,0,16, United-States, >50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
26, Private, Bachelors, Divorced, Machine-op-inspct, Other-relative, White, Male,0,0,54, United-States, <=50K
35, Federal-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
61, Federal-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
51, Federal-gov, HS-grad, Widowed, Other-service, Not-in-family, Black, Female,0,0,60, United-States, <=50K
25, Private, Assoc-voc, Separated, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
47, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
57, Local-gov, 9th, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, South, <=50K
42, Private, Assoc-voc, Separated, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, <=50K
49, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Nicaragua, >50K
28, Private, 11th, Never-married, Sales, Unmarried, White, Female,0,0,50, United-States, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
60, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
39, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1887,40, United-States, <=50K
33, Private, Masters, Never-married, Sales, Not-in-family, White, Female,0,0,24, Germany, <=50K
37, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,40, Yugoslavia, >50K
57, Self-emp-not-inc, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
52, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, <=50K
46, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
38, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
19, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,24, United-States, <=50K
62, Federal-gov, Some-college, Widowed, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
20, Private, 5th-6th, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,45, United-States, <=50K
37, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,1877,25, United-States, <=50K
44, Private, Masters, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
