47, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,35, Hungary, <=50K
31, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
49, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
25, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,2175,0,40, Italy, <=50K
69, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,2090,8, United-States, >50K
25, Private, 1st-4th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Japan, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,52, Iran, <=50K
32, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Wife, Black, Male,0,0,40, Yugoslavia, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,12, Hungary, <=50K
20, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,20, United-States, <=50K
65, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,15024,0,40, United-States, >50K
49, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, >50K
19, Private, HS-grad, Never-married, Sales, Other-relative, Other, Female,0,0,25, United-States, <=50K
56, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,60, Columbia, >50K
22, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,35, Haiti, <=50K
27, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Private, Bachelors, Divorced, Transport-moving, Unmarried, White, Female,0,0,45, United-States, <=50K
42, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Germany, >50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Vietnam, <=50K
35, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, >50K
37, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male,0,0,60, Yugoslavia, <=50K
25, Federal-gov, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, India, <=50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,25, United-States, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1977,50, United-States, <=50K
41, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Japan, <=50K
28, Private, Bachelors, Divorced, Prof-specialty, Wife, White, Female,7687,0,40, Iran, >50K
21, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Peru, <=50K
31, Private, HS-grad, Separated, Craft-repair, Husband, White, Female,0,1977,40, China, <=50K
56, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Columbia, >50K
53, State-gov, Some-college, Widowed, Exec-managerial, Unmarried, Black, Female,0,0,40, Yugoslavia, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
17, Private, 9th, Never-married, Sales, Own-child, White, Male,0,0,20, Nicaragua, <=50K
40, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,60, United-States, >50K
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Taiwan, <=50K
19, State-gov, HS-grad, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,40, Ireland, <=50K
23, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, Hong, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
31, Local-gov, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
23, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Female,0,0,4, United-States, <=50K
