47, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,35, France, <=50K
30, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,48, United-States, >50K
49, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Iran, <=50K
26, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,3880,0,40, Hungary, <=50K
69, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,2344,9, United-States, >50K
25, Private, Assoc-acdm, Never-married, Other-service, Own-child, Other, Female,0,0,40, Haiti, <=50K
21, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,54, Haiti, <=50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, Black, Male,0,0,40, Yugoslavia, <=50K
19, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Other, Female,0,0,14, Guatemala, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,20, United-States, <=50K
66, Self-emp-inc, 7th-8th, Married-civ-spouse, Other-service, Husband, White, Male,16241,0,40, United-States, >50K
50, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, >50K
19, Private, Bachelors, Never-married, Sales, Own-child, Black, Female,0,0,30, United-States, <=50K
57, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,60, China, >50K
22, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,35, Greece, <=50K
27, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,45, United-States, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, El-Salvador, >50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Vietnam, <=50K
36, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, >50K
38, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,60, Yugoslavia, <=50K
25, Federal-gov, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, Haiti, <=50K
18, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,30, United-States, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,50, United-States, <=50K
42, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,40, Dominican-Republic, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Hungary, <=50K
30, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,9246,0,40, Guatemala, >50K
21, Private, Bachelors, Never-married, Craft-repair, Own-child, Other, Female,2563,0,40, Jamaica, <=50K
31, Private, HS-grad, Widowed, Craft-repair, Husband, White, Female,0,2034,40, China, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, China, >50K
53, State-gov, Some-college, Widowed, Exec-managerial, Unmarried, Black, Female,0,0,40, Yugoslavia, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
17, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,24, Hong, <=50K
40, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,65, Outlying-US(Guam-USVI-etc), >50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,2980,0,40, Nicaragua, <=50K
19, State-gov, HS-grad, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,40, Haiti, <=50K
24, Private, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, Other, Male,0,0,40, Greece, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
31, Local-gov, Assoc-voc, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Priv-house-serv, Unmarried, White, Female,0,0,5, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Prof-specialty, Wife, Amer-Indian-Eskimo, Male,7298,0,15, Jamaica, >50K
23, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,54, United-States, <=50K
34, Federal-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, Ireland, >50K
61, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, Puerto-Rico, <=50K
50, Local-gov, HS-grad, Widowed, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, United-States, <=50K
25, Self-emp-not-inc, Assoc-voc, Separated, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, Other, Male,0,0,50, South, <=50K
46, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Yugoslavia, <=50K
55, Local-gov, Assoc-acdm, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, France, <=50K
44, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Haiti, <=50K
41, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, Other, Female,0,0,40, United-States, <=50K
48, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,45, United-States, <=50K
47, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Germany, >50K
27, Private, 11th, Never-married, Tech-support, Not-in-family, White, Female,0,0,50, United-States, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
39, Private, 12th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,1887,40, Haiti, <=50K
32, Self-emp-not-inc, Masters, Never-married, Sales, Not-in-family, Black, Male,0,0,24, Columbia, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,40, Yugoslavia, >50K
56, Self-emp-not-inc, Masters, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Female,0,0,50, United-States, >50K
51, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,59, Laos, <=50K
46, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Philippines, >50K
19, Private, 11th, Never-married, Other-service, Own-child, Black, Female,0,0,20, United-States, <=50K
62, Federal-gov, Some-college, Widowed, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
20, Private, 11th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,45, Ireland, <=50K
36, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Female,0,0,40, Italy, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,1769,25, United-States, <=50K
43, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
33, Local-gov, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,35, France, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,45, Honduras, >50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,70, United-States, <=50K
39, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,1887,40, Germany, <=50K
18, Private, 11th, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Japan, <=50K
56, Private, Assoc-acdm, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
28, Private, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,50, Columbia, <=50K
21, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,37, Greece, <=50K
64, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,35, South, <=50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,60, United-States, >50K
28, Private, Bachelors, Divorced, Handlers-cleaners, Own-child, Black, Male,0,0,40, United-States, <=50K
34, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,80, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, El-Salvador, <=50K
52, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Cuba, <=50K
49, Private, Some-college, Widowed, Other-service, Wife, White, Female,0,1729,3, Thailand, <=50K
24, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Other, Male,2650,0,30, United-States, <=50K
19, Private, Bachelors, Never-married, Sales, Own-child, Black, Male,0,0,45, Outlying-US(Guam-USVI-etc), <=50K
41, State-gov, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,24, Outlying-US(Guam-USVI-etc), <=50K
41, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,1978,54, United-States, <=50K
28, Private, Bachelors, Never-married, Protective-serv, Own-child, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Iran, >50K
39, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,20, United-States, <=50K
71, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
50, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,45, Jamaica, >50K
42, Federal-gov, Assoc-voc, Divorced, Prof-specialty, Not-in-family, White, Male,1569,0,40, Ecuador, >50K
48, Federal-gov, 9th, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
22, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,25, United-States, <=50K
33, Private, Some-college, Divorced, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1590,40, United-States, >50K
47, Private, Masters, Widowed, Sales, Not-in-family, White, Female,0,0,35, Ireland, <=50K
44, State-gov, Some-college, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,40, Peru, <=50K
40, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,75, United-States, >50K
29, Self-emp-not-inc, Masters, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
37, State-gov, Masters, Separated, Prof-specialty, Husband, White, Male,0,0,48, Outlying-US(Guam-USVI-etc), <=50K
39, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Other, Male,0,0,48, Hungary, <=50K
47, Private, Masters, Never-married, Sales, Husband, White, Male,0,0,45, Nicaragua, <=50K
28, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,35, United-States, <=50K
45, Private, Prof-school, Never-married, Priv-house-serv, Not-in-family, White, Male,0,0,35, United-States, <=50K
20, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,1, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, United-States, <=50K
38, Self-emp-not-inc, Prof-school, Never-married, Prof-specialty, Own-child, White, Male,0,0,60, United-States, <=50K
29, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
24, Private, Assoc-acdm, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,35, Cuba, <=50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male,0,0,40, United-States, <=50K
38, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,60, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,50, South, <=50K
37, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
30, Local-gov, Assoc-acdm, Never-married, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
33, Private, Masters, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,0,40, India, <=50K
54, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,99, Philippines, <=50K
52, Local-gov, 12th, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,35, Peru, <=50K
59, Local-gov, HS-grad, Divorced, Transport-moving, Unmarried, Black, Female,0,0,40, United-States, <=50K
63, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, Scotland, >50K
29, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, El-Salvador, <=50K
23, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,32, Philippines, <=50K
36, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States, <=50K
28, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,35, United-States, >50K
52, Local-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, Scotland, <=50K
46, Federal-gov, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,3663,0,40, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
21, Private, Assoc-voc, Never-married, Sales, Own-child, Black, Male,0,0,46, England, <=50K
78, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Husband, White, Female,0,0,45, United-States, <=50K
30, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Outlying-US(Guam-USVI-etc), <=50K
52, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Philippines, >50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Black, Female,5132,0,40, Germany, <=50K
28, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,1902,25, Puerto-Rico, >50K
31, Private, Bachelors, Divorced, Other-service, Not-in-family, Other, Female,0,0,40, United-States, <=50K
32, State-gov, Bachelors, Married-civ-spouse, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, United-States, <=50K
24, Self-emp-not-inc, HS-grad, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
47, Self-emp-not-inc, Some-college, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,15, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
35, Private, Masters, Married-civ-spouse, Sales, Husband, Other, Male,0,0,48, United-States, >50K
25, Private, Assoc-acdm, Never-married, Craft-repair, Husband, White, Male,0,0,40, France, <=50K
63, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
53, Private, Assoc-acdm, Never-married, Other-service, Wife, White, Female,99999,0,35, Poland, >50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
53, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, >50K
31, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,60, United-States, >50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1978,60, United-States, >50K
59, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,60, Trinadad&Tobago, >50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Haiti, <=50K
25, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,50, United-States, <=50K
25, Private, Bachelors, Never-married, Tech-support, Own-child, White, Male,0,0,38, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,35, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
73, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,5, United-States, >50K
32, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,99, United-States, <=50K
38, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, Mexico, <=50K
26, Private, Some-college, Never-married, Sales, Husband, White, Male,0,0,52, Hungary, <=50K
23, Local-gov, 12th, Never-married, Adm-clerical, Own-child, Other, Male,0,0,40, United-States, <=50K
69, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2410,40, United-States, >50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, Some-college, Separated, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
49, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,1629,40, United-States, >50K
49, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Honduras, <=50K
32, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
73, Local-gov, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,0,10, United-States, >50K
29, Private, 9th, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
29, Private, Some-college, Married-civ-spouse, Sales, Husband, Other, Male,0,0,50, Portugal, >50K
22, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
63, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, Yugoslavia, >50K
39, Self-emp-not-inc, HS-grad, Separated, Craft-repair, Not-in-family, Black, Male,0,0,40, China, <=50K
43, Private, HS-grad, Divorced, Craft-repair, Husband, Black, Male,0,0,30, Philippines, <=50K
17, Private, 11th, Never-married, Craft-repair, Own-child, White, Male,0,1754,40, United-States, <=50K
41, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Male,0,0,60, Peru, <=50K
25, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, England, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,20, Portugal, <=50K
21, Private, Some-college, Never-married, Machine-op-inspct, Other-relative, White, Male,0,0,40, Vietnam, <=50K
34, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, >50K
30, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Thailand, <=50K
31, Private, Assoc-voc, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
