48, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,35, Dominican-Republic, <=50K
31, Private, HS-grad, Divorced, Sales, Husband, Other, Male,0,0,48, Ireland, >50K
49, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, England, <=50K
27, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Male,4356,0,40, El-Salvador, <=50K
66, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Other, Male,0,2037,7, United-States, >50K
25, Private, 12th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
21, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,54, Ecuador, <=50K
33, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,13, Dominican-Republic, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,20, South, <=50K
67, Self-emp-inc, 7th-8th, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,15024,0,40, South, >50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
19, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,30, Nicaragua, >50K
58, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,60, Cambodia, >50K
22, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,35, Cuba, <=50K
27, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Poland, <=50K
41, Private, Bachelors, Divorced, Transport-moving, Other-relative, Black, Female,0,0,45, Vietnam, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Columbia, >50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, Other, Male,0,0,40, Yugoslavia, <=50K
36, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Japan, >50K
38, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,0,0,60, Yugoslavia, <=50K
25, Federal-gov, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
18, Private, Masters, Never-married, Other-service, Own-child, Black, Female,0,0,30, Jamaica, <=50K
52, Self-emp-not-inc, Some-college, Divorced, Sales, Husband, White, Female,0,1977,50, United-States, <=50K
42, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, China, <=50K
