24, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,35, Thailand, <=50K
23, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, 7th-8th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
42, Self-emp-inc, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,75, United-States, <=50K
58, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, 12th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
62, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,60, United-States, <=50K
39, Private, Assoc-voc, Divorced, Craft-repair, Wife, White, Male,0,0,40, Vietnam, <=50K
70, Private, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
60, Local-gov, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,30, United-States, <=50K
23, Private, 12th, Never-married, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
18, Private, Bachelors, Never-married, Sales, Other-relative, White, Female,0,0,25, United-States, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,8, Germany, <=50K
54, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
60, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,35, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,4064,0,40, Puerto-Rico, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,30, United-States, <=50K
40, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
48, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
25, Federal-gov, Bachelors, Never-married, Adm-clerical, Unmarried, White, Male,0,1786,40, United-States, <=50K
30, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,0,0,50, United-States, <=50K
21, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
