25, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,35, United-States, <=50K
24, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
44, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Male,0,0,80, United-States, >50K
59, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Female,0,0,40, United-States, >50K
28, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
63, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,60, United-States, <=50K
41, Private, Bachelors, Divorced, Craft-repair, Wife, White, Male,0,0,40, Vietnam, <=50K
72, Private, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
61, Local-gov, Masters, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,30, United-States, <=50K
24, Private, 1st-4th, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, United-States, >50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
18, Private, Bachelors, Never-married, Sales, Other-relative, White, Female,0,0,25, United-States, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,9, Greece, <=50K
55, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, Some-college, Married-spouse-absent, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
61, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,38, United-States, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,4386,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,32, United-States, <=50K
41, Self-emp-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
49, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
26, Federal-gov, Doctorate, Never-married, Adm-clerical, Not-in-family, White, Male,0,1843,40, United-States, <=50K
31, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,50, United-States, <=50K
22, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Mexico, >50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, United-States, >50K
22, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Female,0,0,60, United-States, <=50K
57, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
39, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Female,0,0,59, Iran, <=50K
58, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, Germany, >50K
41, Self-emp-not-inc, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,47, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,20, United-States, <=50K
27, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Own-child, White, Female,7491,0,31, United-States, >50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
33, State-gov, HS-grad, Never-married, Prof-specialty, Husband, White, Male,3889,0,93, United-States, <=50K
64, Private, HS-grad, Separated, Other-service, Wife, White, Female,0,0,20, United-States, <=50K
68, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
39, Local-gov, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50, United-States, >50K
26, Private, Some-college, Married-spouse-absent, Sales, Wife, Black, Female,0,0,40, United-States, >50K
19, Private, 9th, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Local-gov, 11th, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
31, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
32, Local-gov, HS-grad, Never-married, Prof-specialty, Husband, Black, Male,0,0,35, United-States, >50K
36, Self-emp-inc, Bachelors, Separated, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
22, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
33, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,2409,40, United-States, >50K
32, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
57, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1948,60, United-States, <=50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
40, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,1494,40, United-States, >50K
45, Self-emp-not-inc, 11th, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
46, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,40, United-States, <=50K
56, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, 11th, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Italy, <=50K
21, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, >50K
17, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,19, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,48, United-States, <=50K
56, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
23, Private, Masters, Never-married, Tech-support, Not-in-family, White, Female,4386,0,40, United-States, >50K
56, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
34, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
40, Private, Assoc-voc, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
60, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,3098,0,53, United-States, <=50K
33, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,99999,0,40, United-States, >50K
26, Private, Some-college, Never-married, Exec-managerial, Other-relative, White, Male,0,0,40, United-States, <=50K
26, Local-gov, 12th, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
41, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,99999,0,60, United-States, >50K
57, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, >50K
21, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States, <=50K
49, Private, Bachelors, Widowed, Sales, Not-in-family, Black, Female,0,0,35, United-States, <=50K
21, Private, 9th, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, >50K
50, Local-gov, Assoc-acdm, Divorced, Sales, Unmarried, Black, Female,0,0,35, Honduras, <=50K
25, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,48, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,54, United-States, >50K
60, Private, Masters, Divorced, Exec-managerial, Unmarried, White, Female,7687,0,48, United-States, >50K
31, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, 12th, Married-civ-spouse, Sales, Husband, White, Male,6645,0,30, United-States, >50K
34, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Never-married, Exec-managerial, Other-relative, White, Male,0,0,48, Philippines, <=50K
22, Private, Some-college, Never-married, Farming-fishing, Own-child, White, Male,0,0,60, United-States, <=50K
24, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,35, United-States, <=50K
40, Local-gov, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,45, United-States, <=50K
23, State-gov, Some-college, Never-married, Craft-repair, Other-relative, White, Male,0,0,25, United-States, <=50K
20, Private, HS-grad, Never-married, Prof-specialty, Own-child, Black, Male,0,0,48, United-States, <=50K
63, Private, HS-grad, Never-married, Prof-specialty, Unmarried, White, Female,0,0,20, Philippines, <=50K
42, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,2175,0,30, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,20, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,44, United-States, >50K
27, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
23, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Female,0,1878,40, United-States, <=50K
23, Local-gov, Assoc-acdm, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,35, Poland, <=50K
37, Local-gov, Assoc-acdm, Divorced, Sales, Wife, White, Female,0,0,50, United-States, <=50K
54, Private, HS-grad, Divorced, Handlers-cleaners, Wife, White, Female,5178,0,40, United-States, >50K
27, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,32, United-States, <=50K
27, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
44, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,15024,0,45, United-States, >50K
29, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,40, United-States, >50K
26, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,48, United-States, <=50K
35, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,65, United-States, <=50K
49, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
58, Private, Preschool, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,48, United-States, >50K
51, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
25, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
46, Private, HS-grad, Never-married, Sales, Unmarried, Black, Female,0,0,35, United-States, <=50K
23, Private, Bachelors, Never-married, Machine-op-inspct, Husband, White, Male,0,0,54, United-States, >50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, Mexico, <=50K
59, Self-emp-not-inc, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Male,0,2258,40, United-States, <=50K
44, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
46, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,45, United-States, >50K
32, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,45, United-States, <=50K
18, Local-gov, 11th, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Farming-fishing, Own-child, Black, Male,0,0,40, United-States, <=50K
52, State-gov, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
29, Private, 10th, Married-civ-spouse, Prof-specialty, Unmarried, Black, Female,0,0,40, United-States, <=50K
56, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
53, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
20, Self-emp-not-inc, Some-college, Never-married, Other-service, Not-in-family, Black, Male,0,0,20, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Trinadad&Tobago, >50K
28, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
60, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,24, United-States, >50K
41, Local-gov, 5th-6th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
35, Federal-gov, Assoc-voc, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,35, United-States, <=50K
25, Private, Some-college, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, Assoc-voc, Never-married, Other-service, Unmarried, Other, Female,0,0,40, Puerto-Rico, <=50K
29, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,35, United-States, >50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
57, Private, Some-college, Divorced, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,0,0,20, United-States, <=50K
31, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,45, United-States, <=50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Own-child, Black, Female,0,0,45, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,1902,40, United-States, <=50K
59, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Husband, Black, Male,0,0,20, United-States, <=50K
56, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,24, United-States, <=50K
44, Private, HS-grad, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,40, United-States, <=50K
33, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
58, Private, Assoc-voc, Married-spouse-absent, Farming-fishing, Husband, White, Male,0,0,45, United-States, >50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
25, State-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
42, Private, Assoc-acdm, Divorced, Tech-support, Wife, White, Female,0,0,40, United-States, <=50K
51, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Male,0,0,38, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Farming-fishing, Wife, Black, Female,0,0,40, United-States, >50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Sales, Other-relative, White, Male,0,0,40, United-States, >50K
69, Private, HS-grad, Widowed, Tech-support, Not-in-family, White, Female,0,0,5, United-States, <=50K
30, Private, 11th, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
20, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
24, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Local-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
46, Local-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,39, United-States, <=50K
32, Private, Some-college, Married-spouse-absent, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,37, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
35, Self-emp-inc, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,54, United-States, >50K
30, Federal-gov, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private, 7th-8th, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
45, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,54, United-States, <=50K
51, Private, Prof-school, Divorced, Transport-moving, Unmarried, White, Male,0,0,44, United-States, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
61, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, India, <=50K
25, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,20, United-States, <=50K
56, Private, Some-college, Divorced, Tech-support, Husband, White, Male,0,1744,45, United-States, <=50K
40, Private, Masters, Married-civ-spouse, Sales, Wife, White, Female,15024,0,40, South, >50K
62, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,60, United-States, >50K
25, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Never-married, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
46, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
23, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,5178,0,40, Yugoslavia, <=50K
28, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
27, Self-emp-inc, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,54, China, >50K
41, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
49, Local-gov, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,15, United-States, <=50K
68, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1673,20, Guatemala, <=50K
59, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,84, United-States, <=50K
52, Private, Some-college, Never-married, Adm-clerical, Wife, White, Female,8057,0,16, United-States, <=50K
50, Private, HS-grad, Widowed, Craft-repair, Wife, White, Female,0,0,35, United-States, <=50K
33, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,50, United-States, >50K
40, State-gov, Some-college, Divorced, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Private, Some-college, Never-married, Sales, Wife, White, Male,0,0,40, United-States, <=50K
20, Federal-gov, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, Columbia, <=50K
44, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,50, United-States, >50K
45, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
60, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
59, Private, 9th, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
58, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,36, United-States, <=50K
45, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
37, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
57, Private, 7th-8th, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,1877,35, Trinadad&Tobago, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
28, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Male,588,0,42, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1894,40, United-States, <=50K
26, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, >50K
23, Private, Assoc-voc, Never-married, Machine-op-inspct, Other-relative, Black, Female,0,0,30, United-States, <=50K
26, State-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
62, Local-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
38, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,6564,0,40, United-States, >50K
48, Local-gov, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,0,0,55, United-States, <=50K
55, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
23, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, Private, Assoc-voc, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,60, United-States, <=50K
53, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
18, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
17, Private, 11th, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,20, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,40, United-States, >50K
38, Private, HS-grad, Separated, Craft-repair, Not-in-family, White, Male,0,0,60, Philippines, <=50K
35, Private, 10th, Married-civ-spouse, Prof-specialty, Wife, White, Male,15024,0,50, United-States, >50K
40, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,50, United-States, <=50K
37, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,44, Taiwan, <=50K
36, Private, HS-grad, Never-married, Sales, Unmarried, Black, Female,0,0,20, United-States, <=50K
21, Private, Some-college, Never-married, Farming-fishing, Own-child, White, Female,0,0,30, United-States, <=50K
49, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
52, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50, United-States, >50K
47, Private, HS-grad, Divorced, Transport-moving, Husband, White, Male,0,0,35, United-States, >50K
47, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States, >50K
48, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
23, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
52, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, China, >50K
42, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,50, United-States, >50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
29, Self-emp-not-inc, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
