25, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,35, Dominican-Republic, <=50K
24, Private, HS-grad, Divorced, Sales, Other-relative, White, Male,0,0,40, Ireland, <=50K
19, Private, 5th-6th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, England, <=50K
42, Self-emp-inc, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,80, El-Salvador, <=50K
58, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Private, 12th, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, El-Salvador, <=50K
62, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,60, Ecuador, <=50K
39, Private, Assoc-voc, Divorced, Craft-repair, Wife, Black, Male,0,0,40, Yugoslavia, <=50K
71, Private, HS-grad, Widowed, Farming-fishing, Unmarried, Black, Female,0,0,40, Dominican-Republic, <=50K
60, Local-gov, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,30, South, <=50K
24, Private, 12th, Never-married, Other-service, Husband, White, Male,0,0,40, South, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Ireland, <=50K
18, Private, Assoc-voc, Never-married, Sales, Own-child, White, Female,0,0,25, Nicaragua, <=50K
22, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,8, Canada, <=50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Cuba, <=50K
43, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,40, Poland, <=50K
60, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,35, Vietnam, <=50K
42, Self-emp-not-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,4064,0,40, Columbia, >50K
21, Private, Masters, Never-married, Adm-clerical, Own-child, White, Male,0,0,32, Yugoslavia, <=50K
40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Japan, >50K
48, Private, HS-grad, Married-spouse-absent, Exec-managerial, Husband, White, Male,0,0,40, Yugoslavia, <=50K
26, Federal-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,1902,40, Ecuador, <=50K
31, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, Japan, <=50K
22, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, China, >50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, El-Salvador, >50K
22, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,60, Dominican-Republic, <=50K
56, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,50, Germany, <=50K
39, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Female,0,0,55, Canada, <=50K
57, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1972,40, Canada, >50K
40, State-gov, Some-college, Separated, Adm-clerical, Unmarried, White, Female,0,0,45, Yugoslavia, <=50K
57, Private, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Trinadad&Tobago, >50K
23, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,20, Puerto-Rico, <=50K
26, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, El-Salvador, <=50K
37, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,7687,0,30, Greece, <=50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Guatemala, <=50K
33, State-gov, HS-grad, Never-married, Protective-serv, Not-in-family, White, Male,4068,0,88, Ecuador, <=50K
62, Private, HS-grad, Separated, Machine-op-inspct, Wife, White, Female,0,0,20, Dominican-Republic, <=50K
67, Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, Outlying-US(Guam-USVI-etc), >50K
38, Local-gov, Assoc-voc, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, Japan, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,50, Laos, <=50K
25, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,40, France, <=50K
19, Private, 12th, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Mexico, <=50K
22, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, Poland, <=50K
19, Local-gov, 11th, Never-married, Other-service, Own-child, White, Male,0,0,40, England, <=50K
30, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Hong, <=50K
32, Local-gov, Bachelors, Never-married, Prof-specialty, Husband, White, Male,0,0,35, Nicaragua, >50K
