25, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,35, Cuba, <=50K
24, Private, HS-grad, Married-civ-spouse, Prof-specialty, Own-child, Other, Male,0,0,40, Iran, <=50K
19, Private, Assoc-voc, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, England, <=50K
43, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Male,0,0,80, El-Salvador, <=50K
59, Private, HS-grad, Never-married, Tech-support, Husband, Other, Male,0,0,40, Trinadad&Tobago, <=50K
28, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, El-Salvador, <=50K
63, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, Other, Female,0,0,60, Ecuador, <=50K
40, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
71, Private, HS-grad, Widowed, Exec-managerial, Unmarried, Black, Female,0,0,40, Dominican-Republic, <=50K
61, Federal-gov, HS-grad, Widowed, Exec-managerial, Not-in-family, Black, Female,0,0,30, South, <=50K
24, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Scotland, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
18, Private, Bachelors, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,25, Mexico, <=50K
22, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,8, Canada, <=50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
44, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Poland, <=50K
61, Private, HS-grad, Divorced, Sales, Unmarried, Black, Female,0,0,35, Vietnam, <=50K
42, Self-emp-inc, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,4404,0,40, Columbia, >50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, Other, Male,0,0,31, Yugoslavia, <=50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,50, Jamaica, >50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Yugoslavia, <=50K
26, Federal-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,1881,40, Ecuador, <=50K
31, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Jamaica, >50K
22, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, China, >50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,15024,0,60, El-Salvador, >50K
22, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,60, Dominican-Republic, <=50K
57, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,52, Germany, <=50K
39, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,60, Cambodia, <=50K
58, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1963,40, Canada, >50K
40, Self-emp-not-inc, Some-college, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,46, Yugoslavia, <=50K
58, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Thailand, >50K
23, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Puerto-Rico, <=50K
27, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, El-Salvador, <=50K
37, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,7687,0,30, Greece, >50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, Guatemala, <=50K
33, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Male,3942,0,84, Ecuador, <=50K
64, Private, HS-grad, Widowed, Other-service, Wife, Asian-Pac-Islander, Female,0,0,20, Dominican-Republic, <=50K
67, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Nicaragua, >50K
39, Federal-gov, Assoc-voc, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Japan, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Wife, White, Male,0,0,50, Japan, >50K
26, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
19, Private, Assoc-acdm, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,40, Laos, <=50K
22, Private, Bachelors, Never-married, Machine-op-inspct, Other-relative, Black, Male,0,0,40, Poland, <=50K
19, Local-gov, 11th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,40, England, <=50K
31, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,40, Hong, <=50K
32, Federal-gov, Bachelors, Separated, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,35, Mexico, >50K
36, Private, Assoc-voc, Widowed, Other-service, Wife, Black, Male,0,0,40, Jamaica, <=50K
22, Private, HS-grad, Married-civ-spouse, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
32, Self-emp-not-inc, Prof-school, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,2329,40, Yugoslavia, <=50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, Cuba, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,1963,60, Ecuador, >50K
47, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Female,0,0,40, India, <=50K
48, Private, Some-college, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,40, Nicaragua, <=50K
40, State-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,1421,40, Cuba, <=50K
45, Self-emp-not-inc, 11th, Married-civ-spouse, Sales, Husband, Other, Female,0,0,40, Jamaica, >50K
46, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
55, Private, Masters, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, South, <=50K
36, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Thailand, <=50K
