25, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,35, Dominican-Republic, <=50K
24, Private, HS-grad, Divorced, Sales, Not-in-family, Other, Male,0,0,40, Iran, >50K
19, Private, 7th-8th, Never-married, Farming-fishing, Own-child, White, Female,0,0,20, England, <=50K
43, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,80, El-Salvador, >50K
59, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, >50K
28, Private, 1st-4th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
63, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,60, Ecuador, <=50K
40, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
72, Private, HS-grad, Widowed, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
61, Local-gov, HS-grad, Widowed, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,30, Scotland, <=50K
24, Private, 12th, Never-married, Machine-op-inspct, Husband, White, Female,0,0,40, Scotland, <=50K
29, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
18, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,24, Nicaragua, >50K
22, Private, Some-college, Never-married, Other-service, Own-child, Other, Female,0,0,8, Canada, <=50K
55, Self-emp-not-inc, HS-grad, Divorced, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
44, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Philippines, <=50K
61, Private, Bachelors, Divorced, Transport-moving, Unmarried, Black, Female,0,0,37, Vietnam, <=50K
44, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,5121,0,40, Columbia, >50K
21, Private, HS-grad, Married-civ-spouse, Adm-clerical, Own-child, Other, Male,0,0,32, Yugoslavia, <=50K
41, Self-emp-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,50, Jamaica, >50K
49, Private, Bachelors, Widowed, Craft-repair, Husband, Black, Male,0,0,40, Yugoslavia, <=50K
25, Federal-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,1902,40, Dominican-Republic, >50K
31, Private, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, Black, Female,0,0,50, Jamaica, <=50K
22, Private, Some-college, Divorced, Protective-serv, Own-child, White, Female,0,0,40, Trinadad&Tobago, <=50K
51, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,50, China, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,15024,0,60, England, >50K
22, Private, Bachelors, Married-civ-spouse, Sales, Own-child, Black, Male,0,0,60, Dominican-Republic, >50K
57, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,50, Germany, <=50K
39, Private, HS-grad, Widowed, Craft-repair, Husband, Black, Female,0,0,56, Cambodia, <=50K
58, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1902,40, Canada, >50K
41, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,46, Yugoslavia, <=50K
58, Private, Masters, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,0,0,40, Thailand, <=50K
23, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Puerto-Rico, <=50K
27, Private, Some-college, Never-married, Sales, Husband, Black, Male,0,0,40, El-Salvador, <=50K
41, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,7298,0,35, Guatemala, <=50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, Guatemala, <=50K
